,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,23.0,Gujarat,Gandhinagar,Maize,287.0,970.0,1050.0,1010.0,2008,1
70,2008-02-01,8261.0,Gujarat,Gandhinagar,Maize,211.0,1025.0,1080.0,1053.0,2008,2
140,2008-03-01,16725.0,Gujarat,Gandhinagar,Maize,106.0,1100.0,1210.0,1155.0,2008,3
184,2008-04-01,24913.0,Gujarat,Gandhinagar,Maize,2610.0,950.0,1125.0,1025.0,2008,4
226,2008-05-01,36707.0,Gujarat,Gandhinagar,Maize,256.1,760.0,995.0,878.0,2008,5
280,2008-06-01,48551.0,Gujarat,Gandhinagar,Maize,1172.0,900.0,1160.0,1000.0,2008,6
322,2008-07-01,57086.0,Gujarat,Gandhinagar,Maize,285.0,975.0,1085.0,1010.0,2008,7
367,2008-08-01,65662.0,Gujarat,Gandhinagar,Maize,190.0,1035.0,1135.0,1060.0,2008,8
421,2008-09-01,71990.0,Gujarat,Gandhinagar,Maize,8.3,1045.0,1095.0,1065.0,2008,9
484,2008-10-01,78845.0,Gujarat,Gandhinagar,Maize,17.7,1020.0,1070.0,1045.0,2008,10
540,2008-11-01,85562.0,Gujarat,Gandhinagar,Maize,12.0,1075.0,1085.0,1080.0,2008,11
608,2008-12-01,92335.0,Gujarat,Gandhinagar,Maize,10.6,985.0,1000.0,993.0,2008,12
681,2009-01-01,99820.0,Gujarat,Gandhinagar,Maize,12.2,1085.0,1175.0,1130.0,2009,1
751,2009-02-01,107506.0,Gujarat,Gandhinagar,Maize,10.6,1135.0,1140.0,1138.0,2009,2
797,2009-03-01,114956.0,Gujarat,Gandhinagar,Maize,2.0,1040.0,1165.0,1075.0,2009,3
852,2009-04-01,122563.0,Gujarat,Gandhinagar,Maize,235.3,1075.0,1240.0,1158.0,2009,4
915,2009-05-01,133969.0,Gujarat,Gandhinagar,Maize,51.0,1025.0,1270.0,1075.0,2009,5
978,2009-06-01,142453.0,Gujarat,Gandhinagar,Maize,24.5,1060.0,1278.0,1125.0,2009,6
1051,2009-07-01,149726.0,Gujarat,Gandhinagar,Maize,8.5,1085.0,1283.0,1125.0,2009,7
1113,2009-08-01,157391.0,Gujarat,Gandhinagar,Maize,58.0,1100.0,1200.0,1150.0,2009,8
1147,2009-09-01,165110.0,Gujarat,Gandhinagar,Maize,83.0,1005.0,1335.0,1225.0,2009,9
1198,2009-10-01,174097.0,Gujarat,Gandhinagar,Maize,112.0,1265.0,1300.0,1283.0,2009,10
1230,2009-11-01,183468.0,Gujarat,Gandhinagar,Maize,5.0,1200.0,1400.0,1300.0,2009,11
1316,2009-12-01,193074.0,Gujarat,Gandhinagar,Maize,11.0,1405.0,1475.0,1440.0,2009,12
1407,2010-01-01,202603.0,Gujarat,Gandhinagar,Maize,11.0,1470.0,1540.0,1505.0,2010,1
1497,2010-02-01,211472.0,Gujarat,Gandhinagar,Maize,3.0,1475.0,1555.0,1515.0,2010,2
1578,2010-03-01,220698.0,Gujarat,Gandhinagar,Maize,11.3,1285.0,1325.0,1305.0,2010,3
1661,2010-04-01,230540.0,Gujarat,Gandhinagar,Maize,172.6,1100.0,1415.0,1258.0,2010,4
1757,2010-05-01,244723.0,Gujarat,Gandhinagar,Maize,54.1,1160.0,1335.0,1248.0,2010,5
1855,2010-06-01,256167.0,Gujarat,Gandhinagar,Maize,17.5,1200.0,1375.0,1288.0,2010,6
1956,2010-07-01,266400.0,Gujarat,Gandhinagar,Maize,12.7,1225.0,1270.0,1248.0,2010,7
2052,2010-08-01,276486.0,Gujarat,Gandhinagar,Maize,7.0,1205.0,1245.0,1225.0,2010,8
2149,2010-09-01,285987.0,Gujarat,Gandhinagar,Maize,4.5,1150.0,1300.0,1220.0,2010,9
2221,2010-10-01,295585.0,Gujarat,Gandhinagar,Maize,5.9,1210.0,1250.0,1230.0,2010,10
2313,2010-11-01,305736.0,Gujarat,Gandhinagar,Maize,2.0,1175.0,1250.0,1212.0,2010,11
2385,2010-12-01,314260.0,Gujarat,Gandhinagar,Maize,7.5,1225.0,1525.0,1375.0,2010,12
2465,2011-01-01,323855.0,Gujarat,Gandhinagar,Maize,4.4,1190.0,1340.0,1265.0,2011,1
2514,2011-02-01,333641.0,Gujarat,Gandhinagar,Maize,37.0,1325.0,1330.0,1327.0,2011,2
2584,2011-03-01,342995.0,Gujarat,Gandhinagar,Maize,24.0,1210.0,1335.0,1272.0,2011,3
2631,2011-04-01,352968.0,Gujarat,Gandhinagar,Maize,734.0,1060.0,1350.0,1205.0,2011,4
2701,2011-05-01,365703.0,Gujarat,Gandhinagar,Maize,1804.0,1060.0,1325.0,1192.0,2011,5
2767,2011-06-01,378593.0,Gujarat,Gandhinagar,Maize,417.0,1025.0,1085.0,1055.0,2011,6
2818,2011-07-01,389736.0,Gujarat,Gandhinagar,Maize,82.0,1020.0,1050.0,1035.0,2011,7
2890,2011-08-01,400876.0,Gujarat,Gandhinagar,Maize,72.0,1070.0,1080.0,1075.0,2011,8
2951,2011-09-01,410778.0,Gujarat,Gandhinagar,Maize,87.0,1000.0,1035.0,1017.0,2011,9
3012,2011-10-01,421286.0,Gujarat,Gandhinagar,Maize,52.0,1025.0,1035.0,1030.0,2011,10
3068,2011-11-01,429972.0,Gujarat,Gandhinagar,Maize,30.0,1050.0,1090.0,1070.0,2011,11
3139,2011-12-01,440606.0,Gujarat,Gandhinagar,Maize,62.0,1065.0,1080.0,1072.0,2011,12
3214,2012-01-01,451172.0,Gujarat,Gandhinagar,Maize,96.0,1135.0,1205.0,1170.0,2012,1
3276,2012-02-01,460056.0,Gujarat,Gandhinagar,Maize,90.0,1155.0,1200.0,1177.0,2012,2
3342,2012-03-01,468179.0,Gujarat,Gandhinagar,Maize,29.0,1125.0,1170.0,1147.0,2012,3
3405,2012-04-01,477545.0,Gujarat,Gandhinagar,Maize,1008.0,1180.0,1375.0,1277.0,2012,4
3471,2012-05-01,489714.0,Gujarat,Gandhinagar,Maize,590.0,1125.0,1330.0,1227.0,2012,5
3549,2012-06-01,503879.0,Gujarat,Gandhinagar,Maize,200.0,1170.0,1290.0,1230.0,2012,6
3625,2012-07-01,515238.0,Gujarat,Gandhinagar,Maize,107.0,1230.0,1285.0,1257.0,2012,7
3699,2012-08-01,526613.0,Gujarat,Gandhinagar,Maize,50.0,1470.0,1480.0,1475.0,2012,8
3762,2012-09-01,537030.0,Gujarat,Gandhinagar,Maize,33.0,1590.0,1665.0,1627.0,2012,9
3826,2012-10-01,548182.0,Gujarat,Gandhinagar,Maize,10.0,1450.0,1530.0,1490.0,2012,10
3901,2012-11-01,559031.0,Gujarat,Gandhinagar,Maize,5.0,1450.0,1550.0,1500.0,2012,11
3958,2012-12-01,568590.0,Gujarat,Gandhinagar,Maize,76.0,1565.0,1805.0,1685.0,2012,12
4030,2013-01-01,578751.0,Gujarat,Gandhinagar,Maize,16.0,1625.0,1640.0,1632.0,2013,1
4100,2013-02-01,588698.0,Gujarat,Gandhinagar,Maize,11.0,1600.0,1650.0,1625.0,2013,2
4162,2013-03-01,597279.0,Gujarat,Gandhinagar,Maize,4.0,1530.0,1700.0,1615.0,2013,3
4222,2013-04-01,606759.0,Gujarat,Gandhinagar,Maize,2968.0,1410.0,1805.0,1607.0,2013,4
