,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,26.0,Gujarat,Jamnagar,Maize,5.0,850.0,1025.0,900.0,2008,1
28,2008-02-01,8264.0,Gujarat,Jamnagar,Maize,5.0,850.0,1050.0,925.0,2008,2
65,2008-03-01,16728.0,Gujarat,Jamnagar,Maize,3.0,380.0,426.0,410.0,2008,3
98,2008-04-01,24914.0,Gujarat,Jamnagar,Maize,9.0,350.0,384.0,370.0,2008,4
128,2008-05-01,36710.0,Gujarat,Jamnagar,Maize,2000.0,1000.0,1150.0,1090.0,2008,5
155,2008-06-01,48552.0,Gujarat,Jamnagar,Maize,1440.0,1000.0,1075.0,1038.0,2008,6
177,2008-07-01,57088.0,Gujarat,Jamnagar,Maize,279.0,900.0,1010.0,955.0,2008,7
203,2008-08-01,65664.0,Gujarat,Jamnagar,Maize,490.0,1000.0,1075.0,1038.0,2008,8
241,2008-09-01,72258.0,Gujarat,Jamnagar,Maize,441.0,975.0,1125.0,1050.0,2008,9
281,2008-10-01,80306.0,Gujarat,Jamnagar,Maize,204.0,960.0,1075.0,1018.0,2008,10
310,2008-11-01,85565.0,Gujarat,Jamnagar,Maize,277.0,910.0,1100.0,1005.0,2008,11
341,2008-12-01,92337.0,Gujarat,Jamnagar,Maize,3.6,930.0,1020.0,950.0,2008,12
368,2009-01-01,99823.0,Gujarat,Jamnagar,Maize,3.8,950.0,1135.0,1000.0,2009,1
415,2009-02-01,107508.0,Gujarat,Jamnagar,Maize,104.0,1000.0,1275.0,1138.0,2009,2
457,2009-03-01,114958.0,Gujarat,Jamnagar,Maize,3.3,950.0,1075.0,1000.0,2009,3
494,2009-04-01,122871.0,Gujarat,Jamnagar,Maize,12.0,915.0,1065.0,990.0,2009,4
537,2009-05-01,133971.0,Gujarat,Jamnagar,Maize,7.2,950.0,1210.0,1080.0,2009,5
580,2009-06-01,142456.0,Gujarat,Jamnagar,Maize,8.0,950.0,1205.0,1075.0,2009,6
628,2009-07-01,149729.0,Gujarat,Jamnagar,Maize,0.75,950.0,1230.0,1090.0,2009,7
678,2009-08-01,157392.0,Gujarat,Jamnagar,Maize,1.0,950.0,1290.0,1120.0,2009,8
719,2009-09-01,165112.0,Gujarat,Jamnagar,Maize,3.8,1000.0,1410.0,1205.0,2009,9
766,2009-10-01,174101.0,Gujarat,Jamnagar,Maize,1.85,1150.0,1385.0,1265.0,2009,10
804,2009-11-01,183469.0,Gujarat,Jamnagar,Maize,328.0,1250.0,1610.0,1490.0,2009,11
829,2009-12-01,193075.0,Gujarat,Jamnagar,Maize,151.0,1300.0,1615.0,1458.0,2009,12
858,2010-01-01,202607.0,Gujarat,Jamnagar,Maize,2.4,1450.0,1720.0,1585.0,2010,1
906,2010-02-01,211476.0,Gujarat,Jamnagar,Maize,1.2,1200.0,1540.0,1370.0,2010,2
948,2010-03-01,220702.0,Gujarat,Jamnagar,Maize,1.3,1100.0,1550.0,1325.0,2010,3
980,2010-04-01,230867.0,Gujarat,Jamnagar,Maize,24.2,1005.0,1565.0,1250.0,2010,4
1023,2010-05-01,244724.0,Gujarat,Jamnagar,Maize,10.5,1025.0,1380.0,1200.0,2010,5
1062,2010-06-01,256171.0,Gujarat,Jamnagar,Maize,8.85,950.0,1245.0,1095.0,2010,6
1107,2010-07-01,266404.0,Gujarat,Jamnagar,Maize,1.75,1110.0,1230.0,1170.0,2010,7
1149,2010-08-01,276855.0,Gujarat,Jamnagar,Maize,1.15,1075.0,1230.0,1150.0,2010,8
1190,2010-09-01,287385.0,Gujarat,Jamnagar,Maize,5.5,1000.0,1320.0,1160.0,2010,9
1218,2010-10-01,295589.0,Gujarat,Jamnagar,Maize,4.4,1000.0,1245.0,1120.0,2010,10
1263,2010-11-01,305740.0,Gujarat,Jamnagar,Maize,354.0,1250.0,1570.0,1410.0,2010,11
1293,2010-12-01,314264.0,Gujarat,Jamnagar,Maize,5.0,1015.0,1555.0,1285.0,2010,12
1341,2011-01-01,323858.0,Gujarat,Jamnagar,Maize,0.7,1095.0,1400.0,1245.0,2011,1
1396,2011-02-01,333645.0,Gujarat,Jamnagar,Maize,3.2,1015.0,1500.0,1255.0,2011,2
1458,2011-03-01,342997.0,Gujarat,Jamnagar,Maize,3.25,1040.0,1380.0,1210.0,2011,3
1497,2011-04-01,353746.0,Gujarat,Jamnagar,Maize,14.3,950.0,1190.0,1070.0,2011,4
1531,2011-05-01,365706.0,Gujarat,Jamnagar,Maize,48.1,910.0,1180.0,1045.0,2011,5
1569,2011-06-01,378596.0,Gujarat,Jamnagar,Maize,28.9,950.0,1095.0,1000.0,2011,6
1610,2011-07-01,389739.0,Gujarat,Jamnagar,Maize,13.7,925.0,1050.0,985.0,2011,7
1659,2011-08-01,400879.0,Gujarat,Jamnagar,Maize,21.0,1000.0,1065.0,1033.0,2011,8
1685,2011-09-01,410779.0,Gujarat,Jamnagar,Maize,9.95,850.0,1000.0,925.0,2011,9
