,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,36.0,Gujarat,Panchmahals,Maize,1.0,1000.0,1020.0,1010.0,2008,1
31,2008-02-01,8277.0,Gujarat,Panchmahals,Maize,0.8,1000.0,1100.0,1050.0,2008,2
56,2008-03-01,17076.0,Gujarat,Panchmahals,Maize,5.3,1000.0,1010.0,1005.0,2008,3
112,2008-04-01,24922.0,Gujarat,Panchmahals,Maize,36.8,1000.0,1100.0,1050.0,2008,4
243,2008-05-01,36725.0,Gujarat,Panchmahals,Maize,10.0,900.0,950.0,925.0,2008,5
353,2008-06-01,48459.0,Gujarat,Panchmahals,Maize,1.0,950.0,1000.0,975.0,2008,6
441,2008-07-01,57095.0,Gujarat,Panchmahals,Maize,1.5,960.0,1060.0,1010.0,2008,7
498,2008-08-01,65675.0,Gujarat,Panchmahals,Maize,1.5,1000.0,1050.0,1025.0,2008,8
537,2008-09-01,72005.0,Gujarat,Panchmahals,Maize,3.2,1000.0,1050.0,1020.0,2008,9
562,2008-10-01,81770.0,Gujarat,Panchmahals,Maize,1.9,980.0,985.0,982.0,2008,10
572,2008-11-01,85872.0,Gujarat,Panchmahals,Maize,0.6,960.0,1000.0,980.0,2008,11
590,2008-12-01,92347.0,Gujarat,Panchmahals,Maize,0.4,975.0,1000.0,987.0,2008,12
612,2009-01-01,99835.0,Gujarat,Panchmahals,Maize,1.5,1025.0,1075.0,1050.0,2009,1
619,2009-02-01,,Gujarat,Panchmahals,Maize,5.019673913043478,1313.75,1416.4130434782608,1366.304347826087,2009,2
620,2009-03-01,119311.0,Gujarat,Panchmahals,Maize,12.0,1000.0,1025.0,1005.0,2009,3
622,2009-04-01,122579.0,Gujarat,Panchmahals,Maize,5.5,1025.0,1100.0,1062.0,2009,4
640,2009-05-01,133987.0,Gujarat,Panchmahals,Maize,4.8,1025.0,1150.0,1087.0,2009,5
662,2009-06-01,142469.0,Gujarat,Panchmahals,Maize,0.5,1025.0,1150.0,1087.0,2009,6
683,2009-07-01,,Gujarat,Panchmahals,Maize,5.019673913043478,1313.75,1416.4130434782608,1366.304347826087,2009,7
684,2009-08-01,157403.0,Gujarat,Panchmahals,Maize,1.8,1050.0,1150.0,1100.0,2009,8
698,2009-09-01,169888.0,Gujarat,Panchmahals,Maize,0.4,1145.0,1200.0,1172.0,2009,9
708,2009-10-01,174118.0,Gujarat,Panchmahals,Maize,0.6,1170.0,1200.0,1185.0,2009,10
713,2009-11-01,184521.0,Gujarat,Panchmahals,Maize,0.2,1275.0,1400.0,1337.0,2009,11
722,2009-12-01,193085.0,Gujarat,Panchmahals,Maize,0.6,1300.0,1350.0,1325.0,2009,12
724,2010-01-01,,Gujarat,Panchmahals,Maize,5.019673913043478,1313.75,1416.4130434782608,1366.304347826087,2010,1
725,2010-02-01,,Gujarat,Panchmahals,Maize,5.019673913043478,1313.75,1416.4130434782608,1366.304347826087,2010,2
726,2010-03-01,,Gujarat,Panchmahals,Maize,5.019673913043478,1313.75,1416.4130434782608,1366.304347826087,2010,3
727,2010-04-01,237672.0,Gujarat,Panchmahals,Maize,0.1,1050.0,1150.0,1100.0,2010,4
740,2010-05-01,245332.0,Gujarat,Panchmahals,Maize,4.5,1100.0,1245.0,1172.0,2010,5
763,2010-06-01,256185.0,Gujarat,Panchmahals,Maize,0.6,1125.0,1225.0,1175.0,2010,6
773,2010-07-01,,Gujarat,Panchmahals,Maize,5.019673913043478,1313.75,1416.4130434782608,1366.304347826087,2010,7
774,2010-08-01,,Gujarat,Panchmahals,Maize,5.019673913043478,1313.75,1416.4130434782608,1366.304347826087,2010,8
775,2010-09-01,,Gujarat,Panchmahals,Maize,5.019673913043478,1313.75,1416.4130434782608,1366.304347826087,2010,9
776,2010-10-01,,Gujarat,Panchmahals,Maize,5.019673913043478,1313.75,1416.4130434782608,1366.304347826087,2010,10
777,2010-11-01,,Gujarat,Panchmahals,Maize,5.019673913043478,1313.75,1416.4130434782608,1366.304347826087,2010,11
778,2010-12-01,,Gujarat,Panchmahals,Maize,5.019673913043478,1313.75,1416.4130434782608,1366.304347826087,2010,12
779,2011-01-01,,Gujarat,Panchmahals,Maize,5.019673913043478,1313.75,1416.4130434782608,1366.304347826087,2011,1
780,2011-02-01,,Gujarat,Panchmahals,Maize,5.019673913043478,1313.75,1416.4130434782608,1366.304347826087,2011,2
781,2011-03-01,343013.0,Gujarat,Panchmahals,Maize,1.5,1000.0,1225.0,1112.0,2011,3
