,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,60.0,Gujarat,Surendranagar,Maize,7.8,1050.0,1115.0,1090.0,2008,1
50,2008-02-01,8302.0,Gujarat,Surendranagar,Maize,2.5,1000.0,1075.0,1050.0,2008,2
95,2008-03-01,16769.0,Gujarat,Surendranagar,Maize,0.85,1005.0,1150.0,1100.0,2008,3
136,2008-04-01,24940.0,Gujarat,Surendranagar,Maize,77.45,1000.0,1065.0,1050.0,2008,4
203,2008-05-01,36757.0,Gujarat,Surendranagar,Maize,65.7,850.0,1125.0,1100.0,2008,5
274,2008-06-01,48592.0,Gujarat,Surendranagar,Maize,148.5,925.0,1075.0,1050.0,2008,6
339,2008-07-01,57123.0,Gujarat,Surendranagar,Maize,14.8,875.0,1050.0,1000.0,2008,7
385,2008-08-01,65700.0,Gujarat,Surendranagar,Maize,1.3,900.0,1005.0,985.0,2008,8
409,2008-09-01,72033.0,Gujarat,Surendranagar,Maize,16.05,900.0,1025.0,950.0,2008,9
448,2008-10-01,78856.0,Gujarat,Surendranagar,Maize,23.0,940.0,980.0,960.0,2008,10
486,2008-11-01,85596.0,Gujarat,Surendranagar,Maize,33.15,950.0,1070.0,1050.0,2008,11
530,2008-12-01,92367.0,Gujarat,Surendranagar,Maize,19.14,950.0,1000.0,975.0,2008,12
579,2009-01-01,99857.0,Gujarat,Surendranagar,Maize,13.3,1000.0,1150.0,1075.0,2009,1
618,2009-02-01,107534.0,Gujarat,Surendranagar,Maize,6.0,1050.0,1150.0,1100.0,2009,2
660,2009-03-01,114993.0,Gujarat,Surendranagar,Maize,13.9,950.0,1100.0,1025.0,2009,3
703,2009-04-01,122601.0,Gujarat,Surendranagar,Maize,45.9,900.0,1225.0,1062.0,2009,4
757,2009-05-01,134009.0,Gujarat,Surendranagar,Maize,9.98,900.0,1025.0,962.0,2009,5
806,2009-06-01,142490.0,Gujarat,Surendranagar,Maize,13.2,900.0,1250.0,1075.0,2009,6
858,2009-07-01,149757.0,Gujarat,Surendranagar,Maize,0.1,1125.0,1250.0,1187.0,2009,7
898,2009-08-01,157425.0,Gujarat,Surendranagar,Maize,0.4,1000.0,1100.0,1100.0,2009,8
918,2009-09-01,165145.0,Gujarat,Surendranagar,Maize,7.55,1100.0,1350.0,1225.0,2009,9
964,2009-10-01,174141.0,Gujarat,Surendranagar,Maize,2.35,1250.0,1425.0,1337.0,2009,10
998,2009-11-01,183490.0,Gujarat,Surendranagar,Maize,5.75,1450.0,1600.0,1525.0,2009,11
1046,2009-12-01,193104.0,Gujarat,Surendranagar,Maize,8.65,1400.0,1625.0,1512.0,2009,12
1090,2010-01-01,202649.0,Gujarat,Surendranagar,Maize,1.15,1250.0,1650.0,1450.0,2010,1
1127,2010-02-01,211511.0,Gujarat,Surendranagar,Maize,0.25,1250.0,1625.0,1437.0,2010,2
1155,2010-03-01,220730.0,Gujarat,Surendranagar,Maize,10.2,1125.0,1450.0,1287.0,2010,3
1179,2010-04-01,230892.0,Gujarat,Surendranagar,Maize,18.0,1200.0,1600.0,1400.0,2010,4
1228,2010-05-01,244732.0,Gujarat,Surendranagar,Maize,4.4,1350.0,1500.0,1425.0,2010,5
1277,2010-06-01,256209.0,Gujarat,Surendranagar,Maize,5.1,1110.0,1450.0,1280.0,2010,6
1325,2010-07-01,266437.0,Gujarat,Surendranagar,Maize,6.88,1125.0,1400.0,1300.0,2010,7
1356,2010-08-01,276517.0,Gujarat,Surendranagar,Maize,0.7,1400.0,1525.0,1462.0,2010,8
1392,2010-09-01,287409.0,Gujarat,Surendranagar,Maize,12.6,1000.0,1450.0,1225.0,2010,9
1428,2010-10-01,295624.0,Gujarat,Surendranagar,Maize,1.65,1000.0,1450.0,1225.0,2010,10
1474,2010-11-01,305775.0,Gujarat,Surendranagar,Maize,17.3,1200.0,1450.0,1325.0,2010,11
1509,2010-12-01,314300.0,Gujarat,Surendranagar,Maize,1.35,1000.0,1550.0,1275.0,2010,12
1557,2011-01-01,323890.0,Gujarat,Surendranagar,Maize,1.6,1250.0,1450.0,1350.0,2011,1
1603,2011-02-01,333673.0,Gujarat,Surendranagar,Maize,9.3,1110.0,1400.0,1300.0,2011,2
1642,2011-03-01,343032.0,Gujarat,Surendranagar,Maize,0.55,1100.0,1650.0,1375.0,2011,3
1691,2011-04-01,352996.0,Gujarat,Surendranagar,Maize,14.9,1050.0,1400.0,1225.0,2011,4
1736,2011-05-01,365738.0,Gujarat,Surendranagar,Maize,29.96,1050.0,1300.0,1175.0,2011,5
1785,2011-06-01,378637.0,Gujarat,Surendranagar,Maize,65.08,975.0,1150.0,1062.0,2011,6
1836,2011-07-01,389770.0,Gujarat,Surendranagar,Maize,18.7,950.0,1025.0,987.0,2011,7
1882,2011-08-01,400899.0,Gujarat,Surendranagar,Maize,16.65,1000.0,1075.0,1037.0,2011,8
1919,2011-09-01,410787.0,Gujarat,Surendranagar,Maize,28.3,950.0,1000.0,975.0,2011,9
1964,2011-10-01,421312.0,Gujarat,Surendranagar,Maize,41.8,975.0,1015.0,995.0,2011,10
2002,2011-11-01,430000.0,Gujarat,Surendranagar,Maize,77.15,900.0,1000.0,950.0,2011,11
2052,2011-12-01,440629.0,Gujarat,Surendranagar,Maize,9.45,1025.0,1075.0,1050.0,2011,12
2103,2012-01-01,451201.0,Gujarat,Surendranagar,Maize,2.0,1050.0,1165.0,1107.0,2012,1
2151,2012-02-01,460083.0,Gujarat,Surendranagar,Maize,0.85,1025.0,1135.0,1080.0,2012,2
2196,2012-03-01,468217.0,Gujarat,Surendranagar,Maize,14.45,1050.0,1195.0,1122.0,2012,3
2229,2012-04-01,477581.0,Gujarat,Surendranagar,Maize,322.4,1100.0,1430.0,1250.0,2012,4
2273,2012-05-01,489759.0,Gujarat,Surendranagar,Maize,15.75,1250.0,1400.0,1325.0,2012,5
2325,2012-06-01,503911.0,Gujarat,Surendranagar,Maize,11.16,1000.0,1500.0,1250.0,2012,6
2375,2012-07-01,515278.0,Gujarat,Surendranagar,Maize,0.6,1050.0,1500.0,1275.0,2012,7
2416,2012-08-01,526644.0,Gujarat,Surendranagar,Maize,3.95,1000.0,1540.0,1270.0,2012,8
2446,2012-09-01,537070.0,Gujarat,Surendranagar,Maize,7.2,1500.0,1700.0,1650.0,2012,9
2485,2012-10-01,548214.0,Gujarat,Surendranagar,Maize,2.75,1250.0,1600.0,1425.0,2012,10
2526,2012-11-01,559071.0,Gujarat,Surendranagar,Maize,2.0,1250.0,1450.0,1350.0,2012,11
2555,2012-12-01,568628.0,Gujarat,Surendranagar,Maize,51.0,1700.0,1800.0,1750.0,2012,12
2591,2013-01-01,578785.0,Gujarat,Surendranagar,Maize,46.8,1500.0,1630.0,1575.0,2013,1
2638,2013-02-01,588736.0,Gujarat,Surendranagar,Maize,4.5,1450.0,1800.0,1625.0,2013,2
