,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,62.0,Gujarat,Vadodara(Baroda),Maize,54.25,1250.0,1350.0,1300.0,2008,1
75,2008-02-01,8304.0,Gujarat,Vadodara(Baroda),Maize,16.9,1175.0,1250.0,1250.0,2008,2
153,2008-03-01,16770.0,Gujarat,Vadodara(Baroda),Maize,92.95,1285.0,1300.0,1300.0,2008,3
226,2008-04-01,24941.0,Gujarat,Vadodara(Baroda),Maize,131.21,1175.0,1275.0,1250.0,2008,4
337,2008-05-01,36759.0,Gujarat,Vadodara(Baroda),Maize,400.0,850.0,1000.0,900.0,2008,5
480,2008-06-01,48595.0,Gujarat,Vadodara(Baroda),Maize,180.0,1000.0,1000.0,1000.0,2008,6
626,2008-07-01,57125.0,Gujarat,Vadodara(Baroda),Maize,192.15,1025.0,1100.0,1050.0,2008,7
727,2008-08-01,65701.0,Gujarat,Vadodara(Baroda),Maize,1.9,1125.0,1140.0,1140.0,2008,8
822,2008-09-01,72034.0,Gujarat,Vadodara(Baroda),Maize,13.15,1120.0,1125.0,1122.0,2008,9
941,2008-10-01,78857.0,Gujarat,Vadodara(Baroda),Maize,25.95,1085.0,1085.0,1085.0,2008,10
1046,2008-11-01,85598.0,Gujarat,Vadodara(Baroda),Maize,477.65,1105.0,1105.0,1105.0,2008,11
1166,2008-12-01,92676.0,Gujarat,Vadodara(Baroda),Maize,63.54,1090.0,1095.0,1090.0,2008,12
1272,2009-01-01,99859.0,Gujarat,Vadodara(Baroda),Maize,9.73,1190.0,1200.0,1200.0,2009,1
1350,2009-02-01,107536.0,Gujarat,Vadodara(Baroda),Maize,7.05,1200.0,1205.0,1205.0,2009,2
1430,2009-03-01,114995.0,Gujarat,Vadodara(Baroda),Maize,77.72,1130.0,1151.0,1145.0,2009,3
1524,2009-04-01,122602.0,Gujarat,Vadodara(Baroda),Maize,172.45,1080.0,1100.0,1100.0,2009,4
1644,2009-05-01,134011.0,Gujarat,Vadodara(Baroda),Maize,0.9,935.0,1125.0,1065.0,2009,5
1749,2009-06-01,142493.0,Gujarat,Vadodara(Baroda),Maize,30.75,1140.0,1160.0,1160.0,2009,6
1836,2009-07-01,150029.0,Gujarat,Vadodara(Baroda),Maize,32.23,1150.0,1150.0,1150.0,2009,7
1932,2009-08-01,157426.0,Gujarat,Vadodara(Baroda),Maize,12.25,1200.0,1240.0,0.0,2009,8
2003,2009-09-01,165147.0,Gujarat,Vadodara(Baroda),Maize,89.18,1220.0,1250.0,1250.0,2009,9
2081,2009-10-01,174143.0,Gujarat,Vadodara(Baroda),Maize,24.25,1275.0,1280.0,1280.0,2009,10
2149,2009-11-01,183492.0,Gujarat,Vadodara(Baroda),Maize,41.95,1450.0,1500.0,1500.0,2009,11
2225,2009-12-01,193106.0,Gujarat,Vadodara(Baroda),Maize,20.0,1511.0,1511.0,1511.0,2009,12
2300,2010-01-01,202651.0,Gujarat,Vadodara(Baroda),Maize,5.0,1450.0,1500.0,1500.0,2010,1
2369,2010-02-01,211513.0,Gujarat,Vadodara(Baroda),Maize,2.92,1400.0,1400.0,1400.0,2010,2
2441,2010-03-01,220731.0,Gujarat,Vadodara(Baroda),Maize,31.3,3200.0,3251.0,3225.0,2010,3
2517,2010-04-01,230565.0,Gujarat,Vadodara(Baroda),Maize,6066.69,1221.0,1225.0,1225.0,2010,4
2612,2010-05-01,244733.0,Gujarat,Vadodara(Baroda),Maize,101.83,1500.0,1900.0,1900.0,2010,5
2687,2010-06-01,256211.0,Gujarat,Vadodara(Baroda),Maize,599.15,1275.0,1300.0,1300.0,2010,6
2764,2010-07-01,266438.0,Gujarat,Vadodara(Baroda),Maize,81.7,1280.0,1290.0,1285.0,2010,7
2842,2010-08-01,276519.0,Gujarat,Vadodara(Baroda),Maize,271.61,1275.0,1300.0,1290.0,2010,8
2912,2010-09-01,286003.0,Gujarat,Vadodara(Baroda),Maize,714.08,1300.0,1315.0,1310.0,2010,9
2984,2010-10-01,295626.0,Gujarat,Vadodara(Baroda),Maize,69.28,1281.0,1300.0,1300.0,2010,10
3064,2010-11-01,305777.0,Gujarat,Vadodara(Baroda),Maize,29.13,1281.0,1281.0,1281.0,2010,11
3136,2010-12-01,314302.0,Gujarat,Vadodara(Baroda),Maize,16.0,1350.0,1450.0,1400.0,2010,12
3216,2011-01-01,323892.0,Gujarat,Vadodara(Baroda),Maize,27.85,1375.0,1450.0,1450.0,2011,1
3288,2011-02-01,333674.0,Gujarat,Vadodara(Baroda),Maize,71.4,1381.0,1400.0,1400.0,2011,2
