,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,5493.0,Haryana,Bhiwani,Maize,281.5,1000.0,1000.0,1000.0,2008,1
3,2008-02-01,15258.0,Haryana,Bhiwani,Maize,3.8,920.0,1022.0,0.0,2008,2
5,2008-03-01,17600.0,Haryana,Bhiwani,Maize,0.7,925.0,925.0,0.0,2008,3
10,2008-04-01,25217.0,Haryana,Bhiwani,Maize,1.8,955.0,970.0,0.0,2008,4
53,2008-05-01,36768.0,Haryana,Bhiwani,Maize,3199.0,1000.0,1000.0,0.0,2008,5
129,2008-06-01,48601.0,Haryana,Bhiwani,Maize,65.0,1000.0,1020.0,0.0,2008,6
136,2008-07-01,,Haryana,Bhiwani,Maize,1690.535483870968,1290.6612903225807,1282.8225806451612,1096.1612903225807,2008,7
137,2008-08-01,,Haryana,Bhiwani,Maize,1690.535483870968,1290.6612903225807,1282.8225806451612,1096.1612903225807,2008,8
138,2008-09-01,76321.0,Haryana,Bhiwani,Maize,109.7,840.0,840.0,840.0,2008,9
140,2008-10-01,84235.0,Haryana,Bhiwani,Maize,0.4,1040.0,1040.0,1040.0,2008,10
142,2008-11-01,85898.0,Haryana,Bhiwani,Maize,0.6,1000.0,1000.0,1000.0,2008,11
153,2008-12-01,92369.0,Haryana,Bhiwani,Maize,0.5,1023.0,1023.0,0.0,2008,12
156,2009-01-01,107209.0,Haryana,Bhiwani,Maize,0.2,940.0,950.0,0.0,2009,1
157,2009-02-01,108138.0,Haryana,Bhiwani,Maize,0.4,1069.0,1069.0,0.0,2009,2
160,2009-03-01,119675.0,Haryana,Bhiwani,Maize,1.5,1069.0,1069.0,0.0,2009,3
161,2009-04-01,124429.0,Haryana,Bhiwani,Maize,55.0,1080.0,1080.0,0.0,2009,4
205,2009-05-01,134366.0,Haryana,Bhiwani,Maize,0.8,1000.0,1000.0,1000.0,2009,5
212,2009-06-01,145610.0,Haryana,Bhiwani,Maize,1.0,1000.0,1093.0,1093.0,2009,6
219,2009-07-01,149760.0,Haryana,Bhiwani,Maize,1.1,938.0,970.0,970.0,2009,7
