,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,6209.0,Haryana,Hissar,Maize,4.0,950.0,950.0,950.0,2008,1
1,2008-02-01,,Haryana,Hissar,Maize,375.2915686274509,1168.5294117647059,1180.5294117647059,1177.6274509803923,2008,2
2,2008-03-01,21731.0,Haryana,Hissar,Maize,0.5,2000.0,2000.0,2000.0,2008,3
4,2008-04-01,28125.0,Haryana,Hissar,Maize,147.5,1000.0,1000.0,1000.0,2008,4
63,2008-05-01,36783.0,Haryana,Hissar,Maize,2973.5,1000.0,1000.0,1000.0,2008,5
176,2008-06-01,48606.0,Haryana,Hissar,Maize,79.2,1025.0,1025.0,1025.0,2008,6
206,2008-07-01,58832.0,Haryana,Hissar,Maize,4.7,1050.0,1092.0,1080.0,2008,7
213,2008-08-01,67405.0,Haryana,Hissar,Maize,1.0,950.0,950.0,950.0,2008,8
217,2008-09-01,73923.0,Haryana,Hissar,Maize,5.0,841.0,894.0,894.0,2008,9
223,2008-10-01,79493.0,Haryana,Hissar,Maize,0.6,945.0,945.0,945.0,2008,10
227,2008-11-01,90178.0,Haryana,Hissar,Maize,1.2,675.0,690.0,680.0,2008,11
228,2008-12-01,,Haryana,Hissar,Maize,375.2915686274509,1168.5294117647059,1180.5294117647059,1177.6274509803923,2008,12
229,2009-01-01,102986.0,Haryana,Hissar,Maize,2.0,1010.0,1010.0,1010.0,2009,1
230,2009-02-01,,Haryana,Hissar,Maize,375.2915686274509,1168.5294117647059,1180.5294117647059,1177.6274509803923,2009,2
231,2009-03-01,121845.0,Haryana,Hissar,Maize,182.0,1002.0,1002.0,1002.0,2009,3
232,2009-04-01,123494.0,Haryana,Hissar,Maize,78.5,1080.0,1080.0,1080.0,2009,4
298,2009-05-01,134027.0,Haryana,Hissar,Maize,1466.0,1080.0,1080.0,1080.0,2009,5
313,2009-06-01,,Haryana,Hissar,Maize,375.2915686274509,1168.5294117647059,1180.5294117647059,1177.6274509803923,2009,6
314,2009-07-01,157144.0,Haryana,Hissar,Maize,2.5,980.0,980.0,980.0,2009,7
315,2009-08-01,158130.0,Haryana,Hissar,Maize,2.5,1023.0,1023.0,1023.0,2009,8
320,2009-09-01,165834.0,Haryana,Hissar,Maize,4.9,1050.0,1050.0,1050.0,2009,9
323,2009-10-01,179702.0,Haryana,Hissar,Maize,46.0,1172.0,1232.0,1232.0,2009,10
324,2009-11-01,183499.0,Haryana,Hissar,Maize,2.0,1225.0,1225.0,1225.0,2009,11
325,2009-12-01,200584.0,Haryana,Hissar,Maize,0.5,1050.0,1050.0,1050.0,2009,12
326,2010-01-01,,Haryana,Hissar,Maize,375.2915686274509,1168.5294117647059,1180.5294117647059,1177.6274509803923,2010,1
327,2010-02-01,219279.0,Haryana,Hissar,Maize,0.5,1000.0,1000.0,1000.0,2010,2
328,2010-03-01,,Haryana,Hissar,Maize,375.2915686274509,1168.5294117647059,1180.5294117647059,1177.6274509803923,2010,3
329,2010-04-01,232239.0,Haryana,Hissar,Maize,221.2,1100.0,1100.0,1100.0,2010,4
410,2010-05-01,244746.0,Haryana,Hissar,Maize,37.0,1100.0,1100.0,1100.0,2010,5
456,2010-06-01,257016.0,Haryana,Hissar,Maize,0.6,1120.0,1120.0,1120.0,2010,6
459,2010-07-01,275343.0,Haryana,Hissar,Maize,3.4,1105.0,1105.0,1105.0,2010,7
460,2010-08-01,276523.0,Haryana,Hissar,Maize,5.0,1065.0,1065.0,1065.0,2010,8
465,2010-09-01,286307.0,Haryana,Hissar,Maize,0.7,1060.0,1060.0,1060.0,2010,9
469,2010-10-01,,Haryana,Hissar,Maize,375.2915686274509,1168.5294117647059,1180.5294117647059,1177.6274509803923,2010,10
