,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Haryana,Panchkula,Maize,263.02200000000005,1236.1666666666667,1244.05,1259.8833333333334,2008,1
1,2008-02-01,,Haryana,Panchkula,Maize,263.02200000000005,1236.1666666666667,1244.05,1259.8833333333334,2008,2
2,2008-03-01,,Haryana,Panchkula,Maize,263.02200000000005,1236.1666666666667,1244.05,1259.8833333333334,2008,3
3,2008-04-01,26973.0,Haryana,Panchkula,Maize,16.9,1000.0,1000.0,1000.0,2008,4
47,2008-05-01,36816.0,Haryana,Panchkula,Maize,267.2,1000.0,1000.0,1000.0,2008,5
88,2008-06-01,48464.0,Haryana,Panchkula,Maize,5486.0,1000.0,1010.0,1000.0,2008,6
95,2008-07-01,61556.0,Haryana,Panchkula,Maize,2.2,1132.0,1132.0,1132.0,2008,7
97,2008-08-01,69451.0,Haryana,Panchkula,Maize,2.2,1110.0,1110.0,1110.0,2008,8
99,2008-09-01,75522.0,Haryana,Panchkula,Maize,2.2,1116.0,1116.0,1116.0,2008,9
101,2008-10-01,84941.0,Haryana,Panchkula,Maize,4.1,1085.0,1194.0,1185.0,2008,10
102,2008-11-01,86756.0,Haryana,Panchkula,Maize,2.5,1000.0,1085.0,1042.0,2008,11
104,2008-12-01,94893.0,Haryana,Panchkula,Maize,3.6,1074.0,1074.0,1074.0,2008,12
106,2009-01-01,102741.0,Haryana,Panchkula,Maize,1.8,1075.0,1075.0,1075.0,2009,1
109,2009-02-01,109732.0,Haryana,Panchkula,Maize,27.0,1050.0,1080.0,1065.0,2009,2
115,2009-03-01,116365.0,Haryana,Panchkula,Maize,0.5,1060.0,1060.0,1060.0,2009,3
116,2009-04-01,124077.0,Haryana,Panchkula,Maize,65.0,1080.0,1080.0,1080.0,2009,4
165,2009-05-01,134047.0,Haryana,Panchkula,Maize,894.0,1080.0,1080.0,1080.0,2009,5
176,2009-06-01,144760.0,Haryana,Panchkula,Maize,2.0,1201.0,1201.0,1201.0,2009,6
179,2009-07-01,150897.0,Haryana,Panchkula,Maize,3.2,1060.0,1060.0,1060.0,2009,7
183,2009-08-01,158555.0,Haryana,Panchkula,Maize,6.8,1075.0,1075.0,1075.0,2009,8
186,2009-09-01,166435.0,Haryana,Panchkula,Maize,7.5,1230.0,1230.0,1230.0,2009,9
190,2009-10-01,178368.0,Haryana,Panchkula,Maize,1.1,1100.0,1100.0,1100.0,2009,10
192,2009-11-01,186248.0,Haryana,Panchkula,Maize,254.9,1346.0,1346.0,1346.0,2009,11
196,2009-12-01,196622.0,Haryana,Panchkula,Maize,63.2,1415.0,1415.0,1415.0,2009,12
198,2010-01-01,205704.0,Haryana,Panchkula,Maize,1.6,1523.0,1523.0,1523.0,2010,1
200,2010-02-01,211522.0,Haryana,Panchkula,Maize,122.0,1401.0,1504.0,1452.0,2010,2
204,2010-03-01,223958.0,Haryana,Panchkula,Maize,10.0,1352.0,1352.0,1352.0,2010,3
205,2010-04-01,232280.0,Haryana,Panchkula,Maize,67.6,1100.0,1100.0,1100.0,2010,4
233,2010-05-01,244771.0,Haryana,Panchkula,Maize,180.3,1100.0,1100.0,1100.0,2010,5
242,2010-06-01,,Haryana,Panchkula,Maize,263.02200000000005,1236.1666666666667,1244.05,1259.8833333333334,2010,6
243,2010-07-01,266826.0,Haryana,Panchkula,Maize,100.0,1250.0,1250.0,1250.0,2010,7
249,2010-08-01,276527.0,Haryana,Panchkula,Maize,100.0,1250.0,1250.0,1250.0,2010,8
252,2010-09-01,288130.0,Haryana,Panchkula,Maize,30.0,1246.0,1246.0,1246.0,2010,9
254,2010-10-01,305320.0,Haryana,Panchkula,Maize,18.0,0.0,0.0,1160.0,2010,10
255,2010-11-01,,Haryana,Panchkula,Maize,263.02200000000005,1236.1666666666667,1244.05,1259.8833333333334,2010,11
256,2010-12-01,,Haryana,Panchkula,Maize,263.02200000000005,1236.1666666666667,1244.05,1259.8833333333334,2010,12
257,2011-01-01,325093.0,Haryana,Panchkula,Maize,195.0,1277.0,1277.0,1277.0,2011,1
258,2011-02-01,,Haryana,Panchkula,Maize,263.02200000000005,1236.1666666666667,1244.05,1259.8833333333334,2011,2
259,2011-03-01,,Haryana,Panchkula,Maize,263.02200000000005,1236.1666666666667,1244.05,1259.8833333333334,2011,3
260,2011-04-01,356311.0,Haryana,Panchkula,Maize,34.0,1125.0,1125.0,1125.0,2011,4
273,2011-05-01,365783.0,Haryana,Panchkula,Maize,299.0,1120.0,1120.0,1120.0,2011,5
281,2011-06-01,379024.0,Haryana,Panchkula,Maize,410.0,1175.0,1175.0,1175.0,2011,6
284,2011-07-01,389776.0,Haryana,Panchkula,Maize,67.0,1211.0,1272.0,1241.0,2011,7
286,2011-08-01,401755.0,Haryana,Panchkula,Maize,100.0,1152.0,1152.0,1152.0,2011,8
292,2011-09-01,416015.0,Haryana,Panchkula,Maize,46.0,1150.0,1150.0,1150.0,2011,9
