,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,336.0,Haryana,Panipat,Maize,556.0,1000.0,1500.0,1200.0,2008,1
2,2008-02-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2008,2
3,2008-03-01,21430.0,Haryana,Panipat,Maize,10.0,1000.0,1000.0,0.0,2008,3
4,2008-04-01,26967.0,Haryana,Panipat,Maize,531.7,1000.0,1010.0,1005.0,2008,4
80,2008-05-01,36818.0,Haryana,Panipat,Maize,312.7,1000.0,1000.0,1000.0,2008,5
128,2008-06-01,48615.0,Haryana,Panipat,Maize,15.0,1005.0,1005.0,0.0,2008,6
132,2008-07-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2008,7
133,2008-08-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2008,8
134,2008-09-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2008,9
135,2008-10-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2008,10
136,2008-11-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2008,11
137,2008-12-01,94890.0,Haryana,Panipat,Maize,10.0,1000.0,1000.0,1000.0,2008,12
138,2009-01-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2009,1
139,2009-02-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2009,2
140,2009-03-01,121070.0,Haryana,Panipat,Maize,1.2,0.0,900.0,0.0,2009,3
141,2009-04-01,122939.0,Haryana,Panipat,Maize,219.6,1080.0,1080.0,0.0,2009,4
234,2009-05-01,134048.0,Haryana,Panipat,Maize,62.0,1080.0,1080.0,0.0,2009,5
247,2009-06-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2009,6
248,2009-07-01,150895.0,Haryana,Panipat,Maize,55.4,0.0,1100.0,0.0,2009,7
249,2009-08-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2009,8
250,2009-09-01,167609.0,Haryana,Panipat,Maize,1.0,0.0,1080.0,0.0,2009,9
253,2009-10-01,176400.0,Haryana,Panipat,Maize,0.8,0.0,1000.0,0.0,2009,10
254,2009-11-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2009,11
255,2009-12-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2009,12
256,2010-01-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2010,1
257,2010-02-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2010,2
258,2010-03-01,229748.0,Haryana,Panipat,Maize,1.5,0.0,1000.0,0.0,2010,3
260,2010-04-01,231203.0,Haryana,Panipat,Maize,117.5,1100.0,1100.0,0.0,2010,4
306,2010-05-01,244772.0,Haryana,Panipat,Maize,119.6,0.0,1100.0,0.0,2010,5
318,2010-06-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2010,6
319,2010-07-01,276092.0,Haryana,Panipat,Maize,25.0,0.0,1000.0,0.0,2010,7
320,2010-08-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2010,8
321,2010-09-01,286916.0,Haryana,Panipat,Maize,3.2,0.0,1000.0,0.0,2010,9
322,2010-10-01,303737.0,Haryana,Panipat,Maize,1.0,0.0,1000.0,0.0,2010,10
323,2010-11-01,309297.0,Haryana,Panipat,Maize,1582.5,2100.0,2940.0,0.0,2010,11
324,2010-12-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2010,12
325,2011-01-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2011,1
326,2011-02-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2011,2
327,2011-03-01,348166.0,Haryana,Panipat,Maize,1.0,0.0,1120.0,0.0,2011,3
329,2011-04-01,355319.0,Haryana,Panipat,Maize,34.5,1120.0,1120.0,1120.0,2011,4
380,2011-05-01,365464.0,Haryana,Panipat,Maize,4653.5,0.0,1120.0,0.0,2011,5
397,2011-06-01,378647.0,Haryana,Panipat,Maize,33.0,0.0,1120.0,0.0,2011,6
400,2011-07-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2011,7
401,2011-08-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2011,8
402,2011-09-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2011,9
403,2011-10-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2011,10
404,2011-11-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2011,11
405,2011-12-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2011,12
406,2012-01-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2012,1
407,2012-02-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2012,2
408,2012-03-01,470482.0,Haryana,Panipat,Maize,680.0,1285.0,1285.0,1285.0,2012,3
429,2012-04-01,479771.0,Haryana,Panipat,Maize,680.0,1285.0,1285.0,1285.0,2012,4
481,2012-05-01,489803.0,Haryana,Panipat,Maize,39890.0,1285.0,1285.0,1285.0,2012,5
490,2012-06-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2012,6
491,2012-07-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2012,7
492,2012-08-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2012,8
493,2012-09-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2012,9
494,2012-10-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2012,10
495,2012-11-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2012,11
496,2012-12-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2012,12
497,2013-01-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2013,1
498,2013-02-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2013,2
499,2013-03-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2013,3
500,2013-04-01,608038.0,Haryana,Panipat,Maize,3756.0,1350.0,1350.0,1350.0,2013,4
540,2013-05-01,620142.0,Haryana,Panipat,Maize,612.0,1350.0,1350.0,1350.0,2013,5
553,2013-06-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2013,6
554,2013-07-01,,Haryana,Panipat,Maize,1693.7916666666667,862.2222222222222,1248.0555555555557,663.3333333333334,2013,7
