,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Haryana,Yamuna Nagar,Maize,1167.84125,1324.0625,1503.1875,1375.625,2008,1
1,2008-02-01,,Haryana,Yamuna Nagar,Maize,1167.84125,1324.0625,1503.1875,1375.625,2008,2
2,2008-03-01,,Haryana,Yamuna Nagar,Maize,1167.84125,1324.0625,1503.1875,1375.625,2008,3
3,2008-04-01,24953.0,Haryana,Yamuna Nagar,Maize,479.4,1000.0,1002.0,1000.0,2008,4
117,2008-05-01,36829.0,Haryana,Yamuna Nagar,Maize,15204.0,1000.0,1000.0,1000.0,2008,5
241,2008-06-01,,Haryana,Yamuna Nagar,Maize,1167.84125,1324.0625,1503.1875,1375.625,2008,6
242,2008-07-01,57856.0,Haryana,Yamuna Nagar,Maize,0.2,1000.0,1000.0,1000.0,2008,7
243,2008-08-01,67126.0,Haryana,Yamuna Nagar,Maize,1.0,1050.0,1050.0,1050.0,2008,8
244,2008-09-01,,Haryana,Yamuna Nagar,Maize,1167.84125,1324.0625,1503.1875,1375.625,2008,9
245,2008-10-01,80655.0,Haryana,Yamuna Nagar,Maize,913.9,880.0,1800.0,880.0,2008,10
246,2008-11-01,,Haryana,Yamuna Nagar,Maize,1167.84125,1324.0625,1503.1875,1375.625,2008,11
247,2008-12-01,,Haryana,Yamuna Nagar,Maize,1167.84125,1324.0625,1503.1875,1375.625,2008,12
248,2009-01-01,105366.0,Haryana,Yamuna Nagar,Maize,0.4,1000.0,1000.0,1000.0,2009,1
249,2009-02-01,,Haryana,Yamuna Nagar,Maize,1167.84125,1324.0625,1503.1875,1375.625,2009,2
250,2009-03-01,,Haryana,Yamuna Nagar,Maize,1167.84125,1324.0625,1503.1875,1375.625,2009,3
251,2009-04-01,122619.0,Haryana,Yamuna Nagar,Maize,63.3,1080.0,1080.0,1080.0,2009,4
421,2009-05-01,134058.0,Haryana,Yamuna Nagar,Maize,3989.0,1080.0,1080.0,1080.0,2009,5
443,2009-06-01,,Haryana,Yamuna Nagar,Maize,1167.84125,1324.0625,1503.1875,1375.625,2009,6
444,2009-07-01,,Haryana,Yamuna Nagar,Maize,1167.84125,1324.0625,1503.1875,1375.625,2009,7
445,2009-08-01,,Haryana,Yamuna Nagar,Maize,1167.84125,1324.0625,1503.1875,1375.625,2009,8
446,2009-09-01,,Haryana,Yamuna Nagar,Maize,1167.84125,1324.0625,1503.1875,1375.625,2009,9
