,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,627.0,Jharkhand,East Singhbhum,Maize,41.0,1500.0,1550.0,1500.0,2008,1
8,2008-02-01,9124.0,Jharkhand,East Singhbhum,Maize,23.0,1400.0,1450.0,1400.0,2008,2
12,2008-03-01,18447.0,Jharkhand,East Singhbhum,Maize,61.75,1450.0,1500.0,1450.0,2008,3
22,2008-04-01,25926.0,Jharkhand,East Singhbhum,Maize,23.0,1500.0,1550.0,1500.0,2008,4
37,2008-05-01,37291.0,Jharkhand,East Singhbhum,Maize,15.0,1500.0,1550.0,1500.0,2008,5
46,2008-06-01,48623.0,Jharkhand,East Singhbhum,Maize,23.0,1200.0,1250.0,1200.0,2008,6
60,2008-07-01,57139.0,Jharkhand,East Singhbhum,Maize,108.0,1400.0,1450.0,1400.0,2008,7
79,2008-08-01,65713.0,Jharkhand,East Singhbhum,Maize,16.0,1460.0,1500.0,1460.0,2008,8
86,2008-09-01,,Jharkhand,East Singhbhum,Maize,17.560344827586206,1546.4942528735633,1630.057471264368,1569.367816091954,2008,9
87,2008-10-01,78868.0,Jharkhand,East Singhbhum,Maize,34.0,1600.0,1650.0,1600.0,2008,10
108,2008-11-01,85268.0,Jharkhand,East Singhbhum,Maize,15.0,1500.0,1550.0,1500.0,2008,11
124,2008-12-01,92688.0,Jharkhand,East Singhbhum,Maize,15.0,1600.0,1650.0,1600.0,2008,12
142,2009-01-01,99867.0,Jharkhand,East Singhbhum,Maize,12.0,1200.0,1250.0,1200.0,2009,1
159,2009-02-01,107546.0,Jharkhand,East Singhbhum,Maize,12.0,1300.0,1350.0,1300.0,2009,2
178,2009-03-01,114865.0,Jharkhand,East Singhbhum,Maize,29.0,1600.0,1650.0,1600.0,2009,3
193,2009-04-01,126030.0,Jharkhand,East Singhbhum,Maize,25.0,1200.0,1250.0,1200.0,2009,4
196,2009-05-01,140572.0,Jharkhand,East Singhbhum,Maize,12.0,1250.0,1300.0,1250.0,2009,5
202,2009-06-01,142777.0,Jharkhand,East Singhbhum,Maize,12.0,1400.0,1450.0,1400.0,2009,6
237,2009-07-01,149769.0,Jharkhand,East Singhbhum,Maize,5.0,1300.0,1350.0,1300.0,2009,7
286,2009-08-01,157440.0,Jharkhand,East Singhbhum,Maize,7.0,1200.0,1250.0,1200.0,2009,8
319,2009-09-01,165168.0,Jharkhand,East Singhbhum,Maize,4.0,1200.0,1300.0,1250.0,2009,9
348,2009-10-01,174164.0,Jharkhand,East Singhbhum,Maize,4.0,1200.0,1300.0,1250.0,2009,10
388,2009-11-01,183359.0,Jharkhand,East Singhbhum,Maize,6.0,1300.0,1500.0,1400.0,2009,11
423,2009-12-01,193118.0,Jharkhand,East Singhbhum,Maize,30.0,1550.0,1600.0,1550.0,2009,12
453,2010-01-01,202666.0,Jharkhand,East Singhbhum,Maize,6.0,1400.0,1600.0,1500.0,2010,1
492,2010-02-01,211528.0,Jharkhand,East Singhbhum,Maize,6.0,1400.0,1600.0,1500.0,2010,2
537,2010-03-01,220640.0,Jharkhand,East Singhbhum,Maize,6.0,1300.0,1500.0,1400.0,2010,3
571,2010-04-01,230585.0,Jharkhand,East Singhbhum,Maize,6.0,1200.0,1400.0,1300.0,2010,4
612,2010-05-01,244785.0,Jharkhand,East Singhbhum,Maize,5.0,1200.0,1400.0,1300.0,2010,5
645,2010-06-01,256221.0,Jharkhand,East Singhbhum,Maize,5.0,1100.0,1300.0,1200.0,2010,6
674,2010-07-01,266451.0,Jharkhand,East Singhbhum,Maize,14.0,1400.0,1450.0,1400.0,2010,7
707,2010-08-01,276361.0,Jharkhand,East Singhbhum,Maize,5.0,1200.0,1400.0,1300.0,2010,8
738,2010-09-01,286013.0,Jharkhand,East Singhbhum,Maize,3.0,1200.0,1400.0,1300.0,2010,9
767,2010-10-01,295637.0,Jharkhand,East Singhbhum,Maize,27.0,1600.0,1650.0,1600.0,2010,10
790,2010-11-01,305788.0,Jharkhand,East Singhbhum,Maize,6.0,1200.0,1400.0,1300.0,2010,11
808,2010-12-01,314313.0,Jharkhand,East Singhbhum,Maize,7.0,1200.0,1400.0,1300.0,2010,12
828,2011-01-01,323898.0,Jharkhand,East Singhbhum,Maize,16.0,1560.0,1590.0,1560.0,2011,1
842,2011-02-01,333684.0,Jharkhand,East Singhbhum,Maize,18.0,1730.0,1750.0,1730.0,2011,2
861,2011-03-01,343043.0,Jharkhand,East Singhbhum,Maize,4.0,1200.0,1400.0,1300.0,2011,3
876,2011-04-01,354119.0,Jharkhand,East Singhbhum,Maize,3.0,1200.0,1400.0,1300.0,2011,4
882,2011-05-01,366348.0,Jharkhand,East Singhbhum,Maize,36.0,1250.0,1300.0,1250.0,2011,5
896,2011-06-01,379452.0,Jharkhand,East Singhbhum,Maize,20.0,1500.0,1530.0,1500.0,2011,6
907,2011-07-01,390512.0,Jharkhand,East Singhbhum,Maize,31.0,1550.0,1600.0,1550.0,2011,7
928,2011-08-01,400911.0,Jharkhand,East Singhbhum,Maize,6.0,1200.0,1400.0,1300.0,2011,8
944,2011-09-01,410790.0,Jharkhand,East Singhbhum,Maize,9.0,1600.0,1630.0,1600.0,2011,9
