,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Jharkhand,Godda,Maize,114.55,1168.3333333333333,1246.0,1205.6666666666667,2008,1
1,2008-02-01,,Jharkhand,Godda,Maize,114.55,1168.3333333333333,1246.0,1205.6666666666667,2008,2
2,2008-03-01,17225.0,Jharkhand,Godda,Maize,10.0,1050.0,1100.0,1050.0,2008,3
24,2008-04-01,26258.0,Jharkhand,Godda,Maize,7.5,1070.0,1200.0,1150.0,2008,4
39,2008-05-01,36840.0,Jharkhand,Godda,Maize,10.0,970.0,1000.0,980.0,2008,5
64,2008-06-01,48625.0,Jharkhand,Godda,Maize,10.0,900.0,950.0,925.0,2008,6
88,2008-07-01,57141.0,Jharkhand,Godda,Maize,10.0,1000.0,1100.0,1025.0,2008,7
111,2008-08-01,66302.0,Jharkhand,Godda,Maize,10.0,900.0,950.0,925.0,2008,8
120,2008-09-01,73050.0,Jharkhand,Godda,Maize,10.0,1050.0,1100.0,1075.0,2008,9
140,2008-10-01,78869.0,Jharkhand,Godda,Maize,10.0,1050.0,1100.0,1075.0,2008,10
158,2008-11-01,85269.0,Jharkhand,Godda,Maize,10.0,1000.0,1050.0,1025.0,2008,11
178,2008-12-01,92379.0,Jharkhand,Godda,Maize,10.0,1000.0,1050.0,1025.0,2008,12
198,2009-01-01,99869.0,Jharkhand,Godda,Maize,10.0,1000.0,1050.0,1025.0,2009,1
213,2009-02-01,,Jharkhand,Godda,Maize,114.55,1168.3333333333333,1246.0,1205.6666666666667,2009,2
214,2009-03-01,,Jharkhand,Godda,Maize,114.55,1168.3333333333333,1246.0,1205.6666666666667,2009,3
215,2009-04-01,,Jharkhand,Godda,Maize,114.55,1168.3333333333333,1246.0,1205.6666666666667,2009,4
216,2009-05-01,,Jharkhand,Godda,Maize,114.55,1168.3333333333333,1246.0,1205.6666666666667,2009,5
217,2009-06-01,,Jharkhand,Godda,Maize,114.55,1168.3333333333333,1246.0,1205.6666666666667,2009,6
218,2009-07-01,149781.0,Jharkhand,Godda,Maize,100.0,1050.0,1100.0,1075.0,2009,7
242,2009-08-01,157448.0,Jharkhand,Godda,Maize,100.0,1000.0,1050.0,1025.0,2009,8
268,2009-09-01,165522.0,Jharkhand,Godda,Maize,100.0,1200.0,1250.0,1225.0,2009,9
285,2009-10-01,174165.0,Jharkhand,Godda,Maize,100.0,1150.0,1200.0,1175.0,2009,10
310,2009-11-01,183360.0,Jharkhand,Godda,Maize,100.0,1200.0,1250.0,1225.0,2009,11
334,2009-12-01,193127.0,Jharkhand,Godda,Maize,100.0,1250.0,1300.0,1275.0,2009,12
359,2010-01-01,202667.0,Jharkhand,Godda,Maize,100.0,1350.0,1400.0,1375.0,2010,1
379,2010-02-01,211535.0,Jharkhand,Godda,Maize,100.0,1400.0,1450.0,1425.0,2010,2
401,2010-03-01,221077.0,Jharkhand,Godda,Maize,100.0,1350.0,1400.0,1375.0,2010,3
419,2010-04-01,230917.0,Jharkhand,Godda,Maize,100.0,1400.0,1450.0,1425.0,2010,4
436,2010-05-01,244788.0,Jharkhand,Godda,Maize,100.0,1200.0,1300.0,1250.0,2010,5
450,2010-06-01,256223.0,Jharkhand,Godda,Maize,100.0,1200.0,1300.0,1250.0,2010,6
471,2010-07-01,266453.0,Jharkhand,Godda,Maize,100.0,1200.0,1300.0,1250.0,2010,7
489,2010-08-01,276363.0,Jharkhand,Godda,Maize,100.0,1200.0,1400.0,1300.0,2010,8
515,2010-09-01,286015.0,Jharkhand,Godda,Maize,100.0,1200.0,1400.0,1300.0,2010,9
