,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Jharkhand,Lohardaga,Maize,8.895918367346939,1400.0,1571.4285714285713,1496.2244897959183,2008,1
1,2008-02-01,,Jharkhand,Lohardaga,Maize,8.895918367346939,1400.0,1571.4285714285713,1496.2244897959183,2008,2
2,2008-03-01,,Jharkhand,Lohardaga,Maize,8.895918367346939,1400.0,1571.4285714285713,1496.2244897959183,2008,3
3,2008-04-01,,Jharkhand,Lohardaga,Maize,8.895918367346939,1400.0,1571.4285714285713,1496.2244897959183,2008,4
4,2008-05-01,,Jharkhand,Lohardaga,Maize,8.895918367346939,1400.0,1571.4285714285713,1496.2244897959183,2008,5
5,2008-06-01,,Jharkhand,Lohardaga,Maize,8.895918367346939,1400.0,1571.4285714285713,1496.2244897959183,2008,6
6,2008-07-01,,Jharkhand,Lohardaga,Maize,8.895918367346939,1400.0,1571.4285714285713,1496.2244897959183,2008,7
7,2008-08-01,,Jharkhand,Lohardaga,Maize,8.895918367346939,1400.0,1571.4285714285713,1496.2244897959183,2008,8
8,2008-09-01,,Jharkhand,Lohardaga,Maize,8.895918367346939,1400.0,1571.4285714285713,1496.2244897959183,2008,9
9,2008-10-01,,Jharkhand,Lohardaga,Maize,8.895918367346939,1400.0,1571.4285714285713,1496.2244897959183,2008,10
10,2008-11-01,90474.0,Jharkhand,Lohardaga,Maize,2.0,1000.0,1100.0,1000.0,2008,11
11,2008-12-01,96384.0,Jharkhand,Lohardaga,Maize,2.0,1100.0,1200.0,1150.0,2008,12
13,2009-01-01,103449.0,Jharkhand,Lohardaga,Maize,2.5,1000.0,1100.0,1050.0,2009,1
15,2009-02-01,111376.0,Jharkhand,Lohardaga,Maize,1.0,1200.0,1300.0,1200.0,2009,2
16,2009-03-01,117045.0,Jharkhand,Lohardaga,Maize,2.5,1200.0,1300.0,1200.0,2009,3
21,2009-04-01,124104.0,Jharkhand,Lohardaga,Maize,3.0,950.0,1050.0,1000.0,2009,4
24,2009-05-01,134405.0,Jharkhand,Lohardaga,Maize,3.0,1000.0,1100.0,1000.0,2009,5
27,2009-06-01,,Jharkhand,Lohardaga,Maize,8.895918367346939,1400.0,1571.4285714285713,1496.2244897959183,2009,6
