,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,74.0,Jharkhand,Saraikela(Kharsanwa),Maize,25.0,1100.0,1150.0,1100.0,2008,1
21,2008-02-01,8319.0,Jharkhand,Saraikela(Kharsanwa),Maize,47.0,1100.0,1150.0,1100.0,2008,2
42,2008-03-01,16781.0,Jharkhand,Saraikela(Kharsanwa),Maize,80.0,1200.0,1250.0,1200.0,2008,3
65,2008-04-01,25574.0,Jharkhand,Saraikela(Kharsanwa),Maize,80.0,1300.0,1350.0,1300.0,2008,4
87,2008-05-01,36842.0,Jharkhand,Saraikela(Kharsanwa),Maize,80.0,1300.0,1350.0,1300.0,2008,5
114,2008-06-01,48628.0,Jharkhand,Saraikela(Kharsanwa),Maize,80.0,1300.0,1350.0,1300.0,2008,6
138,2008-07-01,57145.0,Jharkhand,Saraikela(Kharsanwa),Maize,80.0,1400.0,1450.0,1400.0,2008,7
164,2008-08-01,65718.0,Jharkhand,Saraikela(Kharsanwa),Maize,80.0,1400.0,1450.0,1400.0,2008,8
183,2008-09-01,72051.0,Jharkhand,Saraikela(Kharsanwa),Maize,80.0,1400.0,1450.0,1400.0,2008,9
209,2008-10-01,78874.0,Jharkhand,Saraikela(Kharsanwa),Maize,80.0,1500.0,1550.0,1500.0,2008,10
235,2008-11-01,85273.0,Jharkhand,Saraikela(Kharsanwa),Maize,80.0,1500.0,1550.0,1500.0,2008,11
259,2008-12-01,92383.0,Jharkhand,Saraikela(Kharsanwa),Maize,80.0,1500.0,1550.0,1500.0,2008,12
285,2009-01-01,99873.0,Jharkhand,Saraikela(Kharsanwa),Maize,80.0,1500.0,1550.0,1500.0,2009,1
305,2009-02-01,107433.0,Jharkhand,Saraikela(Kharsanwa),Maize,80.0,1500.0,1550.0,1500.0,2009,2
333,2009-03-01,114868.0,Jharkhand,Saraikela(Kharsanwa),Maize,80.0,1550.0,1600.0,1550.0,2009,3
358,2009-04-01,122632.0,Jharkhand,Saraikela(Kharsanwa),Maize,80.0,1500.0,1550.0,1500.0,2009,4
388,2009-05-01,134071.0,Jharkhand,Saraikela(Kharsanwa),Maize,80.0,1600.0,1650.0,1600.0,2009,5
417,2009-06-01,142782.0,Jharkhand,Saraikela(Kharsanwa),Maize,80.0,1300.0,1350.0,1300.0,2009,6
441,2009-07-01,149779.0,Jharkhand,Saraikela(Kharsanwa),Maize,80.0,1500.0,1550.0,1500.0,2009,7
472,2009-08-01,157446.0,Jharkhand,Saraikela(Kharsanwa),Maize,75.0,1150.0,1200.0,1150.0,2009,8
503,2009-09-01,165166.0,Jharkhand,Saraikela(Kharsanwa),Maize,70.0,1200.0,1250.0,1200.0,2009,9
532,2009-10-01,174519.0,Jharkhand,Saraikela(Kharsanwa),Maize,71.0,1100.0,1150.0,1100.0,2009,10
562,2009-11-01,183358.0,Jharkhand,Saraikela(Kharsanwa),Maize,70.0,1150.0,1200.0,1150.0,2009,11
592,2009-12-01,193125.0,Jharkhand,Saraikela(Kharsanwa),Maize,68.0,1200.0,1250.0,1200.0,2009,12
