,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,635.0,Jharkhand,Simdega,Maize,50.0,900.0,1200.0,1000.0,2008,1
3,2008-02-01,,Jharkhand,Simdega,Maize,4.901875,1124.21875,1568.75,1499.21875,2008,2
4,2008-03-01,19128.0,Jharkhand,Simdega,Maize,15.0,1000.0,1200.0,1100.0,2008,3
9,2008-04-01,25575.0,Jharkhand,Simdega,Maize,15.0,1400.0,1600.0,1500.0,2008,4
12,2008-05-01,39967.0,Jharkhand,Simdega,Maize,20.0,1450.0,1600.0,1500.0,2008,5
14,2008-06-01,,Jharkhand,Simdega,Maize,4.901875,1124.21875,1568.75,1499.21875,2008,6
15,2008-07-01,,Jharkhand,Simdega,Maize,4.901875,1124.21875,1568.75,1499.21875,2008,7
16,2008-08-01,,Jharkhand,Simdega,Maize,4.901875,1124.21875,1568.75,1499.21875,2008,8
17,2008-09-01,,Jharkhand,Simdega,Maize,4.901875,1124.21875,1568.75,1499.21875,2008,9
18,2008-10-01,,Jharkhand,Simdega,Maize,4.901875,1124.21875,1568.75,1499.21875,2008,10
19,2008-11-01,,Jharkhand,Simdega,Maize,4.901875,1124.21875,1568.75,1499.21875,2008,11
20,2008-12-01,,Jharkhand,Simdega,Maize,4.901875,1124.21875,1568.75,1499.21875,2008,12
21,2009-01-01,105372.0,Jharkhand,Simdega,Maize,1.5,1000.0,1500.0,1150.0,2009,1
25,2009-02-01,107553.0,Jharkhand,Simdega,Maize,1.0,1000.0,1500.0,1150.0,2009,2
38,2009-03-01,114869.0,Jharkhand,Simdega,Maize,1.0,1025.0,1500.0,1150.0,2009,3
43,2009-04-01,122956.0,Jharkhand,Simdega,Maize,1.5,1000.0,1600.0,1150.0,2009,4
48,2009-05-01,134072.0,Jharkhand,Simdega,Maize,1.0,1000.0,1600.0,1150.0,2009,5
59,2009-06-01,142510.0,Jharkhand,Simdega,Maize,1.5,1050.0,1600.0,1150.0,2009,6
70,2009-07-01,150049.0,Jharkhand,Simdega,Maize,5.0,1050.0,1600.0,1150.0,2009,7
80,2009-08-01,157681.0,Jharkhand,Simdega,Maize,5.0,1000.0,1600.0,1150.0,2009,8
88,2009-09-01,165844.0,Jharkhand,Simdega,Maize,3.0,1050.0,1600.0,1150.0,2009,9
91,2009-10-01,174162.0,Jharkhand,Simdega,Maize,4.0,1000.0,1600.0,1150.0,2009,10
96,2009-11-01,184991.0,Jharkhand,Simdega,Maize,4.0,1650.0,1800.0,1750.0,2009,11
