,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,Karnataka,Belgaum,Wheat,2.0,1025.0,1230.0,1150.0,2008,1
11,2008-02-01,Karnataka,Belgaum,Wheat,8.0,1125.0,1125.0,1125.0,2008,2
24,2008-03-01,Karnataka,Belgaum,Wheat,40.0,990.0,1270.0,1220.0,2008,3
39,2008-04-01,Karnataka,Belgaum,Wheat,106.0,1150.0,1200.0,1200.0,2008,4
49,2008-05-01,Karnataka,Belgaum,Wheat,129.0,1100.0,1250.0,1200.0,2008,5
63,2008-06-01,Karnataka,Belgaum,Wheat,2.0,1190.0,1380.0,1265.0,2008,6
82,2008-07-01,Karnataka,Belgaum,Wheat,10.0,800.0,900.0,850.0,2008,7
97,2008-08-01,Karnataka,Belgaum,Wheat,10.0,1150.0,1150.0,1150.0,2008,8
112,2008-09-01,Karnataka,Belgaum,Wheat,16.0,1100.0,1175.0,1150.0,2008,9
121,2008-10-01,Karnataka,Belgaum,Wheat,10.0,950.0,1100.0,1000.0,2008,10
129,2008-11-01,Karnataka,Belgaum,Wheat,2.0,900.0,1205.0,1125.0,2008,11
142,2008-12-01,Karnataka,Belgaum,Wheat,3.0,890.0,910.0,900.0,2008,12
145,2009-01-01,Karnataka,Belgaum,Wheat,46.0,700.0,800.0,735.0,2009,1
151,2009-02-01,Karnataka,Belgaum,Wheat,3.0,800.0,1150.0,950.0,2009,2
163,2009-03-01,Karnataka,Belgaum,Wheat,10.0,1100.0,1300.0,1200.0,2009,3
177,2009-04-01,Karnataka,Belgaum,Wheat,56.0,1000.0,1200.0,1100.0,2009,4
192,2009-05-01,Karnataka,Belgaum,Wheat,2.0,605.0,725.0,690.0,2009,5
207,2009-06-01,Karnataka,Belgaum,Wheat,10.0,900.0,1200.0,1050.0,2009,6
218,2009-07-01,Karnataka,Belgaum,Wheat,3.0,1150.0,1350.0,1250.0,2009,7
233,2009-08-01,Karnataka,Belgaum,Wheat,7.0,1110.0,1110.0,1110.0,2009,8
237,2009-09-01,Karnataka,Belgaum,Wheat,11.0,1125.0,1125.0,1125.0,2009,9
249,2009-10-01,Karnataka,Belgaum,Wheat,10.0,1200.0,1200.0,1200.0,2009,10
266,2009-11-01,Karnataka,Belgaum,Wheat,1.0,1110.0,1330.0,1260.0,2009,11
276,2009-12-01,Karnataka,Belgaum,Wheat,3.0,970.0,1500.0,1100.0,2009,12
285,2010-01-01,Karnataka,Belgaum,Wheat,13.0,1600.0,1680.0,1660.0,2010,1
295,2010-02-01,Karnataka,Belgaum,Wheat,6.0,1775.0,1850.0,1800.0,2010,2
301,2010-03-01,Karnataka,Belgaum,Wheat,5.0,1080.0,1120.0,1100.0,2010,3
307,2010-04-01,Karnataka,Belgaum,Wheat,4.0,1000.0,1400.0,1100.0,2010,4
318,2010-05-01,Karnataka,Belgaum,Wheat,2.0,1350.0,1550.0,1450.0,2010,5
330,2010-06-01,Karnataka,Belgaum,Wheat,12.0,1125.0,1200.0,1150.0,2010,6
344,2010-07-01,Karnataka,Belgaum,Wheat,1.0,1400.0,1600.0,1500.0,2010,7
352,2010-08-01,Karnataka,Belgaum,Wheat,1.0,1250.0,1500.0,1450.0,2010,8
