,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,Karnataka,Bellary,Wheat,36.3141592920354,1435.7610619469026,1464.1681415929204,1448.2389380530974,2008,1
1,2008-02-01,Karnataka,Bellary,Wheat,36.3141592920354,1435.7610619469026,1464.1681415929204,1448.2389380530974,2008,2
2,2008-03-01,Karnataka,Bellary,Wheat,36.3141592920354,1435.7610619469026,1464.1681415929204,1448.2389380530974,2008,3
3,2008-04-01,Karnataka,Bellary,Wheat,36.3141592920354,1435.7610619469026,1464.1681415929204,1448.2389380530974,2008,4
4,2008-05-01,Karnataka,Bellary,Wheat,36.3141592920354,1435.7610619469026,1464.1681415929204,1448.2389380530974,2008,5
5,2008-06-01,Karnataka,Bellary,Wheat,36.3141592920354,1435.7610619469026,1464.1681415929204,1448.2389380530974,2008,6
6,2008-07-01,Karnataka,Bellary,Wheat,36.3141592920354,1435.7610619469026,1464.1681415929204,1448.2389380530974,2008,7
7,2008-08-01,Karnataka,Bellary,Wheat,23.0,1000.0,1400.0,1300.0,2008,8
10,2008-09-01,Karnataka,Bellary,Wheat,11.0,980.0,1020.0,1000.0,2008,9
11,2008-10-01,Karnataka,Bellary,Wheat,10.0,1020.0,1030.0,1025.0,2008,10
15,2008-11-01,Karnataka,Bellary,Wheat,9.0,1030.0,1030.0,1030.0,2008,11
16,2008-12-01,Karnataka,Bellary,Wheat,10.0,1020.0,1030.0,1030.0,2008,12
17,2009-01-01,Karnataka,Bellary,Wheat,9.0,1060.0,1060.0,1060.0,2009,1
18,2009-02-01,Karnataka,Bellary,Wheat,12.666666666666666,1026.6666666666667,1033.3333333333333,1030.0,2009,2
19,2009-03-01,Karnataka,Bellary,Wheat,16.333333333333332,993.3333333333334,1006.6666666666666,1000.0,2009,3
20,2009-04-01,Karnataka,Bellary,Wheat,20.0,960.0,980.0,970.0,2009,4
24,2009-05-01,Karnataka,Bellary,Wheat,10.0,930.0,930.0,930.0,2009,5
25,2009-06-01,Karnataka,Bellary,Wheat,21.0,920.0,940.0,930.0,2009,6
27,2009-07-01,Karnataka,Bellary,Wheat,26.0,920.0,940.0,930.0,2009,7
28,2009-08-01,Karnataka,Bellary,Wheat,19.0,1040.0,1060.0,1050.0,2009,8
29,2009-09-01,Karnataka,Bellary,Wheat,16.666666666666668,1093.3333333333333,1106.6666666666667,1100.0,2009,9
30,2009-10-01,Karnataka,Bellary,Wheat,14.333333333333332,1146.6666666666667,1153.3333333333333,1150.0,2009,10
31,2009-11-01,Karnataka,Bellary,Wheat,12.0,1200.0,1200.0,1200.0,2009,11
