,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,Karnataka,Hassan,Wheat,3.0,1200.0,1500.0,1350.0,2008,1
4,2008-02-01,Karnataka,Hassan,Wheat,1.0,1250.0,1550.0,1400.0,2008,2
8,2008-03-01,Karnataka,Hassan,Wheat,2.0,1350.0,1450.0,1400.0,2008,3
16,2008-04-01,Karnataka,Hassan,Wheat,18.0,1350.0,1400.0,1375.0,2008,4
17,2008-05-01,Karnataka,Hassan,Wheat,2.0,1250.0,1620.0,1435.0,2008,5
21,2008-06-01,Karnataka,Hassan,Wheat,11.0,1540.0,1620.0,1580.0,2008,6
26,2008-07-01,Karnataka,Hassan,Wheat,2.0,1580.0,1660.0,1620.0,2008,7
27,2008-08-01,Karnataka,Hassan,Wheat,1.0,1400.0,1650.0,1525.0,2008,8
30,2008-09-01,Karnataka,Hassan,Wheat,2.0,1200.0,1450.0,1325.0,2008,9
31,2008-10-01,Karnataka,Hassan,Wheat,2.0,1400.0,1600.0,1500.0,2008,10
32,2008-11-01,Karnataka,Hassan,Wheat,1.0,1400.0,1650.0,1525.0,2008,11
33,2008-12-01,Karnataka,Hassan,Wheat,1.0,1256.0,1256.0,1256.0,2008,12
36,2009-01-01,Karnataka,Hassan,Wheat,2.0,1360.0,1360.0,1360.0,2009,1
38,2009-02-01,Karnataka,Hassan,Wheat,2.0,1330.0,1330.0,1330.0,2009,2
41,2009-03-01,Karnataka,Hassan,Wheat,1.0,1500.0,1600.0,1550.0,2009,3
45,2009-04-01,Karnataka,Hassan,Wheat,579.0,1580.0,1700.0,1640.0,2009,4
47,2009-05-01,Karnataka,Hassan,Wheat,2.0,1500.0,1750.0,1625.0,2009,5
50,2009-06-01,Karnataka,Hassan,Wheat,4.0,1400.0,1700.0,1550.0,2009,6
53,2009-07-01,Karnataka,Hassan,Wheat,2.0,1450.0,1800.0,1576.0,2009,7
56,2009-08-01,Karnataka,Hassan,Wheat,2.5,1437.5,1612.5,1500.5,2009,8
57,2009-09-01,Karnataka,Hassan,Wheat,3.0,1425.0,1425.0,1425.0,2009,9
59,2009-10-01,Karnataka,Hassan,Wheat,2.0,1500.0,1800.0,1528.0,2009,10
61,2009-11-01,Karnataka,Hassan,Wheat,2.0,1800.0,1850.0,1826.0,2009,11
64,2009-12-01,Karnataka,Hassan,Wheat,2.0,1570.0,1570.0,1570.0,2009,12
65,2010-01-01,Karnataka,Hassan,Wheat,9.0,1800.0,2100.0,1950.0,2010,1
70,2010-02-01,Karnataka,Hassan,Wheat,6.333333333333334,1666.6666666666667,2066.6666666666665,1866.6666666666667,2010,2
71,2010-03-01,Karnataka,Hassan,Wheat,3.666666666666667,1533.3333333333333,2033.3333333333333,1783.3333333333333,2010,3
72,2010-04-01,Karnataka,Hassan,Wheat,1.0,1400.0,2000.0,1700.0,2010,4
74,2010-05-01,Karnataka,Hassan,Wheat,2.0,1360.0,1360.0,1360.0,2010,5
80,2010-06-01,Karnataka,Hassan,Wheat,5.0,1586.0,1626.0,1625.0,2010,6
81,2010-07-01,Karnataka,Hassan,Wheat,3.0,1563.0,1563.0,1563.0,2010,7
85,2010-08-01,Karnataka,Hassan,Wheat,1.0,0.0,0.0,1700.0,2010,8
90,2010-09-01,Karnataka,Hassan,Wheat,2.0,1550.0,1690.0,1600.0,2010,9
96,2010-10-01,Karnataka,Hassan,Wheat,2.0,1700.0,1700.0,1700.0,2010,10
100,2010-11-01,Karnataka,Hassan,Wheat,5.0,1652.0,1760.0,1753.0,2010,11
104,2010-12-01,Karnataka,Hassan,Wheat,5.0,1750.0,1750.0,1750.0,2010,12
112,2011-01-01,Karnataka,Hassan,Wheat,3.0,1675.0,1793.0,1675.0,2011,1
114,2011-02-01,Karnataka,Hassan,Wheat,5.0,1600.0,1790.0,1700.0,2011,2
116,2011-03-01,Karnataka,Hassan,Wheat,5.0,1600.0,1760.0,1700.0,2011,3
119,2011-04-01,Karnataka,Hassan,Wheat,4.0,1661.0,1661.0,1661.0,2011,4
123,2011-05-01,Karnataka,Hassan,Wheat,4.0,1640.0,1640.0,1640.0,2011,5
126,2011-06-01,Karnataka,Hassan,Wheat,208.0,1231.0,1567.0,1413.0,2011,6
129,2011-07-01,Karnataka,Hassan,Wheat,3.0,1567.0,1567.0,1567.0,2011,7
135,2011-08-01,Karnataka,Hassan,Wheat,6.0,1500.0,1510.0,1500.0,2011,8
140,2011-09-01,Karnataka,Hassan,Wheat,6.0,1412.0,1500.0,1473.0,2011,9
141,2011-10-01,Karnataka,Hassan,Wheat,1.0,1575.0,1575.0,1575.0,2011,10
145,2011-11-01,Karnataka,Hassan,Wheat,3.0,1415.0,1473.0,1473.0,2011,11
150,2011-12-01,Karnataka,Hassan,Wheat,1.0,1520.0,1520.0,1520.0,2011,12
157,2012-01-01,Karnataka,Hassan,Wheat,4.0,1440.0,1500.0,1480.0,2012,1
162,2012-02-01,Karnataka,Hassan,Wheat,1.0,1520.0,1520.0,1520.0,2012,2
166,2012-03-01,Karnataka,Hassan,Wheat,28.0,1575.0,1575.0,1575.0,2012,3
171,2012-04-01,Karnataka,Hassan,Wheat,4.0,1640.0,1660.0,1640.0,2012,4
176,2012-05-01,Karnataka,Hassan,Wheat,1.0,1630.0,1630.0,1630.0,2012,5
180,2012-06-01,Karnataka,Hassan,Wheat,2.0,1580.0,1580.0,1580.0,2012,6
185,2012-07-01,Karnataka,Hassan,Wheat,9.0,1584.0,1627.0,1625.0,2012,7
192,2012-08-01,Karnataka,Hassan,Wheat,8.0,1750.0,1900.0,1900.0,2012,8
195,2012-09-01,Karnataka,Hassan,Wheat,335.0,1175.0,1940.0,1605.0,2012,9
198,2012-10-01,Karnataka,Hassan,Wheat,2.0,1877.0,1877.0,1877.0,2012,10
204,2012-11-01,Karnataka,Hassan,Wheat,2.0,2035.0,2035.0,2035.0,2012,11
209,2012-12-01,Karnataka,Hassan,Wheat,7.0,2033.0,2042.0,2042.0,2012,12
213,2013-01-01,Karnataka,Hassan,Wheat,2.0,1900.0,1990.0,1950.0,2013,1
217,2013-02-01,Karnataka,Hassan,Wheat,1.0,2053.0,2053.0,2053.0,2013,2
221,2013-03-01,Karnataka,Hassan,Wheat,2.0,1742.0,1742.0,1742.0,2013,3
223,2013-04-01,Karnataka,Hassan,Wheat,5.0,1951.0,1965.0,1965.0,2013,4
228,2013-05-01,Karnataka,Hassan,Wheat,352.0,1750.0,2040.0,1750.0,2013,5
234,2013-06-01,Karnataka,Hassan,Wheat,2.0,1850.0,1850.0,1850.0,2013,6
239,2013-07-01,Karnataka,Hassan,Wheat,3.0,1974.0,1974.0,1974.0,2013,7
242,2013-08-01,Karnataka,Hassan,Wheat,4.0,2030.0,2030.0,2030.0,2013,8
243,2013-09-01,Karnataka,Hassan,Wheat,3.0,2050.0,2050.0,2050.0,2013,9
245,2013-10-01,Karnataka,Hassan,Wheat,3.0,2050.0,2050.0,2050.0,2013,10
247,2013-11-01,Karnataka,Hassan,Wheat,3.0,2300.0,2300.0,2300.0,2013,11
248,2013-12-01,Karnataka,Hassan,Wheat,986.5,2048.0,2350.0,2048.0,2013,12
249,2014-01-01,Karnataka,Hassan,Wheat,1970.0,1796.0,2400.0,1796.0,2014,1
250,2014-02-01,Karnataka,Hassan,Wheat,28.0,2080.0,2080.0,2080.0,2014,2
254,2014-03-01,Karnataka,Hassan,Wheat,751.0,1796.0,2453.0,1796.0,2014,3
265,2014-04-01,Karnataka,Hassan,Wheat,30.0,1670.0,1670.0,1670.0,2014,4
