,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2008,1
1,2008-02-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2008,2
2,2008-03-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2008,3
3,2008-04-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2008,4
4,2008-05-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2008,5
5,2008-06-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2008,6
6,2008-07-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2008,7
7,2008-08-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2008,8
8,2008-09-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2008,9
9,2008-10-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2008,10
10,2008-11-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2008,11
11,2008-12-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2008,12
12,2009-01-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2009,1
13,2009-02-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2009,2
14,2009-03-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2009,3
15,2009-04-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2009,4
16,2009-05-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2009,5
17,2009-06-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2009,6
18,2009-07-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2009,7
19,2009-08-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2009,8
20,2009-09-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2009,9
21,2009-10-01,Karnataka,Tumkur,Wheat,85.0765306122449,1656.3775510204082,1896.9642857142858,1789.1173469387759,2009,10
22,2009-11-01,Karnataka,Tumkur,Wheat,180.0,1100.0,1200.0,1150.0,2009,11
23,2009-12-01,Karnataka,Tumkur,Wheat,30.0,1200.0,1485.0,1300.0,2009,12
24,2010-01-01,Karnataka,Tumkur,Wheat,28.55,1212.5,1485.75,1309.45,2010,1
25,2010-02-01,Karnataka,Tumkur,Wheat,27.1,1225.0,1486.5,1318.9,2010,2
26,2010-03-01,Karnataka,Tumkur,Wheat,25.65,1237.5,1487.25,1328.35,2010,3
27,2010-04-01,Karnataka,Tumkur,Wheat,24.2,1250.0,1488.0,1337.8,2010,4
28,2010-05-01,Karnataka,Tumkur,Wheat,22.75,1262.5,1488.75,1347.25,2010,5
