,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Kerala,Alappuzha,Maize,5.10377358490566,2035.1415094339623,2162.5,2093.867924528302,2008,1
1,2008-02-01,15279.0,Kerala,Alappuzha,Maize,5.0,1800.0,2000.0,1900.0,2008,2
2,2008-03-01,17628.0,Kerala,Alappuzha,Maize,5.0,1200.0,1400.0,1300.0,2008,3
16,2008-04-01,24974.0,Kerala,Alappuzha,Maize,5.0,1200.0,1400.0,1300.0,2008,4
38,2008-05-01,43221.0,Kerala,Alappuzha,Maize,5.0,1200.0,1300.0,1250.0,2008,5
56,2008-06-01,53999.0,Kerala,Alappuzha,Maize,5.0,1200.0,1300.0,1250.0,2008,6
64,2008-07-01,57157.0,Kerala,Alappuzha,Maize,5.0,1200.0,1400.0,1300.0,2008,7
70,2008-08-01,66872.0,Kerala,Alappuzha,Maize,5.0,1400.0,1450.0,1425.0,2008,8
76,2008-09-01,73065.0,Kerala,Alappuzha,Maize,5.0,1400.0,1450.0,1425.0,2008,9
84,2008-10-01,80091.0,Kerala,Alappuzha,Maize,5.0,1400.0,1450.0,1425.0,2008,10
96,2008-11-01,85274.0,Kerala,Alappuzha,Maize,5.0,1400.0,1450.0,1425.0,2008,11
102,2008-12-01,,Kerala,Alappuzha,Maize,5.10377358490566,2035.1415094339623,2162.5,2093.867924528302,2008,12
103,2009-01-01,,Kerala,Alappuzha,Maize,5.10377358490566,2035.1415094339623,2162.5,2093.867924528302,2009,1
104,2009-02-01,,Kerala,Alappuzha,Maize,5.10377358490566,2035.1415094339623,2162.5,2093.867924528302,2009,2
105,2009-03-01,,Kerala,Alappuzha,Maize,5.10377358490566,2035.1415094339623,2162.5,2093.867924528302,2009,3
106,2009-04-01,,Kerala,Alappuzha,Maize,5.10377358490566,2035.1415094339623,2162.5,2093.867924528302,2009,4
107,2009-05-01,138548.0,Kerala,Alappuzha,Maize,5.0,1400.0,1410.0,1405.0,2009,5
111,2009-06-01,145353.0,Kerala,Alappuzha,Maize,5.0,1400.0,1410.0,1405.0,2009,6
115,2009-07-01,153820.0,Kerala,Alappuzha,Maize,5.0,1400.0,1410.0,1405.0,2009,7
119,2009-08-01,161901.0,Kerala,Alappuzha,Maize,5.0,1400.0,1450.0,1425.0,2009,8
127,2009-09-01,167257.0,Kerala,Alappuzha,Maize,5.0,1400.0,1500.0,1450.0,2009,9
137,2009-10-01,175612.0,Kerala,Alappuzha,Maize,5.0,1400.0,1450.0,1425.0,2009,10
149,2009-11-01,187385.0,Kerala,Alappuzha,Maize,5.0,1400.0,1420.0,1410.0,2009,11
155,2009-12-01,193488.0,Kerala,Alappuzha,Maize,5.0,1400.0,1450.0,1425.0,2009,12
163,2010-01-01,202676.0,Kerala,Alappuzha,Maize,5.0,1400.0,1500.0,1450.0,2010,1
175,2010-02-01,213980.0,Kerala,Alappuzha,Maize,5.0,1400.0,1500.0,1450.0,2010,2
185,2010-03-01,221890.0,Kerala,Alappuzha,Maize,5.0,1400.0,1450.0,1425.0,2010,3
195,2010-04-01,233846.0,Kerala,Alappuzha,Maize,5.0,1400.0,1500.0,1425.0,2010,4
197,2010-05-01,245937.0,Kerala,Alappuzha,Maize,5.0,1400.0,1500.0,1450.0,2010,5
203,2010-06-01,258756.0,Kerala,Alappuzha,Maize,5.0,1400.0,1500.0,1450.0,2010,6
211,2010-07-01,267857.0,Kerala,Alappuzha,Maize,5.0,1400.0,1500.0,1450.0,2010,7
219,2010-08-01,281423.0,Kerala,Alappuzha,Maize,5.0,1400.0,1500.0,1450.0,2010,8
223,2010-09-01,292544.0,Kerala,Alappuzha,Maize,5.0,2200.0,2400.0,2300.0,2010,9
228,2010-10-01,295649.0,Kerala,Alappuzha,Maize,5.0,2100.0,2300.0,2200.0,2010,10
244,2010-11-01,306167.0,Kerala,Alappuzha,Maize,5.0,2200.0,2300.0,2250.0,2010,11
258,2010-12-01,314331.0,Kerala,Alappuzha,Maize,5.0,2200.0,2300.0,2250.0,2010,12
271,2011-01-01,324766.0,Kerala,Alappuzha,Maize,5.0,2400.0,2500.0,2450.0,2011,1
275,2011-02-01,334095.0,Kerala,Alappuzha,Maize,5.0,2400.0,2500.0,2450.0,2011,2
292,2011-03-01,343054.0,Kerala,Alappuzha,Maize,5.0,2400.0,2500.0,2400.0,2011,3
301,2011-04-01,353018.0,Kerala,Alappuzha,Maize,4.0,2300.0,2400.0,2350.0,2011,4
308,2011-05-01,365813.0,Kerala,Alappuzha,Maize,4.0,2300.0,2500.0,2300.0,2011,5
325,2011-06-01,378669.0,Kerala,Alappuzha,Maize,4.0,2300.0,2400.0,2350.0,2011,6
344,2011-07-01,389794.0,Kerala,Alappuzha,Maize,4.0,2300.0,2500.0,2400.0,2011,7
368,2011-08-01,401345.0,Kerala,Alappuzha,Maize,5.0,2200.0,2400.0,2300.0,2011,8
386,2011-09-01,411123.0,Kerala,Alappuzha,Maize,10.0,2200.0,2400.0,2300.0,2011,9
402,2011-10-01,421835.0,Kerala,Alappuzha,Maize,10.0,2200.0,2400.0,2300.0,2011,10
415,2011-11-01,430387.0,Kerala,Alappuzha,Maize,10.0,2200.0,2400.0,2300.0,2011,11
435,2011-12-01,440652.0,Kerala,Alappuzha,Maize,5.0,2100.0,2250.0,2100.0,2011,12
458,2012-01-01,451226.0,Kerala,Alappuzha,Maize,5.0,2200.0,2400.0,2250.0,2012,1
480,2012-02-01,460108.0,Kerala,Alappuzha,Maize,5.0,2200.0,2350.0,2300.0,2012,2
