,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,949.0,Madhya Pradesh,Ashoknagar,Maize,76.0,880.0,1275.0,1000.0,2008,1
57,2008-02-01,8329.0,Madhya Pradesh,Ashoknagar,Maize,76.0,975.0,1000.0,981.0,2008,2
124,2008-03-01,16801.0,Madhya Pradesh,Ashoknagar,Maize,94.0,955.0,1415.0,1070.0,2008,3
181,2008-04-01,25247.0,Madhya Pradesh,Ashoknagar,Maize,442.0,957.0,1852.0,1161.0,2008,4
240,2008-05-01,48262.0,Madhya Pradesh,Ashoknagar,Maize,76.0,1100.0,1213.0,1100.0,2008,5
241,2008-06-01,50749.0,Madhya Pradesh,Ashoknagar,Maize,76.0,1116.0,1216.0,1216.0,2008,6
248,2008-07-01,57159.0,Madhya Pradesh,Ashoknagar,Maize,76.0,1100.0,1100.0,1100.0,2008,7
274,2008-08-01,65724.0,Madhya Pradesh,Ashoknagar,Maize,76.0,1100.0,1230.0,1100.0,2008,8
284,2008-09-01,73637.0,Madhya Pradesh,Ashoknagar,Maize,76.0,930.0,950.0,940.0,2008,9
288,2008-10-01,80925.0,Madhya Pradesh,Ashoknagar,Maize,76.0,941.0,955.0,955.0,2008,10
300,2008-11-01,85276.0,Madhya Pradesh,Ashoknagar,Maize,76.0,918.0,1056.0,963.0,2008,11
314,2008-12-01,94199.0,Madhya Pradesh,Ashoknagar,Maize,76.0,970.0,1635.0,1045.0,2008,12
317,2009-01-01,100188.0,Madhya Pradesh,Ashoknagar,Maize,76.0,1106.0,1250.0,1250.0,2009,1
322,2009-02-01,108157.0,Madhya Pradesh,Ashoknagar,Maize,76.0,1246.0,1246.0,1246.0,2009,2
323,2009-03-01,115690.0,Madhya Pradesh,Ashoknagar,Maize,76.0,995.0,1585.0,1050.0,2009,3
332,2009-04-01,123554.0,Madhya Pradesh,Ashoknagar,Maize,76.0,1130.0,1661.0,1300.0,2009,4
340,2009-05-01,135829.0,Madhya Pradesh,Ashoknagar,Maize,1627.0,1131.0,1670.0,1131.0,2009,5
342,2009-06-01,,Madhya Pradesh,Ashoknagar,Maize,,1360.3090909090909,,,2009,6
343,2009-07-01,149790.0,Madhya Pradesh,Ashoknagar,Maize,27.2,995.0,1470.0,1334.0,2009,7
352,2009-08-01,161607.0,Madhya Pradesh,Ashoknagar,Maize,93.6,1061.0,1688.0,1300.0,2009,8
362,2009-09-01,165171.0,Madhya Pradesh,Ashoknagar,Maize,151.9,1050.0,1816.0,1315.0,2009,9
386,2009-10-01,174178.0,Madhya Pradesh,Ashoknagar,Maize,190.2,1050.0,1751.0,1301.0,2009,10
407,2009-11-01,183521.0,Madhya Pradesh,Ashoknagar,Maize,1.0,1500.0,1500.0,1500.0,2009,11
454,2009-12-01,193141.0,Madhya Pradesh,Ashoknagar,Maize,152.3,900.0,1866.0,1500.0,2009,12
498,2010-01-01,202678.0,Madhya Pradesh,Ashoknagar,Maize,20.9,1260.0,1880.0,1480.0,2010,1
534,2010-02-01,211543.0,Madhya Pradesh,Ashoknagar,Maize,103.3,1230.0,1912.0,1500.0,2010,2
562,2010-03-01,221091.0,Madhya Pradesh,Ashoknagar,Maize,36.2,1150.0,1869.0,1475.0,2010,3
582,2010-04-01,231229.0,Madhya Pradesh,Ashoknagar,Maize,1087.3,1200.0,1945.0,1465.0,2010,4
589,2010-05-01,,Madhya Pradesh,Ashoknagar,Maize,,1360.3090909090909,,,2010,5
590,2010-06-01,262718.0,Madhya Pradesh,Ashoknagar,Maize,105.6,1105.0,1810.0,1456.0,2010,6
591,2010-07-01,,Madhya Pradesh,Ashoknagar,Maize,,1360.3090909090909,,,2010,7
592,2010-08-01,,Madhya Pradesh,Ashoknagar,Maize,,1360.3090909090909,,,2010,8
593,2010-09-01,288438.0,Madhya Pradesh,Ashoknagar,Maize,152.3,1140.0,1718,1300,2010,9
604,2010-10-01,295650.0,Madhya Pradesh,Ashoknagar,Maize,60.4,1050.0, , ,2010,10
618,2010-11-01,305800.0,Madhya Pradesh,Ashoknagar,Maize,182.0,1005.0,1825,1395,2010,11
639,2010-12-01,314333.0,Madhya Pradesh,Ashoknagar,Maize,137.6,1105.0,1880,1341,2010,12
660,2011-01-01,323909.0,Madhya Pradesh,Ashoknagar,Maize,47.1,1065.0,1706.0,1330.0,2011,1
705,2011-02-01,333698.0,Madhya Pradesh,Ashoknagar,Maize,170.8,1170.0,1727.0,1431.0,2011,2
750,2011-03-01,343056.0,Madhya Pradesh,Ashoknagar,Maize,152.6,1130.0,1200.0,1175.0,2011,3
856,2011-04-01,353020.0,Madhya Pradesh,Ashoknagar,Maize,9.5,1155.0,1605.0,1345.0,2011,4
992,2011-05-01,365815.0,Madhya Pradesh,Ashoknagar,Maize,1014.9,1302.0,1430.0,1400.0,2011,5
1148,2011-06-01,378671.0,Madhya Pradesh,Ashoknagar,Maize,633.7,1214.0,1315.0,1275.0,2011,6
1247,2011-07-01,389796.0,Madhya Pradesh,Ashoknagar,Maize,21.3,1000.0,1185.0,1050.0,2011,7
1332,2011-08-01,400930.0,Madhya Pradesh,Ashoknagar,Maize,285.2,1136.0,1220.0,1180.0,2011,8
1400,2011-09-01,411125.0,Madhya Pradesh,Ashoknagar,Maize,494.0,1056.0,1190.0,1100.0,2011,9
1455,2011-10-01,421342.0,Madhya Pradesh,Ashoknagar,Maize,347.3,1056.0,1186.0,1120.0,2011,10
1509,2011-11-01,430115.0,Madhya Pradesh,Ashoknagar,Maize,269.2,1039.0,1253.0,1205.0,2011,11
1588,2011-12-01,440654.0,Madhya Pradesh,Ashoknagar,Maize,5.0,1285.0,1415.0,1350.0,2011,12
1709,2012-01-01,451311.0,Madhya Pradesh,Ashoknagar,Maize,25.5,1155.0,1199.0,1162.0,2012,1
1804,2012-02-01,460110.0,Madhya Pradesh,Ashoknagar,Maize,184.4,1189.0,1366.0,1366.0,2012,2
1882,2012-03-01,468247.0,Madhya Pradesh,Ashoknagar,Maize,1.5,1595.0,1595.0,1595.0,2012,3
1960,2012-04-01,477608.0,Madhya Pradesh,Ashoknagar,Maize,16.7,1385.0,1500.0,1400.0,2012,4
2058,2012-05-01,489820.0,Madhya Pradesh,Ashoknagar,Maize,30.7,1385.0,1600.0,1500.0,2012,5
2235,2012-06-01,503940.0,Madhya Pradesh,Ashoknagar,Maize,33.6,1095.0,1630.0,1410.0,2012,6
2340,2012-07-01,515309.0,Madhya Pradesh,Ashoknagar,Maize,354.4,1040.0,1500.0,1220.0,2012,7
