,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,76.0,Madhya Pradesh,Badwani,Maize,45.0,921.0,1071.0,1029.0,2008,1
32,2008-02-01,8333.0,Madhya Pradesh,Badwani,Maize,1.0,800.0,1000.0,900.0,2008,2
73,2008-03-01,16805.0,Madhya Pradesh,Badwani,Maize,18.0,925.0,1135.0,1100.0,2008,3
112,2008-04-01,25953.0,Madhya Pradesh,Badwani,Maize,20.8,800.0,1278.0,1100.0,2008,4
126,2008-05-01,36845.0,Madhya Pradesh,Badwani,Maize,11.1,869.0,1191.0,1100.0,2008,5
155,2008-06-01,,Madhya Pradesh,Badwani,Maize,49.52149532710281,1325.766355140187,1394.6542056074766,1362.4859813084113,2008,6
156,2008-07-01,,Madhya Pradesh,Badwani,Maize,49.52149532710281,1325.766355140187,1394.6542056074766,1362.4859813084113,2008,7
157,2008-08-01,,Madhya Pradesh,Badwani,Maize,49.52149532710281,1325.766355140187,1394.6542056074766,1362.4859813084113,2008,8
158,2008-09-01,,Madhya Pradesh,Badwani,Maize,49.52149532710281,1325.766355140187,1394.6542056074766,1362.4859813084113,2008,9
159,2008-10-01,,Madhya Pradesh,Badwani,Maize,49.52149532710281,1325.766355140187,1394.6542056074766,1362.4859813084113,2008,10
160,2008-11-01,,Madhya Pradesh,Badwani,Maize,49.52149532710281,1325.766355140187,1394.6542056074766,1362.4859813084113,2008,11
161,2008-12-01,,Madhya Pradesh,Badwani,Maize,49.52149532710281,1325.766355140187,1394.6542056074766,1362.4859813084113,2008,12
162,2009-01-01,105072.0,Madhya Pradesh,Badwani,Maize,0.4,1061.0,1270.0,1150.0,2009,1
166,2009-02-01,110394.0,Madhya Pradesh,Badwani,Maize,0.7,800.0,1172.0,1128.0,2009,2
175,2009-03-01,116031.0,Madhya Pradesh,Badwani,Maize,1.5,1031.0,1105.0,1055.0,2009,3
187,2009-04-01,127146.0,Madhya Pradesh,Badwani,Maize,630.0,2600.0,2870.0,2735.0,2009,4
189,2009-05-01,138250.0,Madhya Pradesh,Badwani,Maize,17.6,1131.0,1140.0,1132.0,2009,5
