,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Madhya Pradesh,Bhind,Maize,48.396699029126225,1254.883495145631,1316.7087378640776,1300.8252427184466,2008,1
1,2008-02-01,,Madhya Pradesh,Bhind,Maize,48.396699029126225,1254.883495145631,1316.7087378640776,1300.8252427184466,2008,2
2,2008-03-01,18473.0,Madhya Pradesh,Bhind,Maize,76.0,950.0,1130.0,1130.0,2008,3
3,2008-04-01,,Madhya Pradesh,Bhind,Maize,48.396699029126225,1254.883495145631,1316.7087378640776,1300.8252427184466,2008,4
4,2008-05-01,37844.0,Madhya Pradesh,Bhind,Maize,76.0,800.0,1755.0,1100.0,2008,5
7,2008-06-01,52402.0,Madhya Pradesh,Bhind,Maize,76.0,1100.0,1110.0,1100.0,2008,6
14,2008-07-01,57162.0,Madhya Pradesh,Bhind,Maize,76.0,1100.0,1100.0,1100.0,2008,7
30,2008-08-01,65727.0,Madhya Pradesh,Bhind,Maize,76.0,1100.0,1230.0,1100.0,2008,8
34,2008-09-01,,Madhya Pradesh,Bhind,Maize,48.396699029126225,1254.883495145631,1316.7087378640776,1300.8252427184466,2008,9
35,2008-10-01,83071.0,Madhya Pradesh,Bhind,Maize,76.0,700.0,1650.0,1435.0,2008,10
39,2008-11-01,86782.0,Madhya Pradesh,Bhind,Maize,76.0,950.0,1410.0,950.0,2008,11
40,2008-12-01,,Madhya Pradesh,Bhind,Maize,48.396699029126225,1254.883495145631,1316.7087378640776,1300.8252427184466,2008,12
41,2009-01-01,,Madhya Pradesh,Bhind,Maize,48.396699029126225,1254.883495145631,1316.7087378640776,1300.8252427184466,2009,1
42,2009-02-01,,Madhya Pradesh,Bhind,Maize,48.396699029126225,1254.883495145631,1316.7087378640776,1300.8252427184466,2009,2
43,2009-03-01,,Madhya Pradesh,Bhind,Maize,48.396699029126225,1254.883495145631,1316.7087378640776,1300.8252427184466,2009,3
44,2009-04-01,,Madhya Pradesh,Bhind,Maize,48.396699029126225,1254.883495145631,1316.7087378640776,1300.8252427184466,2009,4
45,2009-05-01,,Madhya Pradesh,Bhind,Maize,48.396699029126225,1254.883495145631,1316.7087378640776,1300.8252427184466,2009,5
46,2009-06-01,,Madhya Pradesh,Bhind,Maize,48.396699029126225,1254.883495145631,1316.7087378640776,1300.8252427184466,2009,6
47,2009-07-01,152966.0,Madhya Pradesh,Bhind,Maize,137.5,1012.0,1084.0,1065.0,2009,7
49,2009-08-01,157455.0,Madhya Pradesh,Bhind,Maize,45.0,1020.0,1052.0,1045.0,2009,8
78,2009-09-01,165174.0,Madhya Pradesh,Bhind,Maize,150.7,1100.0,1120.0,1113.0,2009,9
153,2009-10-01,174181.0,Madhya Pradesh,Bhind,Maize,125.0,1060.0,1125.0,1080.0,2009,10
228,2009-11-01,183363.0,Madhya Pradesh,Bhind,Maize,170.6,1255.0,1310.0,1290.0,2009,11
329,2009-12-01,193144.0,Madhya Pradesh,Bhind,Maize,13.7,1265.0,1274.0,1270.0,2009,12
407,2010-01-01,202681.0,Madhya Pradesh,Bhind,Maize,48.0,1231.0,1280.0,1260.0,2010,1
431,2010-02-01,211544.0,Madhya Pradesh,Bhind,Maize,12.5,1240.0,1270.0,1250.0,2010,2
486,2010-03-01,221494.0,Madhya Pradesh,Bhind,Maize,4.1,1180.0,1200.0,1185.0,2010,3
537,2010-04-01,230607.0,Madhya Pradesh,Bhind,Maize,56.2,1018.0,1050.0,1040.0,2010,4
566,2010-05-01,244798.0,Madhya Pradesh,Bhind,Maize,274.8,1200.0,1200.0,1200.0,2010,5
586,2010-06-01,256244.0,Madhya Pradesh,Bhind,Maize,5.8,1115.0,1157.0,1140.0,2010,6
610,2010-07-01,267488.0,Madhya Pradesh,Bhind,Maize,13.5,1105.0,1120.0,1111.0,2010,7
633,2010-08-01,276373.0,Madhya Pradesh,Bhind,Maize,19.3,1140.0,1175.0,1158.0,2010,8
658,2010-09-01,286027.0,Madhya Pradesh,Bhind,Maize,69.9,1136.0,1175.0,1140.0,2010,9
682,2010-10-01,295653.0,Madhya Pradesh,Bhind,Maize,5.5,1090.0,1100.0,1095.0,2010,10
775,2010-11-01,305803.0,Madhya Pradesh,Bhind,Maize,27.5,1100.0,1112.0,1108.0,2010,11
