,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,85.0,Madhya Pradesh,Burhanpur,Maize,20.06,921.0,1071.0,1029.0,2008,1
31,2008-02-01,8344.0,Madhya Pradesh,Burhanpur,Maize,76.0,990.0,1100.0,1075.0,2008,2
67,2008-03-01,17259.0,Madhya Pradesh,Burhanpur,Maize,76.0,1070.0,1122.0,1085.0,2008,3
98,2008-04-01,25261.0,Madhya Pradesh,Burhanpur,Maize,76.0,854.0,1114.0,1100.0,2008,4
124,2008-05-01,37319.0,Madhya Pradesh,Burhanpur,Maize,610.0,1100.0,1215.0,1100.0,2008,5
156,2008-06-01,50323.0,Madhya Pradesh,Burhanpur,Maize,76.0,947.0,1100.0,1100.0,2008,6
174,2008-07-01,57166.0,Madhya Pradesh,Burhanpur,Maize,7.5,1002.0,1202.0,1060.0,2008,7
228,2008-08-01,65729.0,Madhya Pradesh,Burhanpur,Maize,76.0,1100.0,1100.0,1100.0,2008,8
264,2008-09-01,72064.0,Madhya Pradesh,Burhanpur,Maize,44.08,1010.0,1100.0,1010.0,2008,9
295,2008-10-01,78886.0,Madhya Pradesh,Burhanpur,Maize,14.05,980.0,1018.0,1003.0,2008,10
312,2008-11-01,87728.0,Madhya Pradesh,Burhanpur,Maize,76.0,1024.0,1119.0,1040.0,2008,11
330,2008-12-01,92398.0,Madhya Pradesh,Burhanpur,Maize,76.0,906.0,1055.0,1012.0,2008,12
339,2009-01-01,102452.0,Madhya Pradesh,Burhanpur,Maize,76.0,985.0,1224.0,1186.0,2009,1
353,2009-02-01,107567.0,Madhya Pradesh,Burhanpur,Maize,76.0,1075.0,1160.0,1160.0,2009,2
376,2009-03-01,115032.0,Madhya Pradesh,Burhanpur,Maize,76.0,1000.0,1130.0,1062.0,2009,3
413,2009-04-01,122646.0,Madhya Pradesh,Burhanpur,Maize,156.3,1010.0,1135.0,1130.0,2009,4
447,2009-05-01,134076.0,Madhya Pradesh,Burhanpur,Maize,32.0,1130.0,1130.0,1130.0,2009,5
474,2009-06-01,142523.0,Madhya Pradesh,Burhanpur,Maize,40.6,1071.0,1200.0,1130.0,2009,6
496,2009-07-01,149791.0,Madhya Pradesh,Burhanpur,Maize,0.4,1067.0,1112.0,1112.0,2009,7
518,2009-08-01,157833.0,Madhya Pradesh,Burhanpur,Maize,22.5,1100.0,1155.0,1148.0,2009,8
536,2009-09-01,165179.0,Madhya Pradesh,Burhanpur,Maize,4.5,1126.0,1411.0,1176.0,2009,9
555,2009-10-01,174187.0,Madhya Pradesh,Burhanpur,Maize,20.0,1175.0,1225.0,1190.0,2009,10
575,2009-11-01,183770.0,Madhya Pradesh,Burhanpur,Maize,25.0,1104.0,1440.0,1420.0,2009,11
595,2009-12-01,193151.0,Madhya Pradesh,Burhanpur,Maize,9.0,1252.0,1525.0,1380.0,2009,12
615,2010-01-01,202685.0,Madhya Pradesh,Burhanpur,Maize,0.9,1427.0,1700.0,1441.0,2010,1
634,2010-02-01,211547.0,Madhya Pradesh,Burhanpur,Maize,3.8,1199.0,1604.0,1348.0,2010,2
653,2010-03-01,220769.0,Madhya Pradesh,Burhanpur,Maize,58.6,1080.0,1362.0,1184.0,2010,3
670,2010-04-01,230610.0,Madhya Pradesh,Burhanpur,Maize,130.9,1066.0,1257.0,1200.0,2010,4
690,2010-05-01,245430.0,Madhya Pradesh,Burhanpur,Maize,58.0,1200.0,1341.0,1200.0,2010,5
708,2010-06-01,256247.0,Madhya Pradesh,Burhanpur,Maize,7.3,1181.0,1450.0,1220.0,2010,6
720,2010-07-01,,Madhya Pradesh,Burhanpur,Maize,39.15981308411216,1281.6091588785046,1423.03738317757,1348.5046728971963,2010,7
721,2010-08-01,,Madhya Pradesh,Burhanpur,Maize,39.15981308411216,1281.6091588785046,1423.03738317757,1348.5046728971963,2010,8
722,2010-09-01,289354.0,Madhya Pradesh,Burhanpur,Maize,9.5,1050.0,1265.0,1200.0,2010,9
723,2010-10-01,,Madhya Pradesh,Burhanpur,Maize,39.15981308411216,1281.6091588785046,1423.03738317757,1348.5046728971963,2010,10
724,2010-11-01,,Madhya Pradesh,Burhanpur,Maize,39.15981308411216,1281.6091588785046,1423.03738317757,1348.5046728971963,2010,11
725,2010-12-01,,Madhya Pradesh,Burhanpur,Maize,39.15981308411216,1281.6091588785046,1423.03738317757,1348.5046728971963,2010,12
726,2011-01-01,,Madhya Pradesh,Burhanpur,Maize,39.15981308411216,1281.6091588785046,1423.03738317757,1348.5046728971963,2011,1
727,2011-02-01,334465.0,Madhya Pradesh,Burhanpur,Maize,3.0,1005.0,1262.0,1247.0,2011,2
737,2011-03-01,343072.0,Madhya Pradesh,Burhanpur,Maize,10.3,1152.0,1300.0,1235.0,2011,3
758,2011-04-01,353813.0,Madhya Pradesh,Burhanpur,Maize,182.0,1088.0,1227.0,1220.0,2011,4
772,2011-05-01,365828.0,Madhya Pradesh,Burhanpur,Maize,86.0,1022.0,1220.0,1209.0,2011,5
792,2011-06-01,378686.0,Madhya Pradesh,Burhanpur,Maize,11.05,1052.0,1175.0,1070.0,2011,6
814,2011-07-01,389811.0,Madhya Pradesh,Burhanpur,Maize,27.0,1021.0,1086.0,1050.0,2011,7
835,2011-08-01,401360.0,Madhya Pradesh,Burhanpur,Maize,13.05,1025.0,1161.0,1071.0,2011,8
854,2011-09-01,410805.0,Madhya Pradesh,Burhanpur,Maize,22.7,976.0,1102.0,1055.0,2011,9
874,2011-10-01,421849.0,Madhya Pradesh,Burhanpur,Maize,48.09,923.0,1033.0,950.0,2011,10
890,2011-11-01,430021.0,Madhya Pradesh,Burhanpur,Maize,17.07,970.0,1038.0,1021.0,2011,11
910,2011-12-01,440666.0,Madhya Pradesh,Burhanpur,Maize,5.5,1026.0,1060.0,1051.0,2011,12
929,2012-01-01,451235.0,Madhya Pradesh,Burhanpur,Maize,23.0,1004.0,1101.0,1085.0,2012,1
949,2012-02-01,460121.0,Madhya Pradesh,Burhanpur,Maize,120.0,1021.0,1144.0,1131.0,2012,2
967,2012-03-01,468260.0,Madhya Pradesh,Burhanpur,Maize,188.0,1064.0,1184.0,1170.0,2012,3
986,2012-04-01,477616.0,Madhya Pradesh,Burhanpur,Maize,100.46,1121.0,1385.0,1175.0,2012,4
1003,2012-05-01,489833.0,Madhya Pradesh,Burhanpur,Maize,50.28,1081.0,1385.0,1215.0,2012,5
1026,2012-06-01,503951.0,Madhya Pradesh,Burhanpur,Maize,7.02,1100.0,1251.0,1165.0,2012,6
1047,2012-07-01,515318.0,Madhya Pradesh,Burhanpur,Maize,0.86,1161.0,1504.0,1180.0,2012,7
1067,2012-08-01,526682.0,Madhya Pradesh,Burhanpur,Maize,10.49,1400.0,1704.0,1445.0,2012,8
1084,2012-09-01,537711.0,Madhya Pradesh,Burhanpur,Maize,40.94,1532.0,1675.0,1575.0,2012,9
1103,2012-10-01,548251.0,Madhya Pradesh,Burhanpur,Maize,40.69,1365.0,1500.0,1385.0,2012,10
1120,2012-11-01,559100.0,Madhya Pradesh,Burhanpur,Maize,10.51,1540.0,1602.0,1561.0,2012,11
1137,2012-12-01,569584.0,Madhya Pradesh,Burhanpur,Maize,10.26,1412.0,1540.0,1529.0,2012,12
1155,2013-01-01,578816.0,Madhya Pradesh,Burhanpur,Maize,30.19,1448.0,1549.0,1529.0,2013,1
1177,2013-02-01,588767.0,Madhya Pradesh,Burhanpur,Maize,9.04,1545.0,1605.0,1582.0,2013,2
1193,2013-03-01,598261.0,Madhya Pradesh,Burhanpur,Maize,60.15,1375.0,1473.0,1461.0,2013,3
1206,2013-04-01,606833.0,Madhya Pradesh,Burhanpur,Maize,150.04,1376.0,1609.0,1500.0,2013,4
1225,2013-05-01,620171.0,Madhya Pradesh,Burhanpur,Maize,40.26,1394.0,1505.0,1481.0,2013,5
1244,2013-06-01,634083.0,Madhya Pradesh,Burhanpur,Maize,50.37,1329.0,1575.0,1532.0,2013,6
