,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,2502.0,Madhya Pradesh,Gwalior,Maize,76.0,921.0,1247.0,1115.0,2008,1
4,2008-02-01,8361.0,Madhya Pradesh,Gwalior,Maize,76.0,975.0,1000.0,981.0,2008,2
21,2008-03-01,17274.0,Madhya Pradesh,Gwalior,Maize,76.0,1005.0,1435.0,1130.0,2008,3
30,2008-04-01,25267.0,Madhya Pradesh,Gwalior,Maize,76.0,957.0,1852.0,1161.0,2008,4
36,2008-05-01,41904.0,Madhya Pradesh,Gwalior,Maize,76.0,1100.0,1100.0,1100.0,2008,5
43,2008-06-01,50757.0,Madhya Pradesh,Gwalior,Maize,76.0,1116.0,1216.0,1216.0,2008,6
56,2008-07-01,57184.0,Madhya Pradesh,Gwalior,Maize,76.0,1100.0,1100.0,1100.0,2008,7
77,2008-08-01,65740.0,Madhya Pradesh,Gwalior,Maize,76.0,1100.0,1230.0,1100.0,2008,8
84,2008-09-01,72337.0,Madhya Pradesh,Gwalior,Maize,76.0,974.0,1203.0,1203.0,2008,9
89,2008-10-01,78895.0,Madhya Pradesh,Gwalior,Maize,76.0,819.0,900.0,900.0,2008,10
102,2008-11-01,85286.0,Madhya Pradesh,Gwalior,Maize,76.0,918.0,1056.0,963.0,2008,11
104,2008-12-01,99611.0,Madhya Pradesh,Gwalior,Maize,76.0,980.0,1035.0,1035.0,2008,12
105,2009-01-01,101831.0,Madhya Pradesh,Gwalior,Maize,76.0,1015.0,1570.0,1125.0,2009,1
106,2009-02-01,110731.0,Madhya Pradesh,Gwalior,Maize,76.0,1056.0,1139.0,1139.0,2009,2
107,2009-03-01,122189.0,Madhya Pradesh,Gwalior,Maize,76.0,900.0,1170.0,1130.0,2009,3
108,2009-04-01,124841.0,Madhya Pradesh,Gwalior,Maize,2566.0,790.0,1232.0,1000.0,2009,4
111,2009-05-01,,Madhya Pradesh,Gwalior,Maize,243.99732142857147,1268.767857142857,1452.9285714285713,1350.6517857142858,2009,5
112,2009-06-01,,Madhya Pradesh,Gwalior,Maize,243.99732142857147,1268.767857142857,1452.9285714285713,1350.6517857142858,2009,6
113,2009-07-01,150067.0,Madhya Pradesh,Gwalior,Maize,204.7,970.0,1251.0,1100.0,2009,7
