,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,94.0,Madhya Pradesh,Harda,Maize,76.0,955.0,1050.0,1025.0,2008,1
192,2008-02-01,8362.0,Madhya Pradesh,Harda,Maize,76.0,831.0,1070.0,1027.0,2008,2
393,2008-03-01,16826.0,Madhya Pradesh,Harda,Maize,76.0,1061.0,1136.0,1090.0,2008,3
524,2008-04-01,24990.0,Madhya Pradesh,Harda,Maize,246.5,877.0,1182.0,1100.0,2008,4
667,2008-05-01,37330.0,Madhya Pradesh,Harda,Maize,2846.6,1100.0,1120.0,1100.0,2008,5
717,2008-06-01,48649.0,Madhya Pradesh,Harda,Maize,76.0,1100.0,1105.0,1100.0,2008,6
746,2008-07-01,57186.0,Madhya Pradesh,Harda,Maize,211.0,1100.0,1130.0,1100.0,2008,7
839,2008-08-01,65742.0,Madhya Pradesh,Harda,Maize,76.0,1100.0,1130.0,1100.0,2008,8
896,2008-09-01,72069.0,Madhya Pradesh,Harda,Maize,486.5,850.0,1173.0,1014.0,2008,9
933,2008-10-01,78896.0,Madhya Pradesh,Harda,Maize,124.8,980.0,1198.0,1020.0,2008,10
996,2008-11-01,85287.0,Madhya Pradesh,Harda,Maize,143.9,898.0,1124.0,1005.0,2008,11
1097,2008-12-01,92407.0,Madhya Pradesh,Harda,Maize,318.6,950.0,1200.0,1020.0,2008,12
1216,2009-01-01,99883.0,Madhya Pradesh,Harda,Maize,143.1,965.0,1188.0,1112.0,2009,1
1337,2009-02-01,107574.0,Madhya Pradesh,Harda,Maize,140.0,1040.0,1195.0,1080.0,2009,2
1433,2009-03-01,115040.0,Madhya Pradesh,Harda,Maize,327.5,950.0,1225.0,1064.0,2009,3
1526,2009-04-01,122653.0,Madhya Pradesh,Harda,Maize,2751.1,1130.0,1130.0,1130.0,2009,4
1590,2009-05-01,134433.0,Madhya Pradesh,Harda,Maize,1206.7,1130.0,1184.0,1130.0,2009,5
1676,2009-06-01,142529.0,Madhya Pradesh,Harda,Maize,518.9,1130.0,1200.0,1130.0,2009,6
1724,2009-07-01,149796.0,Madhya Pradesh,Harda,Maize,78.2,1075.0,1257.0,1134.0,2009,7
1772,2009-08-01,157462.0,Madhya Pradesh,Harda,Maize,76.6,1050.0,1330.0,1135.0,2009,8
1830,2009-09-01,165193.0,Madhya Pradesh,Harda,Maize,98.1,1100.0,1220.0,1170.0,2009,9
1888,2009-10-01,174207.0,Madhya Pradesh,Harda,Maize,302.0,1120.0,1407.0,1180.0,2009,10
1952,2009-11-01,183791.0,Madhya Pradesh,Harda,Maize,168.7,1280.0,1840.0,1540.0,2009,11
2016,2009-12-01,193169.0,Madhya Pradesh,Harda,Maize,120.5,1325.0,1700.0,1365.0,2009,12
2082,2010-01-01,202702.0,Madhya Pradesh,Harda,Maize,22.0,1325.0,1675.0,1440.0,2010,1
2139,2010-02-01,211563.0,Madhya Pradesh,Harda,Maize,158.2,1290.0,1360.0,1335.0,2010,2
2186,2010-03-01,220783.0,Madhya Pradesh,Harda,Maize,35.8,1100.0,1270.0,1240.0,2010,3
2227,2010-04-01,231250.0,Madhya Pradesh,Harda,Maize,2682.6,950.0,1290.0,1200.0,2010,4
2274,2010-05-01,245441.0,Madhya Pradesh,Harda,Maize,1460.8,900.0,1305.0,1200.0,2010,5
2320,2010-06-01,256259.0,Madhya Pradesh,Harda,Maize,279.2,1080.0,1471.0,1205.0,2010,6
