,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,98.0,Madhya Pradesh,Hoshangabad,Maize,76.0,955.0,1050.0,1025.0,2008,1
190,2008-02-01,8372.0,Madhya Pradesh,Hoshangabad,Maize,76.0,831.0,1070.0,1027.0,2008,2
359,2008-03-01,16835.0,Madhya Pradesh,Hoshangabad,Maize,76.0,1061.0,1136.0,1090.0,2008,3
471,2008-04-01,24994.0,Madhya Pradesh,Hoshangabad,Maize,1498.7,877.0,1182.0,1100.0,2008,4
635,2008-05-01,37334.0,Madhya Pradesh,Hoshangabad,Maize,76.0,1100.0,1120.0,1100.0,2008,5
702,2008-06-01,48650.0,Madhya Pradesh,Hoshangabad,Maize,1474.5,1100.0,1105.0,1100.0,2008,6
763,2008-07-01,57190.0,Madhya Pradesh,Hoshangabad,Maize,76.0,1100.0,1130.0,1100.0,2008,7
848,2008-08-01,65744.0,Madhya Pradesh,Hoshangabad,Maize,76.0,1100.0,1130.0,1100.0,2008,8
900,2008-09-01,72071.0,Madhya Pradesh,Hoshangabad,Maize,523.9,850.0,1173.0,1014.0,2008,9
943,2008-10-01,78899.0,Madhya Pradesh,Hoshangabad,Maize,76.0,980.0,1198.0,1020.0,2008,10
1008,2008-11-01,85292.0,Madhya Pradesh,Hoshangabad,Maize,76.0,898.0,1124.0,1005.0,2008,11
1062,2008-12-01,92411.0,Madhya Pradesh,Hoshangabad,Maize,76.0,950.0,1200.0,1020.0,2008,12
1133,2009-01-01,99888.0,Madhya Pradesh,Hoshangabad,Maize,76.0,965.0,1188.0,1112.0,2009,1
1218,2009-02-01,107579.0,Madhya Pradesh,Hoshangabad,Maize,76.0,1040.0,1195.0,1080.0,2009,2
1292,2009-03-01,115045.0,Madhya Pradesh,Hoshangabad,Maize,76.0,950.0,1225.0,1064.0,2009,3
1364,2009-04-01,122656.0,Madhya Pradesh,Hoshangabad,Maize,959.2,1130.0,1160.0,1130.0,2009,4
1445,2009-05-01,134439.0,Madhya Pradesh,Hoshangabad,Maize,1341.8,1130.0,1208.0,1130.0,2009,5
1486,2009-06-01,142531.0,Madhya Pradesh,Hoshangabad,Maize,299.6,1130.0,1195.0,1130.0,2009,6
1509,2009-07-01,149798.0,Madhya Pradesh,Hoshangabad,Maize,193.7,1060.0,1211.0,1090.0,2009,7
1533,2009-08-01,157464.0,Madhya Pradesh,Hoshangabad,Maize,100.9,1090.0,1195.0,1150.0,2009,8
1633,2009-09-01,165196.0,Madhya Pradesh,Hoshangabad,Maize,169.4,1136.0,1242.0,1190.0,2009,9
1752,2009-10-01,174210.0,Madhya Pradesh,Hoshangabad,Maize,180.7,1100.0,1364.0,1208.0,2009,10
1879,2009-11-01,183794.0,Madhya Pradesh,Hoshangabad,Maize,135.8,1250.0,1495.0,1310.0,2009,11
