,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,1611.0,Madhya Pradesh,Indore,Maize,76.0,965.0,1038.0,1038.0,2008,1
5,2008-02-01,8381.0,Madhya Pradesh,Indore,Maize,76.0,990.0,1100.0,1075.0,2008,2
45,2008-03-01,16844.0,Madhya Pradesh,Indore,Maize,76.0,925.0,1135.0,1100.0,2008,3
56,2008-04-01,,Madhya Pradesh,Indore,Maize,758.875,1284.330357142857,1546.7410714285713,1418.580357142857,2008,4
57,2008-05-01,43239.0,Madhya Pradesh,Indore,Maize,76.0,1100.0,1100.0,1100.0,2008,5
89,2008-06-01,48653.0,Madhya Pradesh,Indore,Maize,1089.2,1022.0,1125.0,1100.0,2008,6
138,2008-07-01,57194.0,Madhya Pradesh,Indore,Maize,182.7,860.0,1144.0,1100.0,2008,7
199,2008-08-01,65747.0,Madhya Pradesh,Indore,Maize,76.0,1100.0,1100.0,1100.0,2008,8
241,2008-09-01,72073.0,Madhya Pradesh,Indore,Maize,368.0,1010.0,1100.0,1010.0,2008,9
277,2008-10-01,78902.0,Madhya Pradesh,Indore,Maize,220.8,980.0,1018.0,1003.0,2008,10
324,2008-11-01,85295.0,Madhya Pradesh,Indore,Maize,371.4,976.0,1015.0,1015.0,2008,11
373,2008-12-01,92414.0,Madhya Pradesh,Indore,Maize,215.8,906.0,1055.0,1012.0,2008,12
421,2009-01-01,99892.0,Madhya Pradesh,Indore,Maize,152.2,1081.0,1165.0,1142.0,2009,1
470,2009-02-01,108177.0,Madhya Pradesh,Indore,Maize,76.0,1099.0,1151.0,1151.0,2009,2
510,2009-03-01,115046.0,Madhya Pradesh,Indore,Maize,875.9,1000.0,1130.0,1062.0,2009,3
557,2009-04-01,123574.0,Madhya Pradesh,Indore,Maize,76.0,800.0,1680.0,1130.0,2009,4
576,2009-05-01,134442.0,Madhya Pradesh,Indore,Maize,491.0,818.0,1356.0,1131.0,2009,5
598,2009-06-01,,Madhya Pradesh,Indore,Maize,758.875,1284.330357142857,1546.7410714285713,1418.580357142857,2009,6
599,2009-07-01,155216.0,Madhya Pradesh,Indore,Maize,22.6,1150.0,1303.0,1205.0,2009,7
600,2009-08-01,157466.0,Madhya Pradesh,Indore,Maize,123.9,1130.0,1358.0,1220.0,2009,8
630,2009-09-01,165201.0,Madhya Pradesh,Indore,Maize,6.0,1260.0,1260.0,1260.0,2009,9
705,2009-10-01,174215.0,Madhya Pradesh,Indore,Maize,23.4,1056.0,1150.0,1150.0,2009,10
793,2009-11-01,183530.0,Madhya Pradesh,Indore,Maize,59.1,1251.0,1400.0,1300.0,2009,11
879,2009-12-01,193177.0,Madhya Pradesh,Indore,Maize,3.5,1105.0,1250.0,1250.0,2009,12
953,2010-01-01,202707.0,Madhya Pradesh,Indore,Maize,27.8,1332.0,1900.0,1800.0,2010,1
1010,2010-02-01,211568.0,Madhya Pradesh,Indore,Maize,3.9,1195.0,1225.0,1225.0,2010,2
1062,2010-03-01,220787.0,Madhya Pradesh,Indore,Maize,194.0,1100.0,1250.0,1150.0,2010,3
1134,2010-04-01,230620.0,Madhya Pradesh,Indore,Maize,947.2,1105.0,1270.0,1250.0,2010,4
1207,2010-05-01,244806.0,Madhya Pradesh,Indore,Maize,240.5,1140.0,1215.0,1200.0,2010,5
1279,2010-06-01,256263.0,Madhya Pradesh,Indore,Maize,565.8,1000.0,1545.0,1215.0,2010,6
1343,2010-07-01,266486.0,Madhya Pradesh,Indore,Maize,15.5,1491.0,1511.0,1500.0,2010,7
1411,2010-08-01,276569.0,Madhya Pradesh,Indore,Maize,179.9,1171.0,1616.0,1250.0,2010,8
1497,2010-09-01,286042.0,Madhya Pradesh,Indore,Maize,5.5,1210.0,1215.0,1215.0,2010,9
1583,2010-10-01,295677.0,Madhya Pradesh,Indore,Maize,13.5,1131.0,1203.0,1200.0,2010,10
1672,2010-11-01,305828.0,Madhya Pradesh,Indore,Maize,6.9,1200.0,1250.0,1204.0,2010,11
1762,2010-12-01,314363.0,Madhya Pradesh,Indore,Maize,11.5,1201.0,1225.0,1201.0,2010,12
1859,2011-01-01,323941.0,Madhya Pradesh,Indore,Maize,102.2,1175.0,1548.0,1315.0,2011,1
1943,2011-02-01,333736.0,Madhya Pradesh,Indore,Maize,134.9,1200.0,1682.0,1319.0,2011,2
2018,2011-03-01,343101.0,Madhya Pradesh,Indore,Maize,14.7,1201.0,1205.0,1205.0,2011,3
2112,2011-04-01,353044.0,Madhya Pradesh,Indore,Maize,877.8,1075.0,1265.0,1220.0,2011,4
2182,2011-05-01,365491.0,Madhya Pradesh,Indore,Maize,16.0,1135.0,1135.0,1135.0,2011,5
2257,2011-06-01,378696.0,Madhya Pradesh,Indore,Maize,60.6,1100.0,1130.0,1125.0,2011,6
2356,2011-07-01,389823.0,Madhya Pradesh,Indore,Maize,84.3,1025.0,1375.0,1150.0,2011,7
2452,2011-08-01,400968.0,Madhya Pradesh,Indore,Maize,37.6,1055.0,1075.0,1060.0,2011,8
2539,2011-09-01,410828.0,Madhya Pradesh,Indore,Maize,52.9,996.0,1100.0,1100.0,2011,9
2628,2011-10-01,421382.0,Madhya Pradesh,Indore,Maize,15.7,950.0,1000.0,975.0,2011,10
2704,2011-11-01,430046.0,Madhya Pradesh,Indore,Maize,25.5,925.0,1400.0,1000.0,2011,11
2807,2011-12-01,440688.0,Madhya Pradesh,Indore,Maize,10.0,1265.0,1278.0,1275.0,2011,12
2905,2012-01-01,451258.0,Madhya Pradesh,Indore,Maize,21.0,1000.0,1285.0,1150.0,2012,1
2998,2012-02-01,460146.0,Madhya Pradesh,Indore,Maize,34.5,1100.0,1150.0,1150.0,2012,2
3087,2012-03-01,468292.0,Madhya Pradesh,Indore,Maize,42.0,1100.0,1355.0,1150.0,2012,3
3165,2012-04-01,477451.0,Madhya Pradesh,Indore,Maize,103.0,1200.0,1425.0,1385.0,2012,4
3229,2012-05-01,489854.0,Madhya Pradesh,Indore,Maize,648.7,1150.0,1393.0,1385.0,2012,5
3314,2012-06-01,503979.0,Madhya Pradesh,Indore,Maize,45.5,1275.0,1400.0,1390.0,2012,6
3386,2012-07-01,515345.0,Madhya Pradesh,Indore,Maize,34.0,1050.0,1150.0,1100.0,2012,7
3470,2012-08-01,526712.0,Madhya Pradesh,Indore,Maize,24.0,1120.0,1200.0,1120.0,2012,8
3550,2012-09-01,537146.0,Madhya Pradesh,Indore,Maize,25.5,1200.0,1871.0,1800.0,2012,9
3617,2012-10-01,548278.0,Madhya Pradesh,Indore,Maize,72.4,1300.0,1670.0,1600.0,2012,10
3687,2012-11-01,559131.0,Madhya Pradesh,Indore,Maize,48.5,1480.0,2600.0,1600.0,2012,11
3772,2012-12-01,568679.0,Madhya Pradesh,Indore,Maize,15.5,1400.0,1475.0,1450.0,2012,12
3854,2013-01-01,578837.0,Madhya Pradesh,Indore,Maize,1.5,1400.0,1400.0,1400.0,2013,1
