,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,105.0,Madhya Pradesh,Jabalpur,Maize,76.0,875.0,1081.0,889.0,2008,1
67,2008-02-01,8383.0,Madhya Pradesh,Jabalpur,Maize,76.0,915.0,1065.0,950.0,2008,2
132,2008-03-01,16846.0,Madhya Pradesh,Jabalpur,Maize,76.0,711.0,1201.0,1091.0,2008,3
195,2008-04-01,25001.0,Madhya Pradesh,Jabalpur,Maize,40.0,1010.0,1105.0,1105.0,2008,4
269,2008-05-01,36854.0,Madhya Pradesh,Jabalpur,Maize,76.0,1100.0,1300.0,1100.0,2008,5
367,2008-06-01,48655.0,Madhya Pradesh,Jabalpur,Maize,153.9,991.0,1100.0,1100.0,2008,6
433,2008-07-01,57197.0,Madhya Pradesh,Jabalpur,Maize,76.0,1100.0,1105.0,1100.0,2008,7
499,2008-08-01,65750.0,Madhya Pradesh,Jabalpur,Maize,76.0,1100.0,1150.0,1100.0,2008,8
553,2008-09-01,72075.0,Madhya Pradesh,Jabalpur,Maize,9.2,958.0,1010.0,1003.0,2008,9
594,2008-10-01,78904.0,Madhya Pradesh,Jabalpur,Maize,76.0,1000.0,1005.0,1005.0,2008,10
645,2008-11-01,85297.0,Madhya Pradesh,Jabalpur,Maize,76.0,960.0,1200.0,1000.0,2008,11
703,2008-12-01,92416.0,Madhya Pradesh,Jabalpur,Maize,76.0,915.0,943.0,943.0,2008,12
760,2009-01-01,99894.0,Madhya Pradesh,Jabalpur,Maize,39.0,1005.0,1100.0,1100.0,2009,1
822,2009-02-01,107583.0,Madhya Pradesh,Jabalpur,Maize,76.0,1080.0,1170.0,1099.0,2009,2
871,2009-03-01,115049.0,Madhya Pradesh,Jabalpur,Maize,18.9,1071.0,1196.0,1125.0,2009,3
895,2009-04-01,122985.0,Madhya Pradesh,Jabalpur,Maize,271.6,900.0,1131.0,1085.0,2009,4
925,2009-05-01,134084.0,Madhya Pradesh,Jabalpur,Maize,306.4,1130.0,1130.0,1130.0,2009,5
985,2009-06-01,142532.0,Madhya Pradesh,Jabalpur,Maize,14.0,1130.0,1130.0,1130.0,2009,6
1035,2009-07-01,149799.0,Madhya Pradesh,Jabalpur,Maize,37.3,1130.0,1130.0,1130.0,2009,7
1094,2009-08-01,157467.0,Madhya Pradesh,Jabalpur,Maize,133.7,795.0,1265.0,1063.0,2009,8
1164,2009-09-01,165205.0,Madhya Pradesh,Jabalpur,Maize,102.5,1025.0,1321.0,1122.0,2009,9
1232,2009-10-01,174219.0,Madhya Pradesh,Jabalpur,Maize,467.5,1051.0,1434.0,1116.0,2009,10
1305,2009-11-01,183372.0,Madhya Pradesh,Jabalpur,Maize,107.5,1200.0,1726.0,1520.0,2009,11
1378,2009-12-01,193181.0,Madhya Pradesh,Jabalpur,Maize,383.7,1027.0,1694.0,1300.0,2009,12
1447,2010-01-01,202709.0,Madhya Pradesh,Jabalpur,Maize,171.7,1226.0,1640.0,1311.0,2010,1
1514,2010-02-01,211571.0,Madhya Pradesh,Jabalpur,Maize,157.4,1195.0,1576.0,1301.0,2010,2
1563,2010-03-01,221126.0,Madhya Pradesh,Jabalpur,Maize,33.3,1125.0,1501.0,1200.0,2010,3
1612,2010-04-01,231259.0,Madhya Pradesh,Jabalpur,Maize,806.9,975.0,1650.0,1146.0,2010,4
1657,2010-05-01,244809.0,Madhya Pradesh,Jabalpur,Maize,987.2,955.0,1289.0,1250.0,2010,5
1711,2010-06-01,256265.0,Madhya Pradesh,Jabalpur,Maize,238.8,1070.0,1597.0,1449.0,2010,6
1758,2010-07-01,266488.0,Madhya Pradesh,Jabalpur,Maize,26.2,1112.0,1400.0,1125.0,2010,7
1781,2010-08-01,276571.0,Madhya Pradesh,Jabalpur,Maize,144.2,1401.0,1492.0,1465.0,2010,8
1820,2010-09-01,286046.0,Madhya Pradesh,Jabalpur,Maize,67.8,1150.0,1550.0,1500.0,2010,9
1860,2010-10-01,295681.0,Madhya Pradesh,Jabalpur,Maize,76.3,1104.0,1490.0,1140.0,2010,10
1913,2010-11-01,306203.0,Madhya Pradesh,Jabalpur,Maize,359.7,1150.0,1482.0,1286.0,2010,11
1939,2010-12-01,314367.0,Madhya Pradesh,Jabalpur,Maize,195.1,1250.0,1461.0,1325.0,2010,12
1978,2011-01-01,323942.0,Madhya Pradesh,Jabalpur,Maize,29.4,1209.0,1234.0,1222.0,2011,1
2019,2011-02-01,333739.0,Madhya Pradesh,Jabalpur,Maize,149.8,1186.0,1321.0,1274.0,2011,2
2073,2011-03-01,343104.0,Madhya Pradesh,Jabalpur,Maize,461.9,1118.0,1299.0,1212.0,2011,3
2129,2011-04-01,353047.0,Madhya Pradesh,Jabalpur,Maize,170.0,1012.0,1224.0,1220.0,2011,4
2150,2011-05-01,365856.0,Madhya Pradesh,Jabalpur,Maize,1184.7,1040.0,1430.0,1220.0,2011,5
2189,2011-06-01,378698.0,Madhya Pradesh,Jabalpur,Maize,243.0,1007.0,1271.0,1250.0,2011,6
2245,2011-07-01,389825.0,Madhya Pradesh,Jabalpur,Maize,478.3,1000.0,1182.0,1122.0,2011,7
2315,2011-08-01,400972.0,Madhya Pradesh,Jabalpur,Maize,378.3,1000.0,1157.0,1058.0,2011,8
2349,2011-09-01,410830.0,Madhya Pradesh,Jabalpur,Maize,207.0,1001.0,1065.0,1006.0,2011,9
2416,2011-10-01,421386.0,Madhya Pradesh,Jabalpur,Maize,468.2,1012.0,1059.0,1025.0,2011,10
2469,2011-11-01,430050.0,Madhya Pradesh,Jabalpur,Maize,209.8,1001.0,1141.0,1020.0,2011,11
2514,2011-12-01,441018.0,Madhya Pradesh,Jabalpur,Maize,392.1,1002.0,1100.0,1009.0,2011,12
2560,2012-01-01,451261.0,Madhya Pradesh,Jabalpur,Maize,112.4,1041.0,1101.0,1064.0,2012,1
2593,2012-02-01,460149.0,Madhya Pradesh,Jabalpur,Maize,299.3,1111.0,1206.0,1138.0,2012,2
2617,2012-03-01,468296.0,Madhya Pradesh,Jabalpur,Maize,233.7,1025.0,1341.0,1115.0,2012,3
2662,2012-04-01,477640.0,Madhya Pradesh,Jabalpur,Maize,115.7,1385.0,1385.0,1385.0,2012,4
2718,2012-05-01,489856.0,Madhya Pradesh,Jabalpur,Maize,657.7,1107.0,1385.0,1166.0,2012,5
2790,2012-06-01,503982.0,Madhya Pradesh,Jabalpur,Maize,144.0,1100.0,1488.0,1145.0,2012,6
2845,2012-07-01,515348.0,Madhya Pradesh,Jabalpur,Maize,309.9,1101.0,1452.0,1300.0,2012,7
2893,2012-08-01,526716.0,Madhya Pradesh,Jabalpur,Maize,282.9,1201.0,1699.0,1346.0,2012,8
2927,2012-09-01,537151.0,Madhya Pradesh,Jabalpur,Maize,227.3,1447.0,1642.0,1511.0,2012,9
2969,2012-10-01,548907.0,Madhya Pradesh,Jabalpur,Maize,254.7,1300.0,1476.0,1355.0,2012,10
2996,2012-11-01,559135.0,Madhya Pradesh,Jabalpur,Maize,271.4,1300.0,1825.0,1470.0,2012,11
3035,2012-12-01,568682.0,Madhya Pradesh,Jabalpur,Maize,110.0,1390.0,1801.0,1584.0,2012,12
3077,2013-01-01,578839.0,Madhya Pradesh,Jabalpur,Maize,23.0,1321.0,1456.0,1401.0,2013,1
3128,2013-02-01,588801.0,Madhya Pradesh,Jabalpur,Maize,250.1,1400.0,1714.0,1509.0,2013,2
3176,2013-03-01,597381.0,Madhya Pradesh,Jabalpur,Maize,119.1,1400.0,1500.0,1440.0,2013,3
3233,2013-04-01,606854.0,Madhya Pradesh,Jabalpur,Maize,4.5,1351.0,1465.0,1351.0,2013,4
3289,2013-05-01,620195.0,Madhya Pradesh,Jabalpur,Maize,84.2,1330.0,1582.0,1440.0,2013,5
3346,2013-06-01,633559.0,Madhya Pradesh,Jabalpur,Maize,232.5,1330.0,1526.0,1443.0,2013,6
3386,2013-07-01,644873.0,Madhya Pradesh,Jabalpur,Maize,335.1,1350.0,1469.0,1408.0,2013,7
3448,2013-08-01,656111.0,Madhya Pradesh,Jabalpur,Maize,281.5,1325.0,1531.0,1431.0,2013,8
3490,2013-09-01,665488.0,Madhya Pradesh,Jabalpur,Maize,548.7,1380.0,1576.0,1446.0,2013,9
3563,2013-10-01,675777.0,Madhya Pradesh,Jabalpur,Maize,510.6,1372.0,1534.0,1443.0,2013,10
3629,2013-11-01,686379.0,Madhya Pradesh,Jabalpur,Maize,196.0,1457.0,1752.0,1555.0,2013,11
3676,2013-12-01,694533.0,Madhya Pradesh,Jabalpur,Maize,191.2,1531.0,1728.0,1558.0,2013,12
3705,2014-01-01,702938.0,Madhya Pradesh,Jabalpur,Maize,2.4,1480.0,1616.0,1506.0,2014,1
3765,2014-02-01,712829.0,Madhya Pradesh,Jabalpur,Maize,50.8,1460.0,1661.0,1601.0,2014,2
3818,2014-03-01,721566.0,Madhya Pradesh,Jabalpur,Maize,28.4,1455.0,1698.0,1597.0,2014,3
3872,2014-04-01,731641.0,Madhya Pradesh,Jabalpur,Maize,32.0,1400.0,1550.0,1500.0,2014,4
3939,2014-05-01,744114.0,Madhya Pradesh,Jabalpur,Maize,171.1,1418.0,1540.0,1495.0,2014,5
4018,2014-06-01,758103.0,Madhya Pradesh,Jabalpur,Maize,236.4,1430.0,1550.0,1480.0,2014,6
4079,2014-07-01,769257.0,Madhya Pradesh,Jabalpur,Maize,155.4,1339.0,1732.0,1652.0,2014,7
4151,2014-08-01,780816.0,Madhya Pradesh,Jabalpur,Maize,87.8,1414.0,1707.0,1460.0,2014,8
4212,2014-09-01,791262.0,Madhya Pradesh,Jabalpur,Maize,202.8,1420.0,1795.0,1460.0,2014,9
4281,2014-10-01,802772.0,Madhya Pradesh,Jabalpur,Maize,118.0,1419.0,1690.0,1550.0,2014,10
4324,2014-11-01,812432.0,Madhya Pradesh,Jabalpur,Maize,205.7,1401.0,1633.0,1455.0,2014,11
4380,2014-12-01,823368.0,Madhya Pradesh,Jabalpur,Maize,221.7,1411.0,1661.0,1440.0,2014,12
4447,2015-01-01,835256.0,Madhya Pradesh,Jabalpur,Maize,19.7,1411.0,1530.0,1451.0,2015,1
4502,2015-02-01,846976.0,Madhya Pradesh,Jabalpur,Maize,164.3,1470.0,1598.0,1540.0,2015,2
4540,2015-03-01,857314.0,Madhya Pradesh,Jabalpur,Maize,85.4,1422.0,1549.0,1507.0,2015,3
4591,2015-04-01,868040.0,Madhya Pradesh,Jabalpur,Maize,2.5,1225.0,1266.0,1256.0,2015,4
4634,2015-05-01,881106.0,Madhya Pradesh,Jabalpur,Maize,487.4,1335.0,1471.0,1390.0,2015,5
4702,2015-06-01,895236.0,Madhya Pradesh,Jabalpur,Maize,425.6,1370.0,1536.0,1482.0,2015,6
4767,2015-07-01,908088.0,Madhya Pradesh,Jabalpur,Maize,39.7,1311.0,1339.0,1334.0,2015,7
4827,2015-08-01,920352.0,Madhya Pradesh,Jabalpur,Maize,265.6,1356.0,1540.0,1416.0,2015,8
4883,2015-09-01,931776.0,Madhya Pradesh,Jabalpur,Maize,154.1,1360.0,1522.0,1448.0,2015,9
4937,2015-10-01,943550.0,Madhya Pradesh,Jabalpur,Maize,68.4,1380.0,1596.0,1455.0,2015,10
4994,2015-11-01,955411.0,Madhya Pradesh,Jabalpur,Maize,457.1,1523.0,1720.0,1621.0,2015,11
5050,2015-12-01,965261.0,Madhya Pradesh,Jabalpur,Maize,245.9,1338.0,1853.0,1438.0,2015,12
5098,2016-01-01,976760.0,Madhya Pradesh,Jabalpur,Maize,44.7,1425.0,1618.0,1541.0,2016,1
5148,2016-02-01,986631.0,Madhya Pradesh,Jabalpur,Maize,1.2,1500.0,1500.0,1500.0,2016,2
5191,2016-03-01,997231.0,Madhya Pradesh,Jabalpur,Maize,72.1,1526.0,1641.0,1550.0,2016,3
5234,2016-04-01,1006992.0,Madhya Pradesh,Jabalpur,Maize,81.0,1200.0,1530.0,1526.0,2016,4
5287,2016-05-01,1020834.0,Madhya Pradesh,Jabalpur,Maize,1141.0,1411.0,1544.0,1495.0,2016,5
5357,2016-06-01,1035249.0,Madhya Pradesh,Jabalpur,Maize,581.6,1485.0,1670.0,1520.0,2016,6
5430,2016-07-01,1048891.0,Madhya Pradesh,Jabalpur,Maize,275.3,1590.0,1712.0,1645.0,2016,7
5486,2016-08-01,1060037.0,Madhya Pradesh,Jabalpur,Maize,282.9,1640.0,1720.0,1670.0,2016,8
5537,2016-09-01,1070670.0,Madhya Pradesh,Jabalpur,Maize,15.7,1650.0,1733.0,1652.0,2016,9
5572,2016-10-01,1081481.0,Madhya Pradesh,Jabalpur,Maize,5.1,1627.0,1645.0,1635.0,2016,10
5609,2016-11-01,1091501.0,Madhya Pradesh,Jabalpur,Maize,21.8,1700.0,1901.0,1825.0,2016,11
5636,2016-12-01,1100383.0,Madhya Pradesh,Jabalpur,Maize,17.2,1850.0,1860.0,1855.0,2016,12
5685,2017-01-01,1111706.0,Madhya Pradesh,Jabalpur,Maize,51.0,1650.0,1700.0,1700.0,2017,1
5724,2017-02-01,1122390.0,Madhya Pradesh,Jabalpur,Maize,15.0,1660.0,1685.0,1675.0,2017,2
5761,2017-03-01,1132645.0,Madhya Pradesh,Jabalpur,Maize,105.4,1540.0,1730.0,1650.0,2017,3
5823,2017-04-01,1145356.0,Madhya Pradesh,Jabalpur,Maize,23.3,1410.0,1490.0,1455.0,2017,4
5859,2017-05-01,1159705.0,Madhya Pradesh,Jabalpur,Maize,337.1,1416.0,1638.0,1560.0,2017,5
5905,2017-06-01,1174516.0,Madhya Pradesh,Jabalpur,Maize,120.2,1350.0,1523.0,1470.0,2017,6
5933,2017-07-01,,Madhya Pradesh,Jabalpur,Maize,205.24210526315792,1251.8684210526317,1457.280701754386,1341.2631578947369,2017,7
