,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,107.0,Madhya Pradesh,Jhabua,Maize,34.5,950.0,1000.0,975.0,2008,1
10,2008-02-01,10568.0,Madhya Pradesh,Jhabua,Maize,11.2,1115.0,1115.0,1115.0,2008,2
35,2008-03-01,16849.0,Madhya Pradesh,Jhabua,Maize,7.0,1100.0,1100.0,1100.0,2008,3
95,2008-04-01,25003.0,Madhya Pradesh,Jhabua,Maize,111.5,1020.0,1100.0,1060.0,2008,4
172,2008-05-01,36858.0,Madhya Pradesh,Jhabua,Maize,42.6,1102.0,1102.0,1102.0,2008,5
241,2008-06-01,48470.0,Madhya Pradesh,Jhabua,Maize,93.0,1100.0,1100.0,1100.0,2008,6
299,2008-07-01,57200.0,Madhya Pradesh,Jhabua,Maize,18.0,1100.0,1100.0,1100.0,2008,7
367,2008-08-01,69258.0,Madhya Pradesh,Jhabua,Maize,7.0,1100.0,1100.0,1100.0,2008,8
389,2008-09-01,72077.0,Madhya Pradesh,Jhabua,Maize,9.6,1005.0,1005.0,1005.0,2008,9
404,2008-10-01,79848.0,Madhya Pradesh,Jhabua,Maize,19.5,1005.0,1005.0,1005.0,2008,10
439,2008-11-01,85300.0,Madhya Pradesh,Jhabua,Maize,29.8,900.0,1005.0,952.0,2008,11
505,2008-12-01,,Madhya Pradesh,Jhabua,Maize,42.73654867256638,1314.070796460177,1369.504424778761,1343.4336283185842,2008,12
506,2009-01-01,99896.0,Madhya Pradesh,Jhabua,Maize,11.8,1000.0,1000.0,1000.0,2009,1
543,2009-02-01,107435.0,Madhya Pradesh,Jhabua,Maize,25.0,1050.0,1100.0,1075.0,2009,2
588,2009-03-01,114872.0,Madhya Pradesh,Jhabua,Maize,108.1,1000.0,1100.0,1050.0,2009,3
629,2009-04-01,122659.0,Madhya Pradesh,Jhabua,Maize,95.1,1132.0,1135.0,1133.0,2009,4
656,2009-05-01,134446.0,Madhya Pradesh,Jhabua,Maize,156.0,1132.0,1135.0,1133.0,2009,5
680,2009-06-01,142534.0,Madhya Pradesh,Jhabua,Maize,20.0,1135.0,1138.0,1136.0,2009,6
703,2009-07-01,150073.0,Madhya Pradesh,Jhabua,Maize,15.0,1135.0,1140.0,1137.0,2009,7
721,2009-08-01,157470.0,Madhya Pradesh,Jhabua,Maize,9.2,1050.0,1130.0,1090.0,2009,8
748,2009-09-01,165208.0,Madhya Pradesh,Jhabua,Maize,1.0,1131.0,1131.0,1131.0,2009,9
811,2009-10-01,174222.0,Madhya Pradesh,Jhabua,Maize,60.0,1100.0,1130.0,1120.0,2009,10
887,2009-11-01,183373.0,Madhya Pradesh,Jhabua,Maize,70.0,1110.0,1140.0,1125.0,2009,11
969,2009-12-01,193184.0,Madhya Pradesh,Jhabua,Maize,6.0,1130.0,1130.0,1130.0,2009,12
1046,2010-01-01,202711.0,Madhya Pradesh,Jhabua,Maize,40.0,1110.0,1140.0,1130.0,2010,1
1089,2010-02-01,211574.0,Madhya Pradesh,Jhabua,Maize,10.5,1300.0,1300.0,1300.0,2010,2
1131,2010-03-01,220649.0,Madhya Pradesh,Jhabua,Maize,23.76,1100.0,1200.0,1180.0,2010,3
1190,2010-04-01,230622.0,Madhya Pradesh,Jhabua,Maize,159.9,1200.0,1210.0,1205.0,2010,4
1235,2010-05-01,244811.0,Madhya Pradesh,Jhabua,Maize,23.9,1205.0,1210.0,1208.0,2010,5
1285,2010-06-01,256268.0,Madhya Pradesh,Jhabua,Maize,15.0,1208.0,1210.0,1209.0,2010,6
1309,2010-07-01,266490.0,Madhya Pradesh,Jhabua,Maize,10.5,1230.0,1230.0,1230.0,2010,7
1333,2010-08-01,276379.0,Madhya Pradesh,Jhabua,Maize,82.0,1250.0,1250.0,1250.0,2010,8
1356,2010-09-01,291844.0,Madhya Pradesh,Jhabua,Maize,19.0,1200.0,1210.0,1205.0,2010,9
1367,2010-10-01,295684.0,Madhya Pradesh,Jhabua,Maize,24.6,1260.0,1278.0,1269.0,2010,10
1407,2010-11-01,305832.0,Madhya Pradesh,Jhabua,Maize,5.0,1200.0,1205.0,1202.0,2010,11
1449,2010-12-01,314368.0,Madhya Pradesh,Jhabua,Maize,41.6,1210.0,1250.0,1225.0,2010,12
1487,2011-01-01,323943.0,Madhya Pradesh,Jhabua,Maize,5.5,1250.0,1250.0,1250.0,2011,1
1530,2011-02-01,334125.0,Madhya Pradesh,Jhabua,Maize,15.0,1200.0,1250.0,1225.0,2011,2
1554,2011-03-01,343107.0,Madhya Pradesh,Jhabua,Maize,27.7,1220.0,1250.0,1230.0,2011,3
1586,2011-04-01,353048.0,Madhya Pradesh,Jhabua,Maize,121.0,1221.0,1240.0,1230.0,2011,4
1616,2011-05-01,365492.0,Madhya Pradesh,Jhabua,Maize,23.1,1221.0,1240.0,1230.0,2011,5
1646,2011-06-01,378699.0,Madhya Pradesh,Jhabua,Maize,41.1,1105.0,1120.0,1112.0,2011,6
