,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,118.0,Madhya Pradesh,Raisen,Maize,106.4,900.0,1030.0,1020.0,2008,1
74,2008-02-01,8402.0,Madhya Pradesh,Raisen,Maize,18.3,937.0,1017.0,996.0,2008,2
138,2008-03-01,16861.0,Madhya Pradesh,Raisen,Maize,93.2,1012.0,1109.0,1080.0,2008,3
204,2008-04-01,25304.0,Madhya Pradesh,Raisen,Maize,217.4,1030.0,1100.0,1080.0,2008,4
269,2008-05-01,36871.0,Madhya Pradesh,Raisen,Maize,80.0,1100.0,1100.0,1100.0,2008,5
308,2008-06-01,48668.0,Madhya Pradesh,Raisen,Maize,14.4,1100.0,1100.0,1100.0,2008,6
331,2008-07-01,58169.0,Madhya Pradesh,Raisen,Maize,19.5,1025.0,1051.0,1030.0,2008,7
366,2008-08-01,66028.0,Madhya Pradesh,Raisen,Maize,15.5,1011.0,1065.0,1014.0,2008,8
397,2008-09-01,72083.0,Madhya Pradesh,Raisen,Maize,29.5,1000.0,1008.0,1003.0,2008,9
427,2008-10-01,79282.0,Madhya Pradesh,Raisen,Maize,53.7,950.0,999.0,980.0,2008,10
446,2008-11-01,85313.0,Madhya Pradesh,Raisen,Maize,53.0,903.0,976.0,960.0,2008,11
452,2008-12-01,,Madhya Pradesh,Raisen,Maize,133.57641509433967,1281.5471698113208,1415.9622641509434,1339.0566037735848,2008,12
453,2009-01-01,,Madhya Pradesh,Raisen,Maize,133.57641509433967,1281.5471698113208,1415.9622641509434,1339.0566037735848,2009,1
454,2009-02-01,,Madhya Pradesh,Raisen,Maize,133.57641509433967,1281.5471698113208,1415.9622641509434,1339.0566037735848,2009,2
455,2009-03-01,,Madhya Pradesh,Raisen,Maize,133.57641509433967,1281.5471698113208,1415.9622641509434,1339.0566037735848,2009,3
456,2009-04-01,,Madhya Pradesh,Raisen,Maize,133.57641509433967,1281.5471698113208,1415.9622641509434,1339.0566037735848,2009,4
457,2009-05-01,,Madhya Pradesh,Raisen,Maize,133.57641509433967,1281.5471698113208,1415.9622641509434,1339.0566037735848,2009,5
458,2009-06-01,,Madhya Pradesh,Raisen,Maize,133.57641509433967,1281.5471698113208,1415.9622641509434,1339.0566037735848,2009,6
459,2009-07-01,,Madhya Pradesh,Raisen,Maize,133.57641509433967,1281.5471698113208,1415.9622641509434,1339.0566037735848,2009,7
460,2009-08-01,157483.0,Madhya Pradesh,Raisen,Maize,29.1,1083.0,1141.0,1090.0,2009,8
543,2009-09-01,165233.0,Madhya Pradesh,Raisen,Maize,16.4,1100.0,1190.0,1172.0,2009,9
630,2009-10-01,174248.0,Madhya Pradesh,Raisen,Maize,32.6,1120.0,1140.0,1120.0,2009,10
733,2009-11-01,183540.0,Madhya Pradesh,Raisen,Maize,15.0,1050.0,1150.0,1100.0,2009,11
821,2009-12-01,193206.0,Madhya Pradesh,Raisen,Maize,16.4,1271.0,1376.0,1320.0,2009,12
915,2010-01-01,202726.0,Madhya Pradesh,Raisen,Maize,19.8,1290.0,1385.0,1340.0,2010,1
989,2010-02-01,211590.0,Madhya Pradesh,Raisen,Maize,19.6,1261.0,1310.0,1285.0,2010,2
1056,2010-03-01,221138.0,Madhya Pradesh,Raisen,Maize,14.8,1109.0,1300.0,1230.0,2010,3
1095,2010-04-01,230633.0,Madhya Pradesh,Raisen,Maize,84.8,950.0,1275.0,1205.0,2010,4
1144,2010-05-01,244824.0,Madhya Pradesh,Raisen,Maize,82.4,1000.0,1350.0,1075.0,2010,5
1180,2010-06-01,256273.0,Madhya Pradesh,Raisen,Maize,43.0,1060.0,1250.0,1120.0,2010,6
1235,2010-07-01,267233.0,Madhya Pradesh,Raisen,Maize,42.1,1100.0,1225.0,1170.0,2010,7
1301,2010-08-01,276583.0,Madhya Pradesh,Raisen,Maize,13.2,1106.0,1200.0,1163.0,2010,8
1388,2010-09-01,286057.0,Madhya Pradesh,Raisen,Maize,37.0,1125.0,1250.0,1180.0,2010,9
1476,2010-10-01,295693.0,Madhya Pradesh,Raisen,Maize,9.1,1148.0,1232.0,1200.0,2010,10
1565,2010-11-01,305845.0,Madhya Pradesh,Raisen,Maize,7.8,1050.0,1140.0,1100.0,2010,11
1654,2010-12-01,314382.0,Madhya Pradesh,Raisen,Maize,8.2,1141.0,1225.0,1180.0,2010,12
1747,2011-01-01,323953.0,Madhya Pradesh,Raisen,Maize,39.7,1188.0,1225.0,1190.0,2011,1
1866,2011-02-01,333750.0,Madhya Pradesh,Raisen,Maize,30.4,1237.0,1261.0,1246.0,2011,2
1926,2011-03-01,343121.0,Madhya Pradesh,Raisen,Maize,5.7,1145.0,1170.0,1157.0,2011,3
1970,2011-04-01,353382.0,Madhya Pradesh,Raisen,Maize,80.7,1000.0,1220.0,1050.0,2011,4
1997,2011-05-01,365869.0,Madhya Pradesh,Raisen,Maize,477.1,1050.0,1400.0,1220.0,2011,5
2040,2011-06-01,381726.0,Madhya Pradesh,Raisen,Maize,14.6,1013.0,1030.0,1021.0,2011,6
2061,2011-07-01,391215.0,Madhya Pradesh,Raisen,Maize,3.8,1036.0,1055.0,1045.0,2011,7
2148,2011-08-01,400991.0,Madhya Pradesh,Raisen,Maize,20.9,1000.0,1040.0,1030.0,2011,8
2258,2011-09-01,410847.0,Madhya Pradesh,Raisen,Maize,8.1,991.0,1011.0,1001.0,2011,9
2361,2011-10-01,421414.0,Madhya Pradesh,Raisen,Maize,17.1,972.0,1018.0,995.0,2011,10
2453,2011-11-01,430069.0,Madhya Pradesh,Raisen,Maize,23.0,994.0,1051.0,1022.0,2011,11
2559,2011-12-01,440700.0,Madhya Pradesh,Raisen,Maize,19.1,1001.0,1045.0,1023.0,2011,12
2660,2012-01-01,451091.0,Madhya Pradesh,Raisen,Maize,10.0,1010.0,1181.0,1160.0,2012,1
2739,2012-02-01,460166.0,Madhya Pradesh,Raisen,Maize,21.9,1052.0,1111.0,1073.0,2012,2
2841,2012-03-01,468315.0,Madhya Pradesh,Raisen,Maize,14.2,1008.0,1113.0,1109.0,2012,3
2934,2012-04-01,477655.0,Madhya Pradesh,Raisen,Maize,129.6,1150.0,1450.0,1385.0,2012,4
2996,2012-05-01,489875.0,Madhya Pradesh,Raisen,Maize,170.9,1385.0,1385.0,1385.0,2012,5
3050,2012-06-01,504000.0,Madhya Pradesh,Raisen,Maize,0.1,1101.0,1101.0,1101.0,2012,6
3129,2012-07-01,515374.0,Madhya Pradesh,Raisen,Maize,17.4,1085.0,1111.0,1106.0,2012,7
3256,2012-08-01,526736.0,Madhya Pradesh,Raisen,Maize,1.9,1351.0,1356.0,1356.0,2012,8
3344,2012-09-01,537175.0,Madhya Pradesh,Raisen,Maize,11.7,1515.0,1576.0,1531.0,2012,9
3443,2012-10-01,548305.0,Madhya Pradesh,Raisen,Maize,11.2,1261.0,1346.0,1298.0,2012,10
3522,2012-11-01,559159.0,Madhya Pradesh,Raisen,Maize,9.6,1375.0,1450.0,1400.0,2012,11
3602,2012-12-01,568702.0,Madhya Pradesh,Raisen,Maize,39.6,1400.0,1650.0,1475.0,2012,12
3695,2013-01-01,578857.0,Madhya Pradesh,Raisen,Maize,13.2,1440.0,1572.0,1531.0,2013,1
3778,2013-02-01,588819.0,Madhya Pradesh,Raisen,Maize,36.6,1485.0,2100.0,1580.0,2013,2
3844,2013-03-01,597403.0,Madhya Pradesh,Raisen,Maize,2.2,1365.0,1465.0,1426.0,2013,3
3911,2013-04-01,606868.0,Madhya Pradesh,Raisen,Maize,6049.0,1500.0,1500.0,1500.0,2013,4
3963,2013-05-01,620222.0,Madhya Pradesh,Raisen,Maize,102.9,1400.0,2025.0,1550.0,2013,5
4017,2013-06-01,633586.0,Madhya Pradesh,Raisen,Maize,48.7,1425.0,1850.0,1450.0,2013,6
4105,2013-07-01,644901.0,Madhya Pradesh,Raisen,Maize,0.6,1475.0,1475.0,1475.0,2013,7
4163,2013-08-01,656129.0,Madhya Pradesh,Raisen,Maize,21.1,1400.0,1520.0,1450.0,2013,8
4203,2013-09-01,665515.0,Madhya Pradesh,Raisen,Maize,21.8,1450.0,1525.0,1475.0,2013,9
4258,2013-10-01,675801.0,Madhya Pradesh,Raisen,Maize,42.9,1440.0,1525.0,1475.0,2013,10
4326,2013-11-01,686575.0,Madhya Pradesh,Raisen,Maize,45.4,1540.0,1761.0,1611.0,2013,11
4365,2013-12-01,694550.0,Madhya Pradesh,Raisen,Maize,10.2,1525.0,1750.0,1575.0,2013,12
4400,2014-01-01,702955.0,Madhya Pradesh,Raisen,Maize,1.4,1550.0,1600.0,1578.0,2014,1
4441,2014-02-01,712852.0,Madhya Pradesh,Raisen,Maize,2.8,1600.0,1750.0,1650.0,2014,2
4459,2014-03-01,722011.0,Madhya Pradesh,Raisen,Maize,0.7,1550.0,1550.0,1550.0,2014,3
4485,2014-04-01,732415.0,Madhya Pradesh,Raisen,Maize,134.5,1300.0,1850.0,1500.0,2014,4
4505,2014-05-01,744137.0,Madhya Pradesh,Raisen,Maize,335.0,1300.0,1800.0,1500.0,2014,5
4529,2014-06-01,758126.0,Madhya Pradesh,Raisen,Maize,47.7,1200.0,1550.0,1350.0,2014,6
4553,2014-07-01,769279.0,Madhya Pradesh,Raisen,Maize,60.5,1300.0,1500.0,1400.0,2014,7
4604,2014-08-01,780835.0,Madhya Pradesh,Raisen,Maize,35.1,1375.0,1475.0,1425.0,2014,8
4716,2014-09-01,791288.0,Madhya Pradesh,Raisen,Maize,157.0,1360.0,1390.0,1370.0,2014,9
4836,2014-10-01,802795.0,Madhya Pradesh,Raisen,Maize,85.1,1200.0,1590.0,1430.0,2014,10
4910,2014-11-01,812457.0,Madhya Pradesh,Raisen,Maize,86.3,1414.0,1611.0,1500.0,2014,11
4979,2014-12-01,823391.0,Madhya Pradesh,Raisen,Maize,61.5,1400.0,1460.0,1430.0,2014,12
5043,2015-01-01,835643.0,Madhya Pradesh,Raisen,Maize,4.0,1455.0,1550.0,1480.0,2015,1
5119,2015-02-01,846734.0,Madhya Pradesh,Raisen,Maize,5.0,1360.0,1550.0,1450.0,2015,2
5189,2015-03-01,857090.0,Madhya Pradesh,Raisen,Maize,25.0,1406.0,1410.0,1408.0,2015,3
5256,2015-04-01,868056.0,Madhya Pradesh,Raisen,Maize,615.0,1200.0,1450.0,1450.0,2015,4
5340,2015-05-01,881128.0,Madhya Pradesh,Raisen,Maize,1056.3,1450.0,1450.0,1450.0,2015,5
5432,2015-06-01,895261.0,Madhya Pradesh,Raisen,Maize,450.0,1250.0,1400.0,1350.0,2015,6
5537,2015-07-01,908111.0,Madhya Pradesh,Raisen,Maize,31.0,1311.0,1340.0,1325.0,2015,7
5627,2015-08-01,920386.0,Madhya Pradesh,Raisen,Maize,61.0,1409.0,1420.0,1415.0,2015,8
5721,2015-09-01,931804.0,Madhya Pradesh,Raisen,Maize,24.1,1375.0,1450.0,1425.0,2015,9
5849,2015-10-01,943577.0,Madhya Pradesh,Raisen,Maize,73.0,1420.0,1436.0,1436.0,2015,10
5954,2015-11-01,955182.0,Madhya Pradesh,Raisen,Maize,80.5,1461.0,1900.0,1500.0,2015,11
6040,2015-12-01,965286.0,Madhya Pradesh,Raisen,Maize,28.7,1375.0,1460.0,1450.0,2015,12
6126,2016-01-01,976782.0,Madhya Pradesh,Raisen,Maize,14.8,1400.0,1460.0,1450.0,2016,1
6219,2016-02-01,986653.0,Madhya Pradesh,Raisen,Maize,57.4,1456.0,1700.0,1565.0,2016,2
6321,2016-03-01,996500.0,Madhya Pradesh,Raisen,Maize,13.2,1450.0,1450.0,1450.0,2016,3
6361,2016-04-01,1007012.0,Madhya Pradesh,Raisen,Maize,15.2,1297.0,1526.0,1525.0,2016,4
6431,2016-05-01,1020501.0,Madhya Pradesh,Raisen,Maize,227.1,1525.0,2701.0,1609.0,2016,5
6544,2016-06-01,1035281.0,Madhya Pradesh,Raisen,Maize,183.0,1567.0,1601.0,1590.0,2016,6
6649,2016-07-01,1048915.0,Madhya Pradesh,Raisen,Maize,297.0,1568.0,1665.0,1616.0,2016,7
6738,2016-08-01,1060065.0,Madhya Pradesh,Raisen,Maize,49.1,1625.0,1800.0,1650.0,2016,8
6837,2016-09-01,1070701.0,Madhya Pradesh,Raisen,Maize,27.1,1700.0,1850.0,1750.0,2016,9
6938,2016-10-01,1081501.0,Madhya Pradesh,Raisen,Maize,41.0,1576.0,1593.0,1590.0,2016,10
7040,2016-11-01,1091513.0,Madhya Pradesh,Raisen,Maize,43.7,1700.0,1900.0,1850.0,2016,11
7113,2016-12-01,1100410.0,Madhya Pradesh,Raisen,Maize,47.9,1950.0,2144.0,2034.0,2016,12
7177,2017-01-01,1111502.0,Madhya Pradesh,Raisen,Maize,1.0,1700.0,1700.0,1700.0,2017,1
7275,2017-02-01,1122414.0,Madhya Pradesh,Raisen,Maize,32.0,1749.0,1754.0,1751.0,2017,2
7368,2017-03-01,1132682.0,Madhya Pradesh,Raisen,Maize,0.2,1600.0,1600.0,1600.0,2017,3
7440,2017-04-01,1146507.0,Madhya Pradesh,Raisen,Maize,20.0,1413.0,1413.0,1413.0,2017,4
7479,2017-05-01,1159739.0,Madhya Pradesh,Raisen,Maize,703.1,1400.0,1700.0,1625.0,2017,5
7568,2017-06-01,1174540.0,Madhya Pradesh,Raisen,Maize,160.0,1450.0,1475.0,1460.0,2017,6
7612,2017-07-01,,Madhya Pradesh,Raisen,Maize,133.57641509433967,1281.5471698113208,1415.9622641509434,1339.0566037735848,2017,7
7613,2017-08-01,,Madhya Pradesh,Raisen,Maize,133.57641509433967,1281.5471698113208,1415.9622641509434,1339.0566037735848,2017,8
7614,2017-09-01,,Madhya Pradesh,Raisen,Maize,133.57641509433967,1281.5471698113208,1415.9622641509434,1339.0566037735848,2017,9
7615,2017-10-01,,Madhya Pradesh,Raisen,Maize,133.57641509433967,1281.5471698113208,1415.9622641509434,1339.0566037735848,2017,10
7616,2017-11-01,,Madhya Pradesh,Raisen,Maize,133.57641509433967,1281.5471698113208,1415.9622641509434,1339.0566037735848,2017,11
7617,2017-12-01,,Madhya Pradesh,Raisen,Maize,133.57641509433967,1281.5471698113208,1415.9622641509434,1339.0566037735848,2017,12
