,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,698.0,Madhya Pradesh,Rewa,Maize,76.0,904.0,1050.0,949.0,2008,1
16,2008-02-01,8411.0,Madhya Pradesh,Rewa,Maize,76.0,880.0,883.0,881.0,2008,2
33,2008-03-01,16867.0,Madhya Pradesh,Rewa,Maize,76.0,965.0,1109.0,1060.0,2008,3
49,2008-04-01,25008.0,Madhya Pradesh,Rewa,Maize,76.0,890.0,1115.0,1041.0,2008,4
63,2008-05-01,37899.0,Madhya Pradesh,Rewa,Maize,76.0,1100.0,1100.0,1100.0,2008,5
75,2008-06-01,48982.0,Madhya Pradesh,Rewa,Maize,76.0,1101.0,1276.0,1276.0,2008,6
84,2008-07-01,57228.0,Madhya Pradesh,Rewa,Maize,76.0,1112.0,1115.0,1112.0,2008,7
106,2008-08-01,65772.0,Madhya Pradesh,Rewa,Maize,76.0,1105.0,1105.0,1105.0,2008,8
119,2008-09-01,72804.0,Madhya Pradesh,Rewa,Maize,76.0,932.0,1236.0,960.0,2008,9
121,2008-10-01,78920.0,Madhya Pradesh,Rewa,Maize,76.0,1100.0,1105.0,1102.0,2008,10
131,2008-11-01,85317.0,Madhya Pradesh,Rewa,Maize,76.0,950.0,998.0,968.0,2008,11
148,2008-12-01,92434.0,Madhya Pradesh,Rewa,Maize,76.0,967.0,1376.0,997.0,2008,12
167,2009-01-01,100230.0,Madhya Pradesh,Rewa,Maize,76.0,970.0,1326.0,1048.0,2009,1
187,2009-02-01,107593.0,Madhya Pradesh,Rewa,Maize,76.0,1050.0,1272.0,1098.0,2009,2
208,2009-03-01,115068.0,Madhya Pradesh,Rewa,Maize,76.0,1017.0,1129.0,1101.0,2009,3
223,2009-04-01,122671.0,Madhya Pradesh,Rewa,Maize,76.0,896.0,992.0,975.0,2009,4
240,2009-05-01,135006.0,Madhya Pradesh,Rewa,Maize,803.0,940.0,1251.0,1130.0,2009,5
247,2009-06-01,,Madhya Pradesh,Rewa,Maize,212.72283018867924,1274.7169811320755,1339.1792452830189,1306.2169811320755,2009,6
248,2009-07-01,,Madhya Pradesh,Rewa,Maize,212.72283018867924,1274.7169811320755,1339.1792452830189,1306.2169811320755,2009,7
249,2009-08-01,,Madhya Pradesh,Rewa,Maize,212.72283018867924,1274.7169811320755,1339.1792452830189,1306.2169811320755,2009,8
250,2009-09-01,165603.0,Madhya Pradesh,Rewa,Maize,1864.0,1080.0,1090.0,1085.0,2009,9
298,2009-10-01,174261.0,Madhya Pradesh,Rewa,Maize,36.3,1080.0,1090.0,1080.0,2009,10
383,2009-11-01,183388.0,Madhya Pradesh,Rewa,Maize,12.0,1100.0,1250.0,1200.0,2009,11
461,2009-12-01,193221.0,Madhya Pradesh,Rewa,Maize,60.84,1150.0,1200.0,1170.0,2009,12
484,2010-01-01,202744.0,Madhya Pradesh,Rewa,Maize,195.0,1211.0,1333.0,1269.0,2010,1
505,2010-02-01,211605.0,Madhya Pradesh,Rewa,Maize,905.0,1244.0,1401.0,1338.0,2010,2
519,2010-03-01,,Madhya Pradesh,Rewa,Maize,212.72283018867924,1274.7169811320755,1339.1792452830189,1306.2169811320755,2010,3
520,2010-04-01,,Madhya Pradesh,Rewa,Maize,212.72283018867924,1274.7169811320755,1339.1792452830189,1306.2169811320755,2010,4
521,2010-05-01,,Madhya Pradesh,Rewa,Maize,212.72283018867924,1274.7169811320755,1339.1792452830189,1306.2169811320755,2010,5
522,2010-06-01,,Madhya Pradesh,Rewa,Maize,212.72283018867924,1274.7169811320755,1339.1792452830189,1306.2169811320755,2010,6
523,2010-07-01,,Madhya Pradesh,Rewa,Maize,212.72283018867924,1274.7169811320755,1339.1792452830189,1306.2169811320755,2010,7
524,2010-08-01,276387.0,Madhya Pradesh,Rewa,Maize,3.0,1120.0,1120.0,1120.0,2010,8
554,2010-09-01,286064.0,Madhya Pradesh,Rewa,Maize,24.0,1109.0,1205.0,1203.0,2010,9
626,2010-10-01,295706.0,Madhya Pradesh,Rewa,Maize,25.0,1115.0,1127.0,1125.0,2010,10
705,2010-11-01,305854.0,Madhya Pradesh,Rewa,Maize,4.08,1210.0,1250.0,1225.0,2010,11
775,2010-12-01,314394.0,Madhya Pradesh,Rewa,Maize,250.0,1080.0,1140.0,1120.0,2010,12
848,2011-01-01,323970.0,Madhya Pradesh,Rewa,Maize,315.0,1150.0,1170.0,1160.0,2011,1
918,2011-02-01,333764.0,Madhya Pradesh,Rewa,Maize,37.1,1200.0,1212.0,1206.0,2011,2
965,2011-03-01,343131.0,Madhya Pradesh,Rewa,Maize,8.8,1160.0,1175.0,1170.0,2011,3
1007,2011-04-01,353063.0,Madhya Pradesh,Rewa,Maize,11.1,999.0,1110.0,1100.0,2011,4
1058,2011-05-01,365501.0,Madhya Pradesh,Rewa,Maize,3.7,1225.0,1272.0,1225.0,2011,5
1119,2011-06-01,378711.0,Madhya Pradesh,Rewa,Maize,4.5,1272.0,1272.0,1272.0,2011,6
1171,2011-07-01,389843.0,Madhya Pradesh,Rewa,Maize,31.0,1135.0,1150.0,1150.0,2011,7
1238,2011-08-01,401000.0,Madhya Pradesh,Rewa,Maize,12.0,1123.0,1126.0,1125.0,2011,8
1306,2011-09-01,410855.0,Madhya Pradesh,Rewa,Maize,22.0,1120.0,1124.0,1122.0,2011,9
1380,2011-10-01,421428.0,Madhya Pradesh,Rewa,Maize,0.4,922.0,922.0,922.0,2011,10
1441,2011-11-01,430085.0,Madhya Pradesh,Rewa,Maize,3.0,1025.0,1025.0,1025.0,2011,11
1522,2011-12-01,440713.0,Madhya Pradesh,Rewa,Maize,0.5,860.0,936.0,936.0,2011,12
1573,2012-01-01,451097.0,Madhya Pradesh,Rewa,Maize,31.5,1122.0,1125.0,1125.0,2012,1
1646,2012-02-01,460175.0,Madhya Pradesh,Rewa,Maize,12.0,1000.0,1010.0,1005.0,2012,2
1712,2012-03-01,468330.0,Madhya Pradesh,Rewa,Maize,25.5,1005.0,1060.0,1050.0,2012,3
1775,2012-04-01,477663.0,Madhya Pradesh,Rewa,Maize,2.0,1287.0,1287.0,1287.0,2012,4
1816,2012-05-01,489885.0,Madhya Pradesh,Rewa,Maize,1.6,1386.0,0.0,0.0,2012,5
1874,2012-06-01,504012.0,Madhya Pradesh,Rewa,Maize,19.5,1386.0,1387.0,1387.0,2012,6
1938,2012-07-01,515132.0,Madhya Pradesh,Rewa,Maize,22.0,1015.0,1070.0,1065.0,2012,7
1998,2012-08-01,526749.0,Madhya Pradesh,Rewa,Maize,18.5,1286.0,1286.0,1286.0,2012,8
2058,2012-09-01,537185.0,Madhya Pradesh,Rewa,Maize,167.0,1300.0,1440.0,1365.0,2012,9
2119,2012-10-01,548317.0,Madhya Pradesh,Rewa,Maize,114.2,1150.0,1256.0,1205.0,2012,10
2178,2012-11-01,559172.0,Madhya Pradesh,Rewa,Maize,102.9,1271.0,1390.0,1350.0,2012,11
2235,2012-12-01,568714.0,Madhya Pradesh,Rewa,Maize,65.7,1290.0,1350.0,1325.0,2012,12
2292,2013-01-01,578869.0,Madhya Pradesh,Rewa,Maize,4670.0,1240.0,1335.0,1310.0,2013,1
