,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,125.0,Madhya Pradesh,Sagar,Maize,76.0,901.0,1271.0,901.0,2008,1
46,2008-02-01,8412.0,Madhya Pradesh,Sagar,Maize,76.0,940.0,945.0,940.0,2008,2
124,2008-03-01,16868.0,Madhya Pradesh,Sagar,Maize,76.0,1005.0,1089.0,1036.0,2008,3
175,2008-04-01,25310.0,Madhya Pradesh,Sagar,Maize,56.7,1000.0,1000.0,1000.0,2008,4
245,2008-05-01,36874.0,Madhya Pradesh,Sagar,Maize,76.0,1100.0,1100.0,1100.0,2008,5
295,2008-06-01,48670.0,Madhya Pradesh,Sagar,Maize,76.0,900.0,1393.0,1100.0,2008,6
327,2008-07-01,57229.0,Madhya Pradesh,Sagar,Maize,76.0,800.0,1405.0,1100.0,2008,7
377,2008-08-01,65773.0,Madhya Pradesh,Sagar,Maize,76.0,1100.0,1100.0,1100.0,2008,8
425,2008-09-01,72366.0,Madhya Pradesh,Sagar,Maize,76.0,954.0,1236.0,976.0,2008,9
479,2008-10-01,78921.0,Madhya Pradesh,Sagar,Maize,76.0,900.0,925.0,915.0,2008,10
537,2008-11-01,85318.0,Madhya Pradesh,Sagar,Maize,76.0,850.0,1351.0,1319.0,2008,11
596,2008-12-01,92435.0,Madhya Pradesh,Sagar,Maize,76.0,800.0,1376.0,1141.0,2008,12
654,2009-01-01,99912.0,Madhya Pradesh,Sagar,Maize,76.0,950.0,1470.0,1470.0,2009,1
729,2009-02-01,107594.0,Madhya Pradesh,Sagar,Maize,76.0,1500.0,0.0,0.0,2009,2
799,2009-03-01,115069.0,Madhya Pradesh,Sagar,Maize,76.0,1025.0,1346.0,1127.0,2009,3
863,2009-04-01,122672.0,Madhya Pradesh,Sagar,Maize,76.0,1130.0,1130.0,1130.0,2009,4
916,2009-05-01,134094.0,Madhya Pradesh,Sagar,Maize,425.0,1075.0,1429.0,1300.0,2009,5
957,2009-06-01,143083.0,Madhya Pradesh,Sagar,Maize,148.6,1130.0,1410.0,1295.0,2009,6
959,2009-07-01,156910.0,Madhya Pradesh,Sagar,Maize,85.7,1050.0,1200.0,1150.0,2009,7
963,2009-08-01,157492.0,Madhya Pradesh,Sagar,Maize,9.7,1366.0,1500.0,1500.0,2009,8
1039,2009-09-01,165246.0,Madhya Pradesh,Sagar,Maize,368.0,1250.0,1650.0,1400.0,2009,9
1108,2009-10-01,174264.0,Madhya Pradesh,Sagar,Maize,204.0,1100.0,1800.0,1475.0,2009,10
1200,2009-11-01,183391.0,Madhya Pradesh,Sagar,Maize,16.0,1200.0,1220.0,1200.0,2009,11
1252,2009-12-01,193223.0,Madhya Pradesh,Sagar,Maize,16.0,1450.0,1850.0,1650.0,2009,12
1287,2010-01-01,202745.0,Madhya Pradesh,Sagar,Maize,2.0,1300.0,1450.0,1350.0,2010,1
1322,2010-02-01,211606.0,Madhya Pradesh,Sagar,Maize,52.1,1440.0,1800.0,1725.0,2010,2
1360,2010-03-01,220808.0,Madhya Pradesh,Sagar,Maize,21.6,1250.0,1476.0,1451.0,2010,3
1394,2010-04-01,230933.0,Madhya Pradesh,Sagar,Maize,9.9,1200.0,1200.0,1200.0,2010,4
1431,2010-05-01,245990.0,Madhya Pradesh,Sagar,Maize,2295.0,1200.0,1525.0,1450.0,2010,5
1444,2010-06-01,256283.0,Madhya Pradesh,Sagar,Maize,348.3,1100.0,1400.0,1125.0,2010,6
1454,2010-07-01,269004.0,Madhya Pradesh,Sagar,Maize,156.7,1135.0,1380.0,1275.0,2010,7
1470,2010-08-01,276592.0,Madhya Pradesh,Sagar,Maize,182.6,1175.0,1375.0,1325.0,2010,8
1485,2010-09-01,286066.0,Madhya Pradesh,Sagar,Maize,47.4,1200.0,1200.0,1200.0,2010,9
1532,2010-10-01,295709.0,Madhya Pradesh,Sagar,Maize,17.0,1100.0,1300.0,1250.0,2010,10
1586,2010-11-01,305856.0,Madhya Pradesh,Sagar,Maize,17.0,1065.0,1675.0,1350.0,2010,11
1644,2010-12-01,314398.0,Madhya Pradesh,Sagar,Maize,3.0,1160.0,1500.0,1350.0,2010,12
1704,2011-01-01,323972.0,Madhya Pradesh,Sagar,Maize,23.0,1160.0,1636.0,1475.0,2011,1
1755,2011-02-01,333766.0,Madhya Pradesh,Sagar,Maize,40.75,1200.0,1200.0,1200.0,2011,2
1782,2011-03-01,343133.0,Madhya Pradesh,Sagar,Maize,172.5,1150.0,1425.0,1300.0,2011,3
1818,2011-04-01,353064.0,Madhya Pradesh,Sagar,Maize,9.1,1225.0,1225.0,1225.0,2011,4
1865,2011-05-01,365878.0,Madhya Pradesh,Sagar,Maize,314.0,1220.0,1601.0,1360.0,2011,5
1928,2011-06-01,378714.0,Madhya Pradesh,Sagar,Maize,31.68,1270.0,1270.0,1270.0,2011,6
1972,2011-07-01,389845.0,Madhya Pradesh,Sagar,Maize,67.4,900.0,1000.0,950.0,2011,7
2057,2011-08-01,401002.0,Madhya Pradesh,Sagar,Maize,56.0,1000.0,1165.0,1100.0,2011,8
2152,2011-09-01,410858.0,Madhya Pradesh,Sagar,Maize,83.0,975.0,1450.0,1300.0,2011,9
2261,2011-10-01,421431.0,Madhya Pradesh,Sagar,Maize,60.0,1050.0,1725.0,1600.0,2011,10
2325,2011-11-01,430088.0,Madhya Pradesh,Sagar,Maize,60.0,1000.0,1500.0,1350.0,2011,11
2397,2011-12-01,441053.0,Madhya Pradesh,Sagar,Maize,86.0,950.0,1390.0,1280.0,2011,12
2460,2012-01-01,451098.0,Madhya Pradesh,Sagar,Maize,169.9,1011.0,1371.0,1251.0,2012,1
2537,2012-02-01,460178.0,Madhya Pradesh,Sagar,Maize,37.4,1052.0,1440.0,1246.0,2012,2
2594,2012-03-01,468333.0,Madhya Pradesh,Sagar,Maize,43.0,1150.0,1400.0,1290.0,2012,3
2642,2012-04-01,477462.0,Madhya Pradesh,Sagar,Maize,18.2,1385.0,1385.0,1385.0,2012,4
2709,2012-05-01,489887.0,Madhya Pradesh,Sagar,Maize,318.0,1050.0,1545.0,1385.0,2012,5
2790,2012-06-01,504014.0,Madhya Pradesh,Sagar,Maize,16.9,1385.0,1385.0,1385.0,2012,6
2866,2012-07-01,515134.0,Madhya Pradesh,Sagar,Maize,18.0,900.0,1200.0,1100.0,2012,7
2967,2012-08-01,526752.0,Madhya Pradesh,Sagar,Maize,50.94,1285.0,1285.0,1285.0,2012,8
3025,2012-09-01,537187.0,Madhya Pradesh,Sagar,Maize,44.0,1250.0,2180.0,1731.0,2012,9
3114,2012-10-01,548319.0,Madhya Pradesh,Sagar,Maize,4.0,1231.0,1591.0,1300.0,2012,10
3178,2012-11-01,559174.0,Madhya Pradesh,Sagar,Maize,2.0,1400.0,1660.0,1515.0,2012,11
3249,2012-12-01,568716.0,Madhya Pradesh,Sagar,Maize,28.0,1500.0,2036.0,1790.0,2012,12
3309,2013-01-01,578871.0,Madhya Pradesh,Sagar,Maize,2.0,1461.0,1831.0,1765.0,2013,1
3392,2013-02-01,588830.0,Madhya Pradesh,Sagar,Maize,1.0,1450.0,1900.0,1760.0,2013,2
3458,2013-03-01,597418.0,Madhya Pradesh,Sagar,Maize,2.9,1495.0,2101.0,1976.0,2013,3
3525,2013-04-01,606875.0,Madhya Pradesh,Sagar,Maize,82.0,1500.0,1500.0,1500.0,2013,4
3599,2013-05-01,620235.0,Madhya Pradesh,Sagar,Maize,317.0,1500.0,1500.0,1500.0,2013,5
3673,2013-06-01,633599.0,Madhya Pradesh,Sagar,Maize,11.0,1415.0,2200.0,1771.0,2013,6
3718,2013-07-01,644910.0,Madhya Pradesh,Sagar,Maize,3248.0,1405.0,1950.0,1750.0,2013,7
3749,2013-08-01,656139.0,Madhya Pradesh,Sagar,Maize,105.9,1430.0,1600.0,1450.0,2013,8
3765,2013-09-01,666348.0,Madhya Pradesh,Sagar,Maize,213.3,1455.0,1900.0,1750.0,2013,9
3781,2013-10-01,679202.0,Madhya Pradesh,Sagar,Maize,159.9,1450.0,2100.0,1800.0,2013,10
3796,2013-11-01,686391.0,Madhya Pradesh,Sagar,Maize,94.68,1385.0,1400.0,1393.0,2013,11
3814,2013-12-01,694885.0,Madhya Pradesh,Sagar,Maize,223.7,1440.0,1880.0,1780.0,2013,12
3834,2014-01-01,702962.0,Madhya Pradesh,Sagar,Maize,173.0,1590.0,2150.0,1775.0,2014,1
3885,2014-02-01,712864.0,Madhya Pradesh,Sagar,Maize,0.4,1701.0,1901.0,1810.0,2014,2
3932,2014-03-01,721799.0,Madhya Pradesh,Sagar,Maize,4.3,1800.0,2390.0,2000.0,2014,3
3973,2014-04-01,731652.0,Madhya Pradesh,Sagar,Maize,48.0,1550.0,1550.0,1550.0,2014,4
4069,2014-05-01,744148.0,Madhya Pradesh,Sagar,Maize,282.0,1320.0,1870.0,1640.0,2014,5
4177,2014-06-01,757881.0,Madhya Pradesh,Sagar,Maize,88.0,1450.0,1450.0,1450.0,2014,6
4287,2014-07-01,769290.0,Madhya Pradesh,Sagar,Maize,9.0,1350.0,1413.0,1390.0,2014,7
4380,2014-08-01,780852.0,Madhya Pradesh,Sagar,Maize,55.0,1402.0,1410.0,1407.0,2014,8
4478,2014-09-01,791305.0,Madhya Pradesh,Sagar,Maize,6.6,1360.0,1423.0,1420.0,2014,9
4634,2014-10-01,802806.0,Madhya Pradesh,Sagar,Maize,1.0,1410.0,1690.0,1530.0,2014,10
4785,2014-11-01,812471.0,Madhya Pradesh,Sagar,Maize,26.9,1372.0,1590.0,1460.0,2014,11
4971,2014-12-01,823405.0,Madhya Pradesh,Sagar,Maize,17.1,1375.0,1500.0,1446.0,2014,12
5178,2015-01-01,835273.0,Madhya Pradesh,Sagar,Maize,31.0,1400.0,1440.0,1420.0,2015,1
5337,2015-02-01,846741.0,Madhya Pradesh,Sagar,Maize,31.0,1400.0,1480.0,1440.0,2015,2
5476,2015-03-01,857098.0,Madhya Pradesh,Sagar,Maize,266.0,1385.0,1525.0,1450.0,2015,3
5607,2015-04-01,868064.0,Madhya Pradesh,Sagar,Maize,4.0,1250.0,1350.0,1300.0,2015,4
5775,2015-05-01,881138.0,Madhya Pradesh,Sagar,Maize,99.0,1450.0,1450.0,1450.0,2015,5
5953,2015-06-01,895271.0,Madhya Pradesh,Sagar,Maize,383.5,1300.0,2250.0,1600.0,2015,6
6136,2015-07-01,908129.0,Madhya Pradesh,Sagar,Maize,68.0,1350.0,1450.0,1450.0,2015,7
6337,2015-08-01,920398.0,Madhya Pradesh,Sagar,Maize,4.0,1360.0,1875.0,1590.0,2015,8
6488,2015-09-01,931820.0,Madhya Pradesh,Sagar,Maize,78.6,1400.0,2050.0,1550.0,2015,9
6667,2015-10-01,943598.0,Madhya Pradesh,Sagar,Maize,5.6,1390.0,1500.0,1440.0,2015,10
6805,2015-11-01,955188.0,Madhya Pradesh,Sagar,Maize,31.0,1430.0,1450.0,1450.0,2015,11
6959,2015-12-01,965304.0,Madhya Pradesh,Sagar,Maize,6.5,1410.0,2066.0,1870.0,2015,12
7128,2016-01-01,976794.0,Madhya Pradesh,Sagar,Maize,0.5,1370.0,1690.0,1600.0,2016,1
7252,2016-02-01,986668.0,Madhya Pradesh,Sagar,Maize,8.1,1435.0,1805.0,1660.0,2016,2
7376,2016-03-01,996515.0,Madhya Pradesh,Sagar,Maize,0.9,1400.0,1750.0,1580.0,2016,3
7509,2016-04-01,1007021.0,Madhya Pradesh,Sagar,Maize,5.0,1400.0,1530.0,1465.0,2016,4
7662,2016-05-01,1020505.0,Madhya Pradesh,Sagar,Maize,95.3,1525.0,1525.0,1525.0,2016,5
7860,2016-06-01,1035303.0,Madhya Pradesh,Sagar,Maize,103.0,1500.0,1625.0,1600.0,2016,6
8048,2016-07-01,1048931.0,Madhya Pradesh,Sagar,Maize,8.5,1600.0,2170.0,1880.0,2016,7
8200,2016-08-01,1060077.0,Madhya Pradesh,Sagar,Maize,2.0,1600.0,1600.0,1600.0,2016,8
8344,2016-09-01,1070713.0,Madhya Pradesh,Sagar,Maize,70.0,1650.0,1700.0,1675.0,2016,9
8508,2016-10-01,1081515.0,Madhya Pradesh,Sagar,Maize,0.9,1590.0,1590.0,1590.0,2016,10
8657,2016-11-01,1091516.0,Madhya Pradesh,Sagar,Maize,16.4,1850.0,2105.0,1920.0,2016,11
8741,2016-12-01,1100430.0,Madhya Pradesh,Sagar,Maize,13.2,1500.0,2070.0,1930.0,2016,12
8901,2017-01-01,1111747.0,Madhya Pradesh,Sagar,Maize,12.8,1670.0,1950.0,1760.0,2017,1
9063,2017-02-01,1122430.0,Madhya Pradesh,Sagar,Maize,15.4,1700.0,1760.0,1730.0,2017,2
9198,2017-03-01,1132701.0,Madhya Pradesh,Sagar,Maize,8.4,1500.0,1550.0,1525.0,2017,3
9336,2017-04-01,1145387.0,Madhya Pradesh,Sagar,Maize,23.4,1450.0,1600.0,1550.0,2017,4
9503,2017-05-01,1159756.0,Madhya Pradesh,Sagar,Maize,18.1,1625.0,1625.0,1625.0,2017,5
9678,2017-06-01,1174549.0,Madhya Pradesh,Sagar,Maize,19.18,1429.0,1800.0,1636.0,2017,6
9812,2017-07-01,,Madhya Pradesh,Sagar,Maize,122.614298245614,1288.4649122807018,1544.4912280701753,1424.4122807017543,2017,7
9813,2017-08-01,,Madhya Pradesh,Sagar,Maize,122.614298245614,1288.4649122807018,1544.4912280701753,1424.4122807017543,2017,8
9814,2017-09-01,,Madhya Pradesh,Sagar,Maize,122.614298245614,1288.4649122807018,1544.4912280701753,1424.4122807017543,2017,9
9815,2017-10-01,,Madhya Pradesh,Sagar,Maize,122.614298245614,1288.4649122807018,1544.4912280701753,1424.4122807017543,2017,10
9816,2017-11-01,,Madhya Pradesh,Sagar,Maize,122.614298245614,1288.4649122807018,1544.4912280701753,1424.4122807017543,2017,11
9817,2017-12-01,,Madhya Pradesh,Sagar,Maize,122.614298245614,1288.4649122807018,1544.4912280701753,1424.4122807017543,2017,12
