,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,127.0,Madhya Pradesh,Sehore,Maize,76.0,955.0,1050.0,1025.0,2008,1
56,2008-02-01,8419.0,Madhya Pradesh,Sehore,Maize,76.0,831.0,1070.0,1027.0,2008,2
158,2008-03-01,16871.0,Madhya Pradesh,Sehore,Maize,76.0,1061.0,1136.0,1090.0,2008,3
204,2008-04-01,25314.0,Madhya Pradesh,Sehore,Maize,76.0,901.0,1188.0,1100.0,2008,4
249,2008-05-01,37355.0,Madhya Pradesh,Sehore,Maize,76.0,1100.0,1120.0,1100.0,2008,5
281,2008-06-01,50017.0,Madhya Pradesh,Sehore,Maize,76.0,1100.0,1105.0,1100.0,2008,6
300,2008-07-01,57234.0,Madhya Pradesh,Sehore,Maize,76.0,1100.0,1130.0,1100.0,2008,7
342,2008-08-01,65776.0,Madhya Pradesh,Sehore,Maize,76.0,1100.0,1130.0,1100.0,2008,8
370,2008-09-01,72371.0,Madhya Pradesh,Sehore,Maize,76.0,900.0,1121.0,1014.0,2008,9
386,2008-10-01,79285.0,Madhya Pradesh,Sehore,Maize,76.0,1025.0,1130.0,1030.0,2008,10
405,2008-11-01,85322.0,Madhya Pradesh,Sehore,Maize,76.0,898.0,1124.0,1005.0,2008,11
435,2008-12-01,92437.0,Madhya Pradesh,Sehore,Maize,76.0,950.0,1200.0,1020.0,2008,12
475,2009-01-01,99916.0,Madhya Pradesh,Sehore,Maize,76.0,965.0,1188.0,1112.0,2009,1
518,2009-02-01,107599.0,Madhya Pradesh,Sehore,Maize,76.0,1040.0,1195.0,1080.0,2009,2
554,2009-03-01,115074.0,Madhya Pradesh,Sehore,Maize,76.0,950.0,1225.0,1064.0,2009,3
577,2009-04-01,123003.0,Madhya Pradesh,Sehore,Maize,76.0,950.0,1880.0,1130.0,2009,4
599,2009-05-01,134465.0,Madhya Pradesh,Sehore,Maize,2057.0,1130.0,1889.0,1130.0,2009,5
612,2009-06-01,,Madhya Pradesh,Sehore,Maize,240.17929203539822,1307.3097345132744,1642.3805309734514,1462.0973451327434,2009,6
613,2009-07-01,149811.0,Madhya Pradesh,Sehore,Maize,41.1,1050.0,1684.0,1441.0,2009,7
614,2009-08-01,157495.0,Madhya Pradesh,Sehore,Maize,81.1,1100.0,1800.0,1355.0,2009,8
672,2009-09-01,165249.0,Madhya Pradesh,Sehore,Maize,50.7,1605.0,1841.0,1751.0,2009,9
757,2009-10-01,174267.0,Madhya Pradesh,Sehore,Maize,34.1,1150.0,1833.0,1780.0,2009,10
858,2009-11-01,183393.0,Madhya Pradesh,Sehore,Maize,15.66,2000.0,2000.0,2000.0,2009,11
949,2009-12-01,193226.0,Madhya Pradesh,Sehore,Maize,47.3,1270.0,1962.0,1672.0,2009,12
979,2010-01-01,202747.0,Madhya Pradesh,Sehore,Maize,29.2,1375.0,2062.0,1986.0,2010,1
1000,2010-02-01,211609.0,Madhya Pradesh,Sehore,Maize,106.9,1191.0,2002.0,1915.0,2010,2
1018,2010-03-01,222277.0,Madhya Pradesh,Sehore,Maize,483.4,1050.0,2026.0,1600.0,2010,3
1039,2010-04-01,230639.0,Madhya Pradesh,Sehore,Maize,48.0,1200.0,1200.0,1200.0,2010,4
1074,2010-05-01,245476.0,Madhya Pradesh,Sehore,Maize,841.2,1201.0,1771.0,1402.0,2010,5
1090,2010-06-01,256285.0,Madhya Pradesh,Sehore,Maize,471.8,1201.0,1962.0,1401.0,2010,6
1116,2010-07-01,266509.0,Madhya Pradesh,Sehore,Maize,75.8,1127.0,1847.0,1480.0,2010,7
1139,2010-08-01,276594.0,Madhya Pradesh,Sehore,Maize,150.8,1210.0,2108.0,1601.0,2010,8
1163,2010-09-01,286067.0,Madhya Pradesh,Sehore,Maize,36.2,1191.0,1657.0,1433.0,2010,9
1187,2010-10-01,296452.0,Madhya Pradesh,Sehore,Maize,155.5,1128.0,1995.0,1600.0,2010,10
1220,2010-11-01,305860.0,Madhya Pradesh,Sehore,Maize,344.8,1160.0,2080.0,1211.0,2010,11
1259,2010-12-01,314400.0,Madhya Pradesh,Sehore,Maize,192.6,1180.0,1904.0,1601.0,2010,12
1303,2011-01-01,323975.0,Madhya Pradesh,Sehore,Maize,50.3,1245.0,1788.0,1631.0,2011,1
1356,2011-02-01,333768.0,Madhya Pradesh,Sehore,Maize,91.3,1260.0,1909.0,1581.0,2011,2
1395,2011-03-01,343135.0,Madhya Pradesh,Sehore,Maize,2.9,1140.0,1161.0,1145.0,2011,3
1433,2011-04-01,353066.0,Madhya Pradesh,Sehore,Maize,224.5,1220.0,1224.0,1222.0,2011,4
1485,2011-05-01,365882.0,Madhya Pradesh,Sehore,Maize,582.3,1220.0,1220.0,1220.0,2011,5
1522,2011-06-01,378716.0,Madhya Pradesh,Sehore,Maize,2.6,1026.0,1072.0,1070.0,2011,6
1585,2011-07-01,389848.0,Madhya Pradesh,Sehore,Maize,10.3,980.0,1021.0,990.0,2011,7
1658,2011-08-01,401008.0,Madhya Pradesh,Sehore,Maize,201.6,1046.0,1790.0,1450.0,2011,8
1738,2011-09-01,410863.0,Madhya Pradesh,Sehore,Maize,98.7,1035.0,1965.0,1550.0,2011,9
1821,2011-10-01,421435.0,Madhya Pradesh,Sehore,Maize,29.7,921.0,1000.0,965.0,2011,10
1891,2011-11-01,430092.0,Madhya Pradesh,Sehore,Maize,24.8,1025.0,1101.0,1065.0,2011,11
1976,2011-12-01,440717.0,Madhya Pradesh,Sehore,Maize,4.7,990.0,1020.0,1000.0,2011,12
