,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,413.0,Madhya Pradesh,Seoni,Maize,15.0,929.0,1043.0,1043.0,2008,1
19,2008-02-01,8425.0,Madhya Pradesh,Seoni,Maize,7.0,988.0,1000.0,990.0,2008,2
37,2008-03-01,16877.0,Madhya Pradesh,Seoni,Maize,9.05,1100.0,1100.0,1100.0,2008,3
65,2008-04-01,25009.0,Madhya Pradesh,Seoni,Maize,30.04,1100.0,1105.0,1105.0,2008,4
115,2008-05-01,36877.0,Madhya Pradesh,Seoni,Maize,50.02,1105.0,1105.0,1105.0,2008,5
193,2008-06-01,48472.0,Madhya Pradesh,Seoni,Maize,100.0,1100.0,1100.0,1100.0,2008,6
265,2008-07-01,57236.0,Madhya Pradesh,Seoni,Maize,24.0,1100.0,1105.0,1100.0,2008,7
353,2008-08-01,65778.0,Madhya Pradesh,Seoni,Maize,310.0,1100.0,1150.0,1100.0,2008,8
424,2008-09-01,72373.0,Madhya Pradesh,Seoni,Maize,65.0,1004.0,1105.0,1010.0,2008,9
477,2008-10-01,78924.0,Madhya Pradesh,Seoni,Maize,43.0,1000.0,1005.0,1005.0,2008,10
533,2008-11-01,85323.0,Madhya Pradesh,Seoni,Maize,47.5,960.0,1200.0,1000.0,2008,11
596,2008-12-01,92438.0,Madhya Pradesh,Seoni,Maize,16.0,915.0,943.0,943.0,2008,12
661,2009-01-01,99917.0,Madhya Pradesh,Seoni,Maize,17.3,1005.0,1100.0,1100.0,2009,1
698,2009-02-01,107601.0,Madhya Pradesh,Seoni,Maize,76.0,1080.0,1170.0,1099.0,2009,2
728,2009-03-01,115075.0,Madhya Pradesh,Seoni,Maize,21.7,1036.0,1080.0,1068.0,2009,3
774,2009-04-01,123005.0,Madhya Pradesh,Seoni,Maize,76.0,970.0,1130.0,1130.0,2009,4
789,2009-05-01,134096.0,Madhya Pradesh,Seoni,Maize,86.4,1000.0,1020.0,1010.0,2009,5
826,2009-06-01,143920.0,Madhya Pradesh,Seoni,Maize,3.06,1000.0,1400.0,1136.0,2009,6
833,2009-07-01,149812.0,Madhya Pradesh,Seoni,Maize,9.0,900.0,1350.0,1080.0,2009,7
874,2009-08-01,157496.0,Madhya Pradesh,Seoni,Maize,3.0,900.0,1350.0,1089.0,2009,8
917,2009-09-01,165251.0,Madhya Pradesh,Seoni,Maize,27.5,1080.0,1080.0,1080.0,2009,9
990,2009-10-01,174271.0,Madhya Pradesh,Seoni,Maize,38.2,1100.0,1100.0,1100.0,2009,10
1058,2009-11-01,183394.0,Madhya Pradesh,Seoni,Maize,2.0,1000.0,1200.0,1080.0,2009,11
