,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Madhya Pradesh,Sheopur,Maize,94.56336633663364,1312.6831683168316,1386.1881188118812,1350.2673267326732,2008,1
1,2008-02-01,8432.0,Madhya Pradesh,Sheopur,Maize,76.0,975.0,1000.0,981.0,2008,2
6,2008-03-01,18528.0,Madhya Pradesh,Sheopur,Maize,76.0,950.0,1130.0,1130.0,2008,3
7,2008-04-01,,Madhya Pradesh,Sheopur,Maize,94.56336633663364,1312.6831683168316,1386.1881188118812,1350.2673267326732,2008,4
8,2008-05-01,,Madhya Pradesh,Sheopur,Maize,94.56336633663364,1312.6831683168316,1386.1881188118812,1350.2673267326732,2008,5
9,2008-06-01,55500.0,Madhya Pradesh,Sheopur,Maize,76.0,1100.0,1330.0,1100.0,2008,6
11,2008-07-01,61320.0,Madhya Pradesh,Sheopur,Maize,76.0,1100.0,1996.0,1100.0,2008,7
16,2008-08-01,,Madhya Pradesh,Sheopur,Maize,94.56336633663364,1312.6831683168316,1386.1881188118812,1350.2673267326732,2008,8
17,2008-09-01,,Madhya Pradesh,Sheopur,Maize,94.56336633663364,1312.6831683168316,1386.1881188118812,1350.2673267326732,2008,9
18,2008-10-01,81326.0,Madhya Pradesh,Sheopur,Maize,76.0,1000.0,1000.0,1000.0,2008,10
26,2008-11-01,85328.0,Madhya Pradesh,Sheopur,Maize,76.0,918.0,1056.0,963.0,2008,11
28,2008-12-01,,Madhya Pradesh,Sheopur,Maize,94.56336633663364,1312.6831683168316,1386.1881188118812,1350.2673267326732,2008,12
29,2009-01-01,101873.0,Madhya Pradesh,Sheopur,Maize,76.0,1015.0,1570.0,1125.0,2009,1
30,2009-02-01,,Madhya Pradesh,Sheopur,Maize,94.56336633663364,1312.6831683168316,1386.1881188118812,1350.2673267326732,2009,2
31,2009-03-01,,Madhya Pradesh,Sheopur,Maize,94.56336633663364,1312.6831683168316,1386.1881188118812,1350.2673267326732,2009,3
32,2009-04-01,,Madhya Pradesh,Sheopur,Maize,94.56336633663364,1312.6831683168316,1386.1881188118812,1350.2673267326732,2009,4
33,2009-05-01,,Madhya Pradesh,Sheopur,Maize,94.56336633663364,1312.6831683168316,1386.1881188118812,1350.2673267326732,2009,5
34,2009-06-01,,Madhya Pradesh,Sheopur,Maize,94.56336633663364,1312.6831683168316,1386.1881188118812,1350.2673267326732,2009,6
35,2009-07-01,153553.0,Madhya Pradesh,Sheopur,Maize,11.0,1111.0,1126.0,1117.0,2009,7
47,2009-08-01,157498.0,Madhya Pradesh,Sheopur,Maize,34.0,1060.0,1102.0,1080.0,2009,8
62,2009-09-01,165258.0,Madhya Pradesh,Sheopur,Maize,10.0,1070.0,1150.0,1126.0,2009,9
81,2009-10-01,174857.0,Madhya Pradesh,Sheopur,Maize,18.9,1100.0,1158.0,1140.0,2009,10
115,2009-11-01,183861.0,Madhya Pradesh,Sheopur,Maize,48.3,1340.0,1367.0,1362.0,2009,11
150,2009-12-01,193239.0,Madhya Pradesh,Sheopur,Maize,5.2,1269.0,1285.0,1280.0,2009,12
185,2010-01-01,202758.0,Madhya Pradesh,Sheopur,Maize,4.9,1321.0,1341.0,1330.0,2010,1
205,2010-02-01,211619.0,Madhya Pradesh,Sheopur,Maize,25.1,1201.0,1390.0,1230.0,2010,2
227,2010-03-01,221159.0,Madhya Pradesh,Sheopur,Maize,19.4,1025.0,1200.0,1135.0,2010,3
247,2010-04-01,230645.0,Madhya Pradesh,Sheopur,Maize,749.0,1200.0,1200.0,1200.0,2010,4
261,2010-05-01,,Madhya Pradesh,Sheopur,Maize,94.56336633663364,1312.6831683168316,1386.1881188118812,1350.2673267326732,2010,5
262,2010-06-01,,Madhya Pradesh,Sheopur,Maize,94.56336633663364,1312.6831683168316,1386.1881188118812,1350.2673267326732,2010,6
263,2010-07-01,275418.0,Madhya Pradesh,Sheopur,Maize,31.5,1192.0,1215.0,1200.0,2010,7
266,2010-08-01,276598.0,Madhya Pradesh,Sheopur,Maize,13.8,1200.0,1225.0,1210.0,2010,8
290,2010-09-01,286071.0,Madhya Pradesh,Sheopur,Maize,49.2,1150.0,1201.0,1171.0,2010,9
308,2010-10-01,295722.0,Madhya Pradesh,Sheopur,Maize,3.0,1138.0,1163.0,1150.0,2010,10
353,2010-11-01,305868.0,Madhya Pradesh,Sheopur,Maize,5.0,1117.0,1130.0,1122.0,2010,11
387,2010-12-01,314409.0,Madhya Pradesh,Sheopur,Maize,3.1,1142.0,1179.0,1160.0,2010,12
428,2011-01-01,323982.0,Madhya Pradesh,Sheopur,Maize,12.5,1220.0,1230.0,1226.0,2011,1
471,2011-02-01,333777.0,Madhya Pradesh,Sheopur,Maize,7.7,1200.0,1233.0,1228.0,2011,2
516,2011-03-01,343144.0,Madhya Pradesh,Sheopur,Maize,1.4,1186.0,1201.0,1201.0,2011,3
559,2011-04-01,353068.0,Madhya Pradesh,Sheopur,Maize,70.5,992.0,1025.0,1011.0,2011,4
585,2011-05-01,365886.0,Madhya Pradesh,Sheopur,Maize,2547.2,961.0,1220.0,1220.0,2011,5
605,2011-06-01,378719.0,Madhya Pradesh,Sheopur,Maize,40.0,1009.0,1071.0,1050.0,2011,6
628,2011-07-01,389851.0,Madhya Pradesh,Sheopur,Maize,11.0,1000.0,1030.0,1002.0,2011,7
669,2011-08-01,401015.0,Madhya Pradesh,Sheopur,Maize,2.5,1029.0,1029.0,1029.0,2011,8
707,2011-09-01,410870.0,Madhya Pradesh,Sheopur,Maize,1.5,1008.0,1008.0,1008.0,2011,9
752,2011-10-01,421446.0,Madhya Pradesh,Sheopur,Maize,52.5,960.0,980.0,970.0,2011,10
781,2011-11-01,430101.0,Madhya Pradesh,Sheopur,Maize,24.8,900.0,1050.0,990.0,2011,11
819,2011-12-01,440725.0,Madhya Pradesh,Sheopur,Maize,5.5,970.0,1009.0,990.0,2011,12
883,2012-01-01,451297.0,Madhya Pradesh,Sheopur,Maize,4.0,1009.0,1034.0,1034.0,2012,1
947,2012-02-01,460192.0,Madhya Pradesh,Sheopur,Maize,2.9,1052.0,1077.0,1074.0,2012,2
1002,2012-03-01,468349.0,Madhya Pradesh,Sheopur,Maize,3.0,1081.0,1081.0,1081.0,2012,3
1052,2012-04-01,477683.0,Madhya Pradesh,Sheopur,Maize,173.3,1385.0,1385.0,1385.0,2012,4
1121,2012-05-01,489903.0,Madhya Pradesh,Sheopur,Maize,1361.2,1385.0,1385.0,1385.0,2012,5
1193,2012-06-01,504028.0,Madhya Pradesh,Sheopur,Maize,4.5,1091.0,1112.0,1100.0,2012,6
1251,2012-07-01,515406.0,Madhya Pradesh,Sheopur,Maize,3.6,1173.0,1190.0,1183.0,2012,7
1309,2012-08-01,526770.0,Madhya Pradesh,Sheopur,Maize,1.2,1430.0,1449.0,1440.0,2012,8
1360,2012-09-01,537204.0,Madhya Pradesh,Sheopur,Maize,7.9,1464.0,1594.0,1535.0,2012,9
1407,2012-10-01,548336.0,Madhya Pradesh,Sheopur,Maize,5.8,1300.0,1319.0,1314.0,2012,10
1469,2012-11-01,559195.0,Madhya Pradesh,Sheopur,Maize,4.9,1350.0,1420.0,1384.0,2012,11
1497,2012-12-01,568729.0,Madhya Pradesh,Sheopur,Maize,23.1,1400.0,1587.0,1506.0,2012,12
1520,2013-01-01,578885.0,Madhya Pradesh,Sheopur,Maize,6.2,1400.0,1400.0,1400.0,2013,1
1545,2013-02-01,588847.0,Madhya Pradesh,Sheopur,Maize,13.0,1501.0,1558.0,1536.0,2013,2
1574,2013-03-01,597436.0,Madhya Pradesh,Sheopur,Maize,10.6,1440.0,1537.0,1479.0,2013,3
1600,2013-04-01,607279.0,Madhya Pradesh,Sheopur,Maize,385.2,1246.0,1500.0,1500.0,2013,4
1644,2013-05-01,620248.0,Madhya Pradesh,Sheopur,Maize,1178.1,1325.0,1500.0,1500.0,2013,5
1682,2013-06-01,633615.0,Madhya Pradesh,Sheopur,Maize,71.7,1433.0,1628.0,1519.0,2013,6
1720,2013-07-01,644924.0,Madhya Pradesh,Sheopur,Maize,1.8,1426.0,1497.0,1487.0,2013,7
1776,2013-08-01,656532.0,Madhya Pradesh,Sheopur,Maize,39.0,1428.0,1462.0,1440.0,2013,8
1803,2013-09-01,665307.0,Madhya Pradesh,Sheopur,Maize,91.1,1380.0,1380.0,1380.0,2013,9
1863,2013-10-01,675826.0,Madhya Pradesh,Sheopur,Maize,1.7,1416.0,1426.0,1421.0,2013,10
1918,2013-11-01,685908.0,Madhya Pradesh,Sheopur,Maize,4.1,1525.0,1535.0,1533.0,2013,11
1977,2013-12-01,694559.0,Madhya Pradesh,Sheopur,Maize,34.0,1558.0,1661.0,1580.0,2013,12
1998,2014-01-01,702965.0,Madhya Pradesh,Sheopur,Maize,0.3,1530.0,1530.0,1530.0,2014,1
2038,2014-02-01,712876.0,Madhya Pradesh,Sheopur,Maize,17.5,1538.0,1553.0,1553.0,2014,2
2076,2014-03-01,721589.0,Madhya Pradesh,Sheopur,Maize,4.0,1533.0,1570.0,1550.0,2014,3
2118,2014-04-01,732008.0,Madhya Pradesh,Sheopur,Maize,27.0,1290.0,1411.0,1403.0,2014,4
2158,2014-05-01,744161.0,Madhya Pradesh,Sheopur,Maize,1146.2,1550.0,1550.0,1550.0,2014,5
2205,2014-06-01,758154.0,Madhya Pradesh,Sheopur,Maize,4.6,1230.0,1437.0,1360.0,2014,6
2251,2014-07-01,769306.0,Madhya Pradesh,Sheopur,Maize,13.0,1200.0,1425.0,1400.0,2014,7
2296,2014-08-01,780870.0,Madhya Pradesh,Sheopur,Maize,26.1,1386.0,1490.0,1485.0,2014,8
2330,2014-09-01,791327.0,Madhya Pradesh,Sheopur,Maize,3.1,1456.0,1480.0,1469.0,2014,9
2370,2014-10-01,802820.0,Madhya Pradesh,Sheopur,Maize,16.5,1420.0,1438.0,1425.0,2014,10
2403,2014-11-01,812492.0,Madhya Pradesh,Sheopur,Maize,7.4,1470.0,1477.0,1475.0,2014,11
2442,2014-12-01,823426.0,Madhya Pradesh,Sheopur,Maize,8.3,1446.0,1470.0,1460.0,2014,12
2494,2015-01-01,835665.0,Madhya Pradesh,Sheopur,Maize,0.5,1540.0,1541.0,1541.0,2015,1
2529,2015-02-01,847031.0,Madhya Pradesh,Sheopur,Maize,2.5,1484.0,1499.0,1484.0,2015,2
2572,2015-03-01,857366.0,Madhya Pradesh,Sheopur,Maize,1.0,1451.0,1451.0,1451.0,2015,3
2608,2015-04-01,868084.0,Madhya Pradesh,Sheopur,Maize,18.3,1170.0,1279.0,1250.0,2015,4
2655,2015-05-01,881154.0,Madhya Pradesh,Sheopur,Maize,6.3,1280.0,1399.0,1313.0,2015,5
2705,2015-06-01,895292.0,Madhya Pradesh,Sheopur,Maize,3.5,1311.0,1350.0,1311.0,2015,6
2755,2015-07-01,908146.0,Madhya Pradesh,Sheopur,Maize,4.3,1365.0,1366.0,1365.0,2015,7
2799,2015-08-01,920426.0,Madhya Pradesh,Sheopur,Maize,3.5,1451.0,1466.0,1451.0,2015,8
2838,2015-09-01,931847.0,Madhya Pradesh,Sheopur,Maize,11.8,1399.0,1417.0,1405.0,2015,9
2882,2015-10-01,943621.0,Madhya Pradesh,Sheopur,Maize,5.9,1450.0,1487.0,1477.0,2015,10
2925,2015-11-01,955477.0,Madhya Pradesh,Sheopur,Maize,1.0,1467.0,1479.0,1467.0,2015,11
2962,2015-12-01,965328.0,Madhya Pradesh,Sheopur,Maize,10.0,1451.0,1462.0,1456.0,2015,12
3003,2016-01-01,976819.0,Madhya Pradesh,Sheopur,Maize,1.5,1491.0,1562.0,1562.0,2016,1
3039,2016-02-01,986689.0,Madhya Pradesh,Sheopur,Maize,7.3,1525.0,1631.0,1595.0,2016,2
3073,2016-03-01,996536.0,Madhya Pradesh,Sheopur,Maize,9.7,1501.0,1631.0,1585.0,2016,3
3111,2016-04-01,1007458.0,Madhya Pradesh,Sheopur,Maize,98.8,1370.0,1486.0,1470.0,2016,4
3148,2016-05-01,1020919.0,Madhya Pradesh,Sheopur,Maize,11.0,1511.0,1550.0,1530.0,2016,5
3194,2016-06-01,1035335.0,Madhya Pradesh,Sheopur,Maize,41.3,1575.0,1638.0,1606.0,2016,6
3257,2016-07-01,1048960.0,Madhya Pradesh,Sheopur,Maize,25.2,1625.0,1700.0,1668.0,2016,7
3321,2016-08-01,1060100.0,Madhya Pradesh,Sheopur,Maize,20.5,1625.0,1684.0,1640.0,2016,8
3357,2016-09-01,1070724.0,Madhya Pradesh,Sheopur,Maize,24.0,1650.0,1670.0,1660.0,2016,9
3399,2016-10-01,1081528.0,Madhya Pradesh,Sheopur,Maize,0.6,1570.0,1570.0,1570.0,2016,10
3423,2016-11-01,1091779.0,Madhya Pradesh,Sheopur,Maize,67.5,1720.0,1883.0,1840.0,2016,11
3449,2016-12-01,1100460.0,Madhya Pradesh,Sheopur,Maize,37.1,1740.0,1918.0,1800.0,2016,12
3497,2017-01-01,1111779.0,Madhya Pradesh,Sheopur,Maize,2.8,1651.0,1723.0,1700.0,2017,1
3532,2017-02-01,1122460.0,Madhya Pradesh,Sheopur,Maize,1.2,1865.0,1865.0,1865.0,2017,2
3566,2017-03-01,1132728.0,Madhya Pradesh,Sheopur,Maize,0.3,1650.0,1650.0,1650.0,2017,3
3602,2017-04-01,1145410.0,Madhya Pradesh,Sheopur,Maize,7.2,1441.0,1540.0,1531.0,2017,4
