,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,1304.0,Madhya Pradesh,Tikamgarh,Maize,76.0,894.0,1342.0,1008.0,2008,1
14,2008-02-01,8434.0,Madhya Pradesh,Tikamgarh,Maize,76.0,940.0,945.0,940.0,2008,2
31,2008-03-01,16886.0,Madhya Pradesh,Tikamgarh,Maize,76.0,1005.0,1089.0,1036.0,2008,3
48,2008-04-01,25648.0,Madhya Pradesh,Tikamgarh,Maize,76.0,911.0,1090.0,1021.0,2008,4
64,2008-05-01,36881.0,Madhya Pradesh,Tikamgarh,Maize,76.0,1100.0,1100.0,1100.0,2008,5
73,2008-06-01,54790.0,Madhya Pradesh,Tikamgarh,Maize,76.0,1100.0,1100.0,1100.0,2008,6
75,2008-07-01,58936.0,Madhya Pradesh,Tikamgarh,Maize,76.0,1100.0,1100.0,1100.0,2008,7
81,2008-08-01,65783.0,Madhya Pradesh,Tikamgarh,Maize,76.0,1100.0,1100.0,1100.0,2008,8
86,2008-09-01,72817.0,Madhya Pradesh,Tikamgarh,Maize,76.0,937.0,980.0,980.0,2008,9
90,2008-10-01,78929.0,Madhya Pradesh,Tikamgarh,Maize,76.0,900.0,925.0,915.0,2008,10
103,2008-11-01,85668.0,Madhya Pradesh,Tikamgarh,Maize,76.0,915.0,915.0,915.0,2008,11
111,2008-12-01,97621.0,Madhya Pradesh,Tikamgarh,Maize,76.0,940.0,940.0,940.0,2008,12
112,2009-01-01,,Madhya Pradesh,Tikamgarh,Maize,346.4043010752688,1296.5591397849462,1372.9354838709678,1332.6344086021506,2009,1
113,2009-02-01,109188.0,Madhya Pradesh,Tikamgarh,Maize,76.0,1181.0,1181.0,1181.0,2009,2
114,2009-03-01,115747.0,Madhya Pradesh,Tikamgarh,Maize,76.0,985.0,1086.0,1058.0,2009,3
131,2009-04-01,122673.0,Madhya Pradesh,Tikamgarh,Maize,76.0,1081.0,1130.0,1130.0,2009,4
145,2009-05-01,134471.0,Madhya Pradesh,Tikamgarh,Maize,4505.0,960.0,1130.0,1130.0,2009,5
152,2009-06-01,,Madhya Pradesh,Tikamgarh,Maize,346.4043010752688,1296.5591397849462,1372.9354838709678,1332.6344086021506,2009,6
153,2009-07-01,,Madhya Pradesh,Tikamgarh,Maize,346.4043010752688,1296.5591397849462,1372.9354838709678,1332.6344086021506,2009,7
154,2009-08-01,,Madhya Pradesh,Tikamgarh,Maize,346.4043010752688,1296.5591397849462,1372.9354838709678,1332.6344086021506,2009,8
155,2009-09-01,173280.0,Madhya Pradesh,Tikamgarh,Maize,90.2,1080.0,1080.0,1080.0,2009,9
156,2009-10-01,174284.0,Madhya Pradesh,Tikamgarh,Maize,263.8,1080.0,1090.0,1080.0,2009,10
185,2009-11-01,184686.0,Madhya Pradesh,Tikamgarh,Maize,224.9,1163.0,1535.0,1275.0,2009,11
191,2009-12-01,193987.0,Madhya Pradesh,Tikamgarh,Maize,238.8,1211.0,1340.0,1270.0,2009,12
212,2010-01-01,202763.0,Madhya Pradesh,Tikamgarh,Maize,173.7,1200.0,1400.0,1285.0,2010,1
234,2010-02-01,212810.0,Madhya Pradesh,Tikamgarh,Maize,20.2,1220.0,1235.0,1230.0,2010,2
240,2010-03-01,221162.0,Madhya Pradesh,Tikamgarh,Maize,141.8,1100.0,1175.0,1142.0,2010,3
256,2010-04-01,230945.0,Madhya Pradesh,Tikamgarh,Maize,605.3,1101.0,1152.0,1101.0,2010,4
262,2010-05-01,,Madhya Pradesh,Tikamgarh,Maize,346.4043010752688,1296.5591397849462,1372.9354838709678,1332.6344086021506,2010,5
263,2010-06-01,,Madhya Pradesh,Tikamgarh,Maize,346.4043010752688,1296.5591397849462,1372.9354838709678,1332.6344086021506,2010,6
264,2010-07-01,,Madhya Pradesh,Tikamgarh,Maize,346.4043010752688,1296.5591397849462,1372.9354838709678,1332.6344086021506,2010,7
265,2010-08-01,,Madhya Pradesh,Tikamgarh,Maize,346.4043010752688,1296.5591397849462,1372.9354838709678,1332.6344086021506,2010,8
266,2010-09-01,,Madhya Pradesh,Tikamgarh,Maize,346.4043010752688,1296.5591397849462,1372.9354838709678,1332.6344086021506,2010,9
267,2010-10-01,,Madhya Pradesh,Tikamgarh,Maize,346.4043010752688,1296.5591397849462,1372.9354838709678,1332.6344086021506,2010,10
268,2010-11-01,,Madhya Pradesh,Tikamgarh,Maize,346.4043010752688,1296.5591397849462,1372.9354838709678,1332.6344086021506,2010,11
