,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,146.0,Maharashtra,Ahmednagar,Maize,6.8,1021.0,1134.0,1070.0,2008,1
112,2008-02-01,8442.0,Maharashtra,Ahmednagar,Maize,5.0,1075.0,1300.0,1187.0,2008,2
227,2008-03-01,16892.0,Maharashtra,Ahmednagar,Maize,25.2,1100.0,1190.0,1145.0,2008,3
301,2008-04-01,25012.0,Maharashtra,Ahmednagar,Maize,76.8,980.0,1285.0,1132.0,2008,4
351,2008-05-01,37369.0,Maharashtra,Ahmednagar,Maize,145.7,1050.0,1276.0,1120.0,2008,5
410,2008-06-01,48473.0,Maharashtra,Ahmednagar,Maize,2435.6,911.0,1200.0,1100.0,2008,6
512,2008-07-01,57248.0,Maharashtra,Ahmednagar,Maize,25.0,1135.0,1240.0,1170.0,2008,7
586,2008-08-01,65789.0,Maharashtra,Ahmednagar,Maize,7.5,1125.0,1275.0,1217.0,2008,8
641,2008-09-01,72093.0,Maharashtra,Ahmednagar,Maize,18.0,1075.0,1250.0,1152.0,2008,9
707,2008-10-01,78934.0,Maharashtra,Ahmednagar,Maize,24.3,1065.0,1250.0,1157.0,2008,10
793,2008-11-01,85333.0,Maharashtra,Ahmednagar,Maize,16.4,1055.0,1350.0,1150.0,2008,11
908,2008-12-01,92447.0,Maharashtra,Ahmednagar,Maize,6.4,1050.0,1150.0,1100.0,2008,12
1017,2009-01-01,99926.0,Maharashtra,Ahmednagar,Maize,10.2,1161.0,1350.0,1256.0,2009,1
1109,2009-02-01,107437.0,Maharashtra,Ahmednagar,Maize,2.8,1100.0,1175.0,1137.0,2009,2
1265,2009-03-01,115086.0,Maharashtra,Ahmednagar,Maize,30.1,1100.0,1350.0,1225.0,2009,3
1442,2009-04-01,122675.0,Maharashtra,Ahmednagar,Maize,16.8,1075.0,1450.0,1262.0,2009,4
1604,2009-05-01,134476.0,Maharashtra,Ahmednagar,Maize,7.8,1000.0,1200.0,1100.0,2009,5
