,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,156.0,Maharashtra,Beed,Maize,3.7,970.0,1250.0,1120.0,2008,1
66,2008-02-01,8452.0,Maharashtra,Beed,Maize,2.0,975.0,1332.0,1130.0,2008,2
134,2008-03-01,16903.0,Maharashtra,Beed,Maize,17.0,811.0,1320.0,1170.0,2008,3
197,2008-04-01,25020.0,Maharashtra,Beed,Maize,0.3,1200.0,1200.0,1200.0,2008,4
235,2008-05-01,37375.0,Maharashtra,Beed,Maize,18.0,850.0,1460.0,1270.0,2008,5
287,2008-06-01,48477.0,Maharashtra,Beed,Maize,54.2,1026.0,1151.0,1051.0,2008,6
368,2008-07-01,57258.0,Maharashtra,Beed,Maize,1.0,1000.0,1150.0,1100.0,2008,7
438,2008-08-01,66054.0,Maharashtra,Beed,Maize,1.6,1001.0,1400.0,1245.0,2008,8
494,2008-09-01,72098.0,Maharashtra,Beed,Maize,1.6,1051.0,1340.0,1200.0,2008,9
550,2008-10-01,78944.0,Maharashtra,Beed,Maize,21.0,1100.0,1176.0,1150.0,2008,10
603,2008-11-01,85344.0,Maharashtra,Beed,Maize,18.0,1100.0,1250.0,1190.0,2008,11
700,2008-12-01,92458.0,Maharashtra,Beed,Maize,4.4,1040.0,1300.0,1110.0,2008,12
780,2009-01-01,99942.0,Maharashtra,Beed,Maize,3.2,1139.0,1376.0,1266.0,2009,1
832,2009-02-01,107614.0,Maharashtra,Beed,Maize,2.8,911.0,1419.0,1165.0,2009,2
906,2009-03-01,114877.0,Maharashtra,Beed,Maize,79.9,1090.0,1175.0,1116.0,2009,3
991,2009-04-01,122691.0,Maharashtra,Beed,Maize,22.5,1100.0,1502.0,1300.0,2009,4
1063,2009-05-01,134496.0,Maharashtra,Beed,Maize,22.0,1100.0,1548.0,1300.0,2009,5
1128,2009-06-01,142561.0,Maharashtra,Beed,Maize,7.5,1100.0,1555.0,1300.0,2009,6
1188,2009-07-01,149831.0,Maharashtra,Beed,Maize,4.2,1080.0,1320.0,1182.0,2009,7
1293,2009-08-01,157527.0,Maharashtra,Beed,Maize,1.0,1087.0,1400.0,1261.0,2009,8
1366,2009-09-01,165292.0,Maharashtra,Beed,Maize,3.0,1225.0,1551.0,1400.0,2009,9
1429,2009-10-01,174315.0,Maharashtra,Beed,Maize,3.3,1080.0,1377.0,1291.0,2009,10
1484,2009-11-01,183402.0,Maharashtra,Beed,Maize,13.0,1375.0,1501.0,1401.0,2009,11
1561,2009-12-01,193275.0,Maharashtra,Beed,Maize,1.8,1200.0,1555.0,1450.0,2009,12
1638,2010-01-01,202791.0,Maharashtra,Beed,Maize,1.7,1280.0,1771.0,1521.0,2010,1
1721,2010-02-01,211651.0,Maharashtra,Beed,Maize,2.4,1100.0,1900.0,1482.0,2010,2
1791,2010-03-01,220841.0,Maharashtra,Beed,Maize,43.9,1100.0,1425.0,1286.0,2010,3
1839,2010-04-01,230666.0,Maharashtra,Beed,Maize,2.0,1100.0,1755.0,1400.0,2010,4
1916,2010-05-01,245515.0,Maharashtra,Beed,Maize,7.0,1100.0,1776.0,1310.0,2010,5
1983,2010-06-01,256316.0,Maharashtra,Beed,Maize,2.3,1100.0,1870.0,1300.0,2010,6
2078,2010-07-01,266537.0,Maharashtra,Beed,Maize,3.4,1150.0,1750.0,1475.0,2010,7
2194,2010-08-01,276395.0,Maharashtra,Beed,Maize,8.1,1255.0,1500.0,1421.0,2010,8
2299,2010-09-01,286103.0,Maharashtra,Beed,Maize,3.6,1160.0,1656.0,1370.0,2010,9
2400,2010-10-01,295755.0,Maharashtra,Beed,Maize,5.5,1080.0,1651.0,1401.0,2010,10
2501,2010-11-01,305898.0,Maharashtra,Beed,Maize,2.4,1080.0,1580.0,1380.0,2010,11
2581,2010-12-01,314444.0,Maharashtra,Beed,Maize,0.5,1100.0,1721.0,1350.0,2010,12
2648,2011-01-01,324012.0,Maharashtra,Beed,Maize,1.5,1200.0,1500.0,1270.0,2011,1
2717,2011-02-01,333803.0,Maharashtra,Beed,Maize,0.4,1100.0,1150.0,1125.0,2011,2
2783,2011-03-01,343178.0,Maharashtra,Beed,Maize,1.0,1123.0,1149.0,1140.0,2011,3
2826,2011-04-01,353860.0,Maharashtra,Beed,Maize,2.1,1100.0,1505.0,1300.0,2011,4
2889,2011-05-01,365511.0,Maharashtra,Beed,Maize,25.0,1150.0,1501.0,1172.0,2011,5
2936,2011-06-01,379147.0,Maharashtra,Beed,Maize,2.7,1151.0,1251.0,1151.0,2011,6
2959,2011-07-01,390280.0,Maharashtra,Beed,Maize,4.0,1100.0,1462.0,1400.0,2011,7
3009,2011-08-01,401040.0,Maharashtra,Beed,Maize,7.5,1199.0,1432.0,1300.0,2011,8
3040,2011-09-01,411878.0,Maharashtra,Beed,Maize,22.9,1100.0,1201.0,1111.0,2011,9
3089,2011-10-01,422570.0,Maharashtra,Beed,Maize,0.8,1090.0,1100.0,1100.0,2011,10
3102,2011-11-01,431286.0,Maharashtra,Beed,Maize,1.4,1151.0,1241.0,1162.0,2011,11
3131,2011-12-01,441095.0,Maharashtra,Beed,Maize,3.1,1091.0,1400.0,1200.0,2011,12
3200,2012-01-01,451106.0,Maharashtra,Beed,Maize,7.8,1151.0,1351.0,1160.0,2012,1
3285,2012-02-01,460223.0,Maharashtra,Beed,Maize,0.2,1500.0,1500.0,1500.0,2012,2
3348,2012-03-01,468382.0,Maharashtra,Beed,Maize,2.0,1291.0,1510.0,1450.0,2012,3
3399,2012-04-01,477473.0,Maharashtra,Beed,Maize,20.3,1200.0,1701.0,1601.0,2012,4
3455,2012-05-01,490448.0,Maharashtra,Beed,Maize,2.1,1200.0,1900.0,1601.0,2012,5
3573,2012-06-01,504068.0,Maharashtra,Beed,Maize,3.0,1285.0,1700.0,1490.0,2012,6
3661,2012-07-01,515437.0,Maharashtra,Beed,Maize,1.1,1300.0,1651.0,1490.0,2012,7
3769,2012-08-01,526802.0,Maharashtra,Beed,Maize,0.7,1201.0,1800.0,1500.0,2012,8
3867,2012-09-01,537245.0,Maharashtra,Beed,Maize,1.2,1350.0,1891.0,1590.0,2012,9
3969,2012-10-01,548366.0,Maharashtra,Beed,Maize,0.4,1250.0,1665.0,1401.0,2012,10
4070,2012-11-01,559233.0,Maharashtra,Beed,Maize,0.6,1250.0,1861.0,1520.0,2012,11
4160,2012-12-01,568764.0,Maharashtra,Beed,Maize,0.4,1496.0,1496.0,1496.0,2012,12
4243,2013-01-01,578920.0,Maharashtra,Beed,Maize,0.6,1470.0,2000.0,1801.0,2013,1
4341,2013-02-01,588880.0,Maharashtra,Beed,Maize,0.1,1505.0,1505.0,1505.0,2013,2
4427,2013-03-01,597472.0,Maharashtra,Beed,Maize,2.0,1970.0,2160.0,2050.0,2013,3
4518,2013-04-01,606909.0,Maharashtra,Beed,Maize,1.3,1500.0,2291.0,1700.0,2013,4
4592,2013-05-01,620803.0,Maharashtra,Beed,Maize,1.5,1800.0,2500.0,2230.0,2013,5
4667,2013-06-01,633656.0,Maharashtra,Beed,Maize,0.8,1750.0,2360.0,1980.0,2013,6
4758,2013-07-01,644956.0,Maharashtra,Beed,Maize,0.6,1800.0,2000.0,1900.0,2013,7
4821,2013-08-01,656179.0,Maharashtra,Beed,Maize,0.9,1700.0,2100.0,1900.0,2013,8
4871,2013-09-01,665562.0,Maharashtra,Beed,Maize,0.1,1500.0,1550.0,1530.0,2013,9
4925,2013-10-01,675858.0,Maharashtra,Beed,Maize,0.2,1300.0,1626.0,1500.0,2013,10
4989,2013-11-01,686308.0,Maharashtra,Beed,Maize,0.3,1650.0,1701.0,1650.0,2013,11
5044,2013-12-01,694925.0,Maharashtra,Beed,Maize,1.2,1600.0,2390.0,2241.0,2013,12
5108,2014-01-01,703344.0,Maharashtra,Beed,Maize,0.2,2250.0,2250.0,2250.0,2014,1
5168,2014-02-01,712907.0,Maharashtra,Beed,Maize,0.6,1900.0,2140.0,2000.0,2014,2
5234,2014-03-01,721814.0,Maharashtra,Beed,Maize,2.5,1500.0,2300.0,2000.0,2014,3
5314,2014-04-01,731674.0,Maharashtra,Beed,Maize,2.4,1500.0,2400.0,1700.0,2014,4
