,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,165.0,Maharashtra,Jalgaon,Maize,3.2,1050.0,1110.0,1080.0,2008,1
83,2008-02-01,8467.0,Maharashtra,Jalgaon,Maize,0.7,1085.0,1115.0,1100.0,2008,2
159,2008-03-01,16919.0,Maharashtra,Jalgaon,Maize,12.5,1000.0,1151.0,1100.0,2008,3
220,2008-04-01,25350.0,Maharashtra,Jalgaon,Maize,190.0,1035.0,1250.0,1100.0,2008,4
261,2008-05-01,37389.0,Maharashtra,Jalgaon,Maize,41.6,991.0,1200.0,1095.0,2008,5
329,2008-06-01,48704.0,Maharashtra,Jalgaon,Maize,21.8,991.0,1100.0,1050.0,2008,6
391,2008-07-01,57273.0,Maharashtra,Jalgaon,Maize,3.0,950.0,1350.0,1100.0,2008,7
434,2008-08-01,65794.0,Maharashtra,Jalgaon,Maize,2.1,1101.0,1171.0,1140.0,2008,8
484,2008-09-01,72111.0,Maharashtra,Jalgaon,Maize,10.5,1076.0,1165.0,1120.0,2008,9
552,2008-10-01,78960.0,Maharashtra,Jalgaon,Maize,13.9,1045.0,1111.0,1080.0,2008,10
601,2008-11-01,85357.0,Maharashtra,Jalgaon,Maize,3.7,965.0,1150.0,1125.0,2008,11
663,2008-12-01,92478.0,Maharashtra,Jalgaon,Maize,3.9,1050.0,1226.0,1185.0,2008,12
731,2009-01-01,99953.0,Maharashtra,Jalgaon,Maize,3.5,1000.0,1286.0,1261.0,2009,1
786,2009-02-01,107631.0,Maharashtra,Jalgaon,Maize,1.7,1255.0,1293.0,1280.0,2009,2
855,2009-03-01,115119.0,Maharashtra,Jalgaon,Maize,10.1,1061.0,1201.0,1146.0,2009,3
927,2009-04-01,122703.0,Maharashtra,Jalgaon,Maize,270.0,800.0,1250.0,1020.0,2009,4
998,2009-05-01,134509.0,Maharashtra,Jalgaon,Maize,0.8,1075.0,1172.0,1100.0,2009,5
1064,2009-06-01,142570.0,Maharashtra,Jalgaon,Maize,18.5,1100.0,1201.0,1150.0,2009,6
1118,2009-07-01,149848.0,Maharashtra,Jalgaon,Maize,0.5,1135.0,1170.0,1135.0,2009,7
1169,2009-08-01,157540.0,Maharashtra,Jalgaon,Maize,0.7,1150.0,1200.0,1175.0,2009,8
