,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,171.0,Maharashtra,Nanded,Maize,7.5,1081.0,1105.0,1091.0,2008,1
25,2008-02-01,10656.0,Maharashtra,Nanded,Maize,5.0,1000.0,1200.0,1100.0,2008,2
57,2008-03-01,16925.0,Maharashtra,Nanded,Maize,2.8,1035.0,1250.0,1131.0,2008,3
94,2008-04-01,25037.0,Maharashtra,Nanded,Maize,2.5,1100.0,1150.0,1100.0,2008,4
125,2008-05-01,37395.0,Maharashtra,Nanded,Maize,0.5,1050.0,1100.0,1050.0,2008,5
142,2008-06-01,48710.0,Maharashtra,Nanded,Maize,2.8,1000.0,1110.0,1000.0,2008,6
162,2008-07-01,57278.0,Maharashtra,Nanded,Maize,11.7,1125.0,1201.0,1135.0,2008,7
173,2008-08-01,66391.0,Maharashtra,Nanded,Maize,0.3,1100.0,1125.0,1100.0,2008,8
185,2008-09-01,73722.0,Maharashtra,Nanded,Maize,3.0,1100.0,1200.0,1150.0,2008,9
206,2008-10-01,78966.0,Maharashtra,Nanded,Maize,3.0,1050.0,1150.0,1100.0,2008,10
241,2008-11-01,85361.0,Maharashtra,Nanded,Maize,2.3,1055.0,1101.0,1095.0,2008,11
265,2008-12-01,92485.0,Maharashtra,Nanded,Maize,13.1,1070.0,1201.0,1095.0,2008,12
297,2009-01-01,99962.0,Maharashtra,Nanded,Maize,1.0,1175.0,1190.0,1177.0,2009,1
346,2009-02-01,107638.0,Maharashtra,Nanded,Maize,9.0,1150.0,1200.0,1161.0,2009,2
383,2009-03-01,115126.0,Maharashtra,Nanded,Maize,2.5,1100.0,1140.0,1125.0,2009,3
430,2009-04-01,122711.0,Maharashtra,Nanded,Maize,5.0,1100.0,1200.0,1150.0,2009,4
503,2009-05-01,134515.0,Maharashtra,Nanded,Maize,3.0,1100.0,1200.0,1150.0,2009,5
552,2009-06-01,142572.0,Maharashtra,Nanded,Maize,1.0,1100.0,1200.0,1150.0,2009,6
602,2009-07-01,149852.0,Maharashtra,Nanded,Maize,2.0,1140.0,1181.0,1181.0,2009,7
649,2009-08-01,157917.0,Maharashtra,Nanded,Maize,2.0,1150.0,1300.0,1250.0,2009,8
674,2009-09-01,165310.0,Maharashtra,Nanded,Maize,2.6,1201.0,1275.0,1275.0,2009,9
715,2009-10-01,174341.0,Maharashtra,Nanded,Maize,0.4,1100.0,1225.0,1100.0,2009,10
729,2009-11-01,183924.0,Maharashtra,Nanded,Maize,3.2,1111.0,1125.0,1111.0,2009,11
753,2009-12-01,193288.0,Maharashtra,Nanded,Maize,0.5,1300.0,1600.0,1400.0,2009,12
794,2010-01-01,203599.0,Maharashtra,Nanded,Maize,7.0,1400.0,1711.0,1485.0,2010,1
820,2010-02-01,211683.0,Maharashtra,Nanded,Maize,1.5,1100.0,1461.0,1350.0,2010,2
860,2010-03-01,221959.0,Maharashtra,Nanded,Maize,0.5,1100.0,1250.0,1200.0,2010,3
900,2010-04-01,230679.0,Maharashtra,Nanded,Maize,15.5,1101.0,1151.0,1130.0,2010,4
915,2010-05-01,245537.0,Maharashtra,Nanded,Maize,1.0,1300.0,1400.0,1350.0,2010,5
940,2010-06-01,256335.0,Maharashtra,Nanded,Maize,2.0,1205.0,1350.0,1215.0,2010,6
