,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,172.0,Maharashtra,Nandurbar,Maize,2.0,1025.0,1116.0,1085.0,2008,1
25,2008-02-01,8474.0,Maharashtra,Nandurbar,Maize,1.5,1056.0,1065.0,1056.0,2008,2
63,2008-03-01,16928.0,Maharashtra,Nandurbar,Maize,5.2,1000.0,1200.0,1158.0,2008,3
93,2008-04-01,25040.0,Maharashtra,Nandurbar,Maize,3.0,1250.0,1250.0,1250.0,2008,4
105,2008-05-01,37396.0,Maharashtra,Nandurbar,Maize,21.1,950.0,1000.0,990.0,2008,5
124,2008-06-01,49011.0,Maharashtra,Nandurbar,Maize,15.5,1000.0,1000.0,1000.0,2008,6
139,2008-07-01,58552.0,Maharashtra,Nandurbar,Maize,1.6,1000.0,1000.0,1000.0,2008,7
156,2008-08-01,65798.0,Maharashtra,Nandurbar,Maize,7.5,1119.0,1135.0,1124.0,2008,8
172,2008-09-01,72114.0,Maharashtra,Nandurbar,Maize,8.5,1111.0,1135.0,1123.0,2008,9
188,2008-10-01,78969.0,Maharashtra,Nandurbar,Maize,12.5,931.0,1071.0,1062.0,2008,10
196,2008-11-01,88800.0,Maharashtra,Nandurbar,Maize,0.5,1100.0,1100.0,1100.0,2008,11
201,2008-12-01,93079.0,Maharashtra,Nandurbar,Maize,0.7,900.0,900.0,900.0,2008,12
211,2009-01-01,99964.0,Maharashtra,Nandurbar,Maize,9.5,1160.0,1251.0,1200.0,2009,1
231,2009-02-01,107639.0,Maharashtra,Nandurbar,Maize,22.9,1005.0,1300.0,1150.0,2009,2
254,2009-03-01,115128.0,Maharashtra,Nandurbar,Maize,4.2,1175.0,1200.0,1191.0,2009,3
283,2009-04-01,122715.0,Maharashtra,Nandurbar,Maize,6.5,1000.0,1050.0,1012.0,2009,4
306,2009-05-01,134519.0,Maharashtra,Nandurbar,Maize,6.3,1000.0,1100.0,1056.0,2009,5
332,2009-06-01,142574.0,Maharashtra,Nandurbar,Maize,45.0,1082.0,1172.0,1151.0,2009,6
349,2009-07-01,149853.0,Maharashtra,Nandurbar,Maize,5.0,1175.0,1252.0,1206.0,2009,7
373,2009-08-01,157919.0,Maharashtra,Nandurbar,Maize,4.5,1216.0,1285.0,1256.0,2009,8
392,2009-09-01,165311.0,Maharashtra,Nandurbar,Maize,4.0,1175.0,1315.0,1276.0,2009,9
417,2009-10-01,174343.0,Maharashtra,Nandurbar,Maize,3.0,1198.0,1322.0,1280.0,2009,10
431,2009-11-01,183925.0,Maharashtra,Nandurbar,Maize,3.5,1200.0,1400.0,1343.0,2009,11
457,2009-12-01,193651.0,Maharashtra,Nandurbar,Maize,12.3,1260.0,1590.0,1450.0,2009,12
487,2010-01-01,203600.0,Maharashtra,Nandurbar,Maize,17.9,1400.0,1705.0,1705.0,2010,1
498,2010-02-01,212865.0,Maharashtra,Nandurbar,Maize,1.5,1200.0,1280.0,1276.0,2010,2
517,2010-03-01,221219.0,Maharashtra,Nandurbar,Maize,127.0,1100.0,1421.0,1270.0,2010,3
526,2010-04-01,230680.0,Maharashtra,Nandurbar,Maize,6.4,1250.0,1500.0,1359.0,2010,4
541,2010-05-01,244860.0,Maharashtra,Nandurbar,Maize,2.0,1200.0,1200.0,1200.0,2010,5
566,2010-06-01,256336.0,Maharashtra,Nandurbar,Maize,34.2,1195.0,1361.0,1301.0,2010,6
586,2010-07-01,269060.0,Maharashtra,Nandurbar,Maize,19.4,1225.0,1429.0,1331.0,2010,7
595,2010-08-01,277793.0,Maharashtra,Nandurbar,Maize,6.7,1191.0,1395.0,1336.0,2010,8
611,2010-09-01,286135.0,Maharashtra,Nandurbar,Maize,13.2,1195.0,1405.0,1335.0,2010,9
622,2010-10-01,297671.0,Maharashtra,Nandurbar,Maize,4.8,1271.0,1389.0,1355.0,2010,10
629,2010-11-01,308623.0,Maharashtra,Nandurbar,Maize,18.8,1271.0,1425.0,1361.0,2010,11
644,2010-12-01,314468.0,Maharashtra,Nandurbar,Maize,16.5,1301.0,1431.0,1375.0,2010,12
679,2011-01-01,324027.0,Maharashtra,Nandurbar,Maize,0.5,1200.0,1200.0,1200.0,2011,1
698,2011-02-01,333834.0,Maharashtra,Nandurbar,Maize,12.6,1349.0,1525.0,1435.0,2011,2
737,2011-03-01,343737.0,Maharashtra,Nandurbar,Maize,54.5,1225.0,1435.0,1251.0,2011,3
781,2011-04-01,353104.0,Maharashtra,Nandurbar,Maize,6.5,1150.0,1200.0,1177.0,2011,4
810,2011-05-01,365515.0,Maharashtra,Nandurbar,Maize,24.0,1100.0,1200.0,1178.0,2011,5
827,2011-06-01,381376.0,Maharashtra,Nandurbar,Maize,5.0,1100.0,1100.0,1100.0,2011,6
830,2011-07-01,389885.0,Maharashtra,Nandurbar,Maize,17.2,1132.0,1180.0,1135.0,2011,7
851,2011-08-01,401055.0,Maharashtra,Nandurbar,Maize,16.1,1140.0,1180.0,1165.0,2011,8
869,2011-09-01,413698.0,Maharashtra,Nandurbar,Maize,15.0,1105.0,1128.0,1120.0,2011,9
877,2011-10-01,429797.0,Maharashtra,Nandurbar,Maize,12.5,1090.0,1450.0,1196.0,2011,10
878,2011-11-01,431293.0,Maharashtra,Nandurbar,Maize,1.0,2201.0,2284.0,2240.0,2011,11
904,2011-12-01,440751.0,Maharashtra,Nandurbar,Maize,31.3,1090.0,1151.0,1111.0,2011,12
937,2012-01-01,451107.0,Maharashtra,Nandurbar,Maize,14.1,1111.0,1281.0,1170.0,2012,1
965,2012-02-01,460238.0,Maharashtra,Nandurbar,Maize,3.0,1185.0,1275.0,1250.0,2012,2
986,2012-03-01,468403.0,Maharashtra,Nandurbar,Maize,3.5,1200.0,1275.0,1221.0,2012,3
