,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,173.0,Maharashtra,Nashik,Maize,29.0,1021.0,1170.0,1090.0,2008,1
102,2008-02-01,8475.0,Maharashtra,Nashik,Maize,2.5,991.0,1098.0,1075.0,2008,2
202,2008-03-01,16929.0,Maharashtra,Nashik,Maize,11.0,1100.0,1276.0,1268.0,2008,3
270,2008-04-01,25686.0,Maharashtra,Nashik,Maize,11.5,1051.0,1186.0,1100.0,2008,4
327,2008-05-01,37397.0,Maharashtra,Nashik,Maize,3.3,971.0,1155.0,1020.0,2008,5
400,2008-06-01,48482.0,Maharashtra,Nashik,Maize,35.0,960.0,1187.0,1075.0,2008,6
517,2008-07-01,57279.0,Maharashtra,Nashik,Maize,1.0,975.0,1125.0,1000.0,2008,7
589,2008-08-01,66061.0,Maharashtra,Nashik,Maize,2.4,1175.0,1275.0,1215.0,2008,8
628,2008-09-01,72115.0,Maharashtra,Nashik,Maize,10.5,1170.0,1271.0,1212.0,2008,9
674,2008-10-01,78970.0,Maharashtra,Nashik,Maize,18.0,1078.0,1252.0,1171.0,2008,10
743,2008-11-01,85496.0,Maharashtra,Nashik,Maize,20.1,1061.0,1211.0,1100.0,2008,11
816,2008-12-01,92486.0,Maharashtra,Nashik,Maize,4.0,900.0,1131.0,1051.0,2008,12
933,2009-01-01,99965.0,Maharashtra,Nashik,Maize,3.5,1135.0,1214.0,1165.0,2009,1
1055,2009-02-01,107444.0,Maharashtra,Nashik,Maize,24.6,1100.0,1310.0,1200.0,2009,2
1207,2009-03-01,114886.0,Maharashtra,Nashik,Maize,52.0,1050.0,1225.0,1150.0,2009,3
1320,2009-04-01,123063.0,Maharashtra,Nashik,Maize,70.0,851.0,1300.0,1151.0,2009,4
1411,2009-05-01,134520.0,Maharashtra,Nashik,Maize,55.0,1091.0,1306.0,1241.0,2009,5
1512,2009-06-01,142575.0,Maharashtra,Nashik,Maize,0.5,1122.0,1390.0,1200.0,2009,6
1578,2009-07-01,151512.0,Maharashtra,Nashik,Maize,7.3,1112.0,1235.0,1164.0,2009,7
1715,2009-08-01,157545.0,Maharashtra,Nashik,Maize,4.5,1301.0,1375.0,1331.0,2009,8
1850,2009-09-01,165312.0,Maharashtra,Nashik,Maize,1.0,1200.0,1200.0,1200.0,2009,9
1999,2009-10-01,174344.0,Maharashtra,Nashik,Maize,0.5,1206.0,1301.0,1301.0,2009,10
2116,2009-11-01,183567.0,Maharashtra,Nashik,Maize,0.5,1630.0,1711.0,1630.0,2009,11
2239,2009-12-01,193290.0,Maharashtra,Nashik,Maize,3.0,1390.0,1496.0,1411.0,2009,12
2395,2010-01-01,202811.0,Maharashtra,Nashik,Maize,2.0,1200.0,1500.0,1451.0,2010,1
2533,2010-02-01,211684.0,Maharashtra,Nashik,Maize,5.0,1151.0,1500.0,1351.0,2010,2
2671,2010-03-01,220866.0,Maharashtra,Nashik,Maize,6.0,1101.0,1261.0,1206.0,2010,3
2784,2010-04-01,231948.0,Maharashtra,Nashik,Maize,13.0,1141.0,1366.0,1175.0,2010,4
2906,2010-05-01,245157.0,Maharashtra,Nashik,Maize,1.1,1525.0,1525.0,1525.0,2010,5
3021,2010-06-01,256338.0,Maharashtra,Nashik,Maize,2.7,1290.0,1490.0,1300.0,2010,6
3106,2010-07-01,266565.0,Maharashtra,Nashik,Maize,1.2,1260.0,1271.0,1261.0,2010,7
3280,2010-08-01,276644.0,Maharashtra,Nashik,Maize,3.0,1281.0,1350.0,1305.0,2010,8
3445,2010-09-01,286136.0,Maharashtra,Nashik,Maize,0.3,1296.0,1405.0,1296.0,2010,9
3610,2010-10-01,295782.0,Maharashtra,Nashik,Maize,2.5,1281.0,1301.0,1292.0,2010,10
3759,2010-11-01,305920.0,Maharashtra,Nashik,Maize,7.0,1255.0,1474.0,1335.0,2010,11
3859,2010-12-01,314469.0,Maharashtra,Nashik,Maize,1.0,1370.0,1497.0,1422.0,2010,12
3985,2011-01-01,324243.0,Maharashtra,Nashik,Maize,27.8,1200.0,1475.0,1300.0,2011,1
4113,2011-02-01,333836.0,Maharashtra,Nashik,Maize,2.5,1342.0,1346.0,1345.0,2011,2
4262,2011-03-01,343195.0,Maharashtra,Nashik,Maize,1.5,1208.0,1260.0,1229.0,2011,3
4360,2011-04-01,354622.0,Maharashtra,Nashik,Maize,70.5,1131.0,1386.0,1185.0,2011,4
4439,2011-05-01,365935.0,Maharashtra,Nashik,Maize,6.0,1200.0,1601.0,1250.0,2011,5
4557,2011-06-01,379165.0,Maharashtra,Nashik,Maize,0.5,1102.0,1121.0,1110.0,2011,6
4686,2011-07-01,389886.0,Maharashtra,Nashik,Maize,1.2,1161.0,1175.0,1161.0,2011,7
4808,2011-08-01,401057.0,Maharashtra,Nashik,Maize,22.2,1150.0,1413.0,1235.0,2011,8
4914,2011-09-01,410884.0,Maharashtra,Nashik,Maize,0.5,1200.0,1200.0,1200.0,2011,9
4988,2011-10-01,421698.0,Maharashtra,Nashik,Maize,2.1,1240.0,1551.0,1390.0,2011,10
5006,2011-11-01,430131.0,Maharashtra,Nashik,Maize,8.2,1129.0,1192.0,1131.0,2011,11
5099,2011-12-01,440753.0,Maharashtra,Nashik,Maize,1.9,1100.0,1100.0,1100.0,2011,12
5236,2012-01-01,451108.0,Maharashtra,Nashik,Maize,17.4,1095.0,1441.0,1250.0,2012,1
5362,2012-02-01,460239.0,Maharashtra,Nashik,Maize,0.3,1155.0,1155.0,1155.0,2012,2
5482,2012-03-01,468405.0,Maharashtra,Nashik,Maize,14.2,1216.0,1391.0,1245.0,2012,3
5602,2012-04-01,478100.0,Maharashtra,Nashik,Maize,2.5,1135.0,1335.0,1249.0,2012,4
5725,2012-05-01,490476.0,Maharashtra,Nashik,Maize,37.1,1151.0,1790.0,1341.0,2012,5
5884,2012-06-01,504092.0,Maharashtra,Nashik,Maize,3.5,1175.0,1367.0,1300.0,2012,6
6015,2012-07-01,515467.0,Maharashtra,Nashik,Maize,1.5,1175.0,1300.0,1251.0,2012,7
6136,2012-08-01,526828.0,Maharashtra,Nashik,Maize,0.6,1610.0,1610.0,1610.0,2012,8
6243,2012-09-01,537273.0,Maharashtra,Nashik,Maize,10.0,1500.0,1851.0,1725.0,2012,9
6363,2012-10-01,548400.0,Maharashtra,Nashik,Maize,0.3,1589.0,1589.0,1589.0,2012,10
6503,2012-11-01,559268.0,Maharashtra,Nashik,Maize,10.0,1500.0,1800.0,1600.0,2012,11
6597,2012-12-01,568788.0,Maharashtra,Nashik,Maize,1.4,1636.0,1853.0,1753.0,2012,12
6712,2013-01-01,578943.0,Maharashtra,Nashik,Maize,0.2,1775.0,1775.0,1775.0,2013,1
6833,2013-02-01,588899.0,Maharashtra,Nashik,Maize,2.5,1600.0,1800.0,1701.0,2013,2
6947,2013-03-01,597495.0,Maharashtra,Nashik,Maize,3.7,1541.0,1812.0,1776.0,2013,3
7060,2013-04-01,607347.0,Maharashtra,Nashik,Maize,12.0,1661.0,1851.0,1771.0,2013,4
7145,2013-05-01,620832.0,Maharashtra,Nashik,Maize,0.2,1850.0,1850.0,1850.0,2013,5
7262,2013-06-01,633677.0,Maharashtra,Nashik,Maize,3.0,1680.0,1780.0,1710.0,2013,6
7393,2013-07-01,644993.0,Maharashtra,Nashik,Maize,14.3,1636.0,2040.0,1721.0,2013,7
7507,2013-08-01,656191.0,Maharashtra,Nashik,Maize,0.2,1400.0,1400.0,1400.0,2013,8
7570,2013-09-01,665592.0,Maharashtra,Nashik,Maize,1.5,1481.0,1521.0,1501.0,2013,9
7633,2013-10-01,675878.0,Maharashtra,Nashik,Maize,15.7,1611.0,2025.0,1670.0,2013,10
7714,2013-11-01,686965.0,Maharashtra,Nashik,Maize,0.6,2014.0,2261.0,2200.0,2013,11
7759,2013-12-01,694948.0,Maharashtra,Nashik,Maize,10.2,1652.0,2212.0,1801.0,2013,12
7834,2014-01-01,703370.0,Maharashtra,Nashik,Maize,12.5,1699.0,2341.0,2190.0,2014,1
7900,2014-02-01,712918.0,Maharashtra,Nashik,Maize,0.3,1302.0,1780.0,1640.0,2014,2
7967,2014-03-01,722075.0,Maharashtra,Nashik,Maize,2.6,1485.0,1721.0,1701.0,2014,3
8041,2014-04-01,732059.0,Maharashtra,Nashik,Maize,58.0,1125.0,1779.0,1500.0,2014,4
8099,2014-05-01,744615.0,Maharashtra,Nashik,Maize,13.0,1351.0,1801.0,1600.0,2014,5
8177,2014-06-01,758200.0,Maharashtra,Nashik,Maize,25.6,1476.0,1900.0,1550.0,2014,6
8241,2014-07-01,769364.0,Maharashtra,Nashik,Maize,12.3,1546.0,1670.0,1575.0,2014,7
8311,2014-08-01,780907.0,Maharashtra,Nashik,Maize,0.5,1550.0,1550.0,1550.0,2014,8
8390,2014-09-01,791377.0,Maharashtra,Nashik,Maize,0.3,1525.0,1540.0,1540.0,2014,9
8499,2014-10-01,802873.0,Maharashtra,Nashik,Maize,0.2,1485.0,1626.0,1626.0,2014,10
8577,2014-11-01,812537.0,Maharashtra,Nashik,Maize,0.2,1500.0,1690.0,1500.0,2014,11
8663,2014-12-01,823463.0,Maharashtra,Nashik,Maize,1.2,1450.0,1490.0,1450.0,2014,12
8763,2015-01-01,835314.0,Maharashtra,Nashik,Maize,9.5,1600.0,1951.0,1650.0,2015,1
8860,2015-02-01,846763.0,Maharashtra,Nashik,Maize,15.0,1600.0,1926.0,1700.0,2015,2
8932,2015-03-01,857114.0,Maharashtra,Nashik,Maize,3.0,1550.0,1575.0,1560.0,2015,3
8983,2015-04-01,869672.0,Maharashtra,Nashik,Maize,6.0,1401.0,1852.0,1616.0,2015,4
9006,2015-05-01,881731.0,Maharashtra,Nashik,Maize,30.0,1450.0,1841.0,1500.0,2015,5
9041,2015-06-01,895335.0,Maharashtra,Nashik,Maize,1.0,1414.0,1761.0,1471.0,2015,6
9106,2015-07-01,908190.0,Maharashtra,Nashik,Maize,18.0,1501.0,1775.0,1515.0,2015,7
9204,2015-08-01,920473.0,Maharashtra,Nashik,Maize,1.0,1551.0,1700.0,1601.0,2015,8
9296,2015-09-01,931895.0,Maharashtra,Nashik,Maize,5.0,1501.0,1651.0,1531.0,2015,9
9400,2015-10-01,943684.0,Maharashtra,Nashik,Maize,1.0,1476.0,1486.0,1481.0,2015,10
9531,2015-11-01,955211.0,Maharashtra,Nashik,Maize,33.0,1500.0,1679.0,1600.0,2015,11
9622,2015-12-01,965394.0,Maharashtra,Nashik,Maize,1.0,1461.0,1691.0,1691.0,2015,12
9738,2016-01-01,976876.0,Maharashtra,Nashik,Maize,3.0,1551.0,1600.0,1561.0,2016,1
