,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,177.0,Maharashtra,Osmanabad,Maize,2.5,1500.0,1500.0,1500.0,2008,1
5,2008-02-01,9014.0,Maharashtra,Osmanabad,Maize,0.8,950.0,1401.0,1175.0,2008,2
23,2008-03-01,16931.0,Maharashtra,Osmanabad,Maize,45.9,1051.0,1150.0,1090.0,2008,3
49,2008-04-01,25041.0,Maharashtra,Osmanabad,Maize,44.2,1650.0,1650.0,1650.0,2008,4
67,2008-05-01,39140.0,Maharashtra,Osmanabad,Maize,27.0,1400.0,1400.0,1400.0,2008,5
86,2008-06-01,48483.0,Maharashtra,Osmanabad,Maize,6.0,940.0,1360.0,1150.0,2008,6
88,2008-07-01,57930.0,Maharashtra,Osmanabad,Maize,5.4,996.0,1551.0,1274.0,2008,7
89,2008-08-01,69781.0,Maharashtra,Osmanabad,Maize,4.6,1060.0,1277.0,1168.0,2008,8
91,2008-09-01,72839.0,Maharashtra,Osmanabad,Maize,8.0,1049.0,1311.0,1180.0,2008,9
95,2008-10-01,79897.0,Maharashtra,Osmanabad,Maize,0.2,1225.0,1225.0,1225.0,2008,10
100,2008-11-01,86566.0,Maharashtra,Osmanabad,Maize,6.7,926.0,1235.0,1080.0,2008,11
103,2008-12-01,96193.0,Maharashtra,Osmanabad,Maize,0.1,800.0,800.0,800.0,2008,12
106,2009-01-01,99974.0,Maharashtra,Osmanabad,Maize,0.1,1275.0,1275.0,1275.0,2009,1
113,2009-02-01,108922.0,Maharashtra,Osmanabad,Maize,0.3,1079.0,1171.0,1125.0,2009,2
122,2009-03-01,115139.0,Maharashtra,Osmanabad,Maize,4.9,1100.0,1171.0,1136.0,2009,3
153,2009-04-01,122716.0,Maharashtra,Osmanabad,Maize,62.9,1051.0,1311.0,1175.0,2009,4
194,2009-05-01,134522.0,Maharashtra,Osmanabad,Maize,17.7,1080.0,1491.0,1300.0,2009,5
225,2009-06-01,142577.0,Maharashtra,Osmanabad,Maize,7.3,1100.0,1251.0,1157.0,2009,6
252,2009-07-01,149854.0,Maharashtra,Osmanabad,Maize,10.3,1125.0,1400.0,1221.0,2009,7
288,2009-08-01,157929.0,Maharashtra,Osmanabad,Maize,6.7,1175.0,1401.0,1271.0,2009,8
307,2009-09-01,165318.0,Maharashtra,Osmanabad,Maize,7.3,1100.0,1576.0,1341.0,2009,9
330,2009-10-01,174351.0,Maharashtra,Osmanabad,Maize,2.5,1700.0,1700.0,1700.0,2009,10
357,2009-11-01,183405.0,Maharashtra,Osmanabad,Maize,3.1,0.0,1050.0,1000.0,2009,11
383,2009-12-01,193660.0,Maharashtra,Osmanabad,Maize,2.4,1275.0,1618.0,1350.0,2009,12
415,2010-01-01,203609.0,Maharashtra,Osmanabad,Maize,5.1,1200.0,1800.0,1400.0,2010,1
436,2010-02-01,211692.0,Maharashtra,Osmanabad,Maize,6.0,1100.0,1701.0,1400.0,2010,2
465,2010-03-01,220873.0,Maharashtra,Osmanabad,Maize,11.9,1175.0,1501.0,1201.0,2010,3
503,2010-04-01,230681.0,Maharashtra,Osmanabad,Maize,7.0,1200.0,1832.0,1426.0,2010,4
542,2010-05-01,245540.0,Maharashtra,Osmanabad,Maize,13.8,1100.0,2371.0,1880.0,2010,5
569,2010-06-01,256343.0,Maharashtra,Osmanabad,Maize,3.2,1160.0,2300.0,1500.0,2010,6
603,2010-07-01,266573.0,Maharashtra,Osmanabad,Maize,0.1,1161.0,1900.0,1600.0,2010,7
643,2010-08-01,276399.0,Maharashtra,Osmanabad,Maize,1.1,1251.0,1515.0,1383.0,2010,8
669,2010-09-01,286144.0,Maharashtra,Osmanabad,Maize,0.1,1100.0,1100.0,1100.0,2010,9
692,2010-10-01,295786.0,Maharashtra,Osmanabad,Maize,5.0,1100.0,1600.0,1240.0,2010,10
718,2010-11-01,306292.0,Maharashtra,Osmanabad,Maize,0.6,1080.0,1080.0,1080.0,2010,11
732,2010-12-01,314860.0,Maharashtra,Osmanabad,Maize,3.6,1100.0,2100.0,1650.0,2010,12
752,2011-01-01,324028.0,Maharashtra,Osmanabad,Maize,0.4,1281.0,1371.0,1300.0,2011,1
770,2011-02-01,334597.0,Maharashtra,Osmanabad,Maize,1.4,1140.0,2251.0,1600.0,2011,2
797,2011-03-01,343201.0,Maharashtra,Osmanabad,Maize,1.0,1201.0,1700.0,1451.0,2011,3
837,2011-04-01,353105.0,Maharashtra,Osmanabad,Maize,0.4,1241.0,1241.0,1241.0,2011,4
863,2011-05-01,365939.0,Maharashtra,Osmanabad,Maize,0.2,1750.0,1750.0,1750.0,2011,5
873,2011-06-01,379170.0,Maharashtra,Osmanabad,Maize,11.8,1100.0,1800.0,1600.0,2011,6
883,2011-07-01,390298.0,Maharashtra,Osmanabad,Maize,0.1,1750.0,1750.0,1750.0,2011,7
890,2011-08-01,406739.0,Maharashtra,Osmanabad,Maize,0.8,1080.0,1301.0,1300.0,2011,8
892,2011-09-01,411643.0,Maharashtra,Osmanabad,Maize,0.1,2000.0,2000.0,2000.0,2011,9
896,2011-10-01,423052.0,Maharashtra,Osmanabad,Maize,0.1,1200.0,1200.0,1200.0,2011,10
901,2011-11-01,432856.0,Maharashtra,Osmanabad,Maize,0.2,1441.0,1441.0,1441.0,2011,11
911,2011-12-01,442034.0,Maharashtra,Osmanabad,Maize,0.4,1300.0,1340.0,1320.0,2011,12
915,2012-01-01,451352.0,Maharashtra,Osmanabad,Maize,0.2,1300.0,1400.0,1300.0,2012,1
927,2012-02-01,461602.0,Maharashtra,Osmanabad,Maize,1.2,1200.0,1770.0,1400.0,2012,2
936,2012-03-01,468412.0,Maharashtra,Osmanabad,Maize,0.3,1200.0,1301.0,1200.0,2012,3
960,2012-04-01,477722.0,Maharashtra,Osmanabad,Maize,0.5,1150.0,2000.0,1436.0,2012,4
995,2012-05-01,490483.0,Maharashtra,Osmanabad,Maize,4.9,1200.0,2183.0,1900.0,2012,5
1038,2012-06-01,504097.0,Maharashtra,Osmanabad,Maize,4.1,1200.0,2111.0,1821.0,2012,6
1066,2012-07-01,515474.0,Maharashtra,Osmanabad,Maize,4.2,1175.0,1800.0,1500.0,2012,7
1103,2012-08-01,526834.0,Maharashtra,Osmanabad,Maize,0.2,1200.0,1701.0,1200.0,2012,8
1143,2012-09-01,537275.0,Maharashtra,Osmanabad,Maize,1.3,1551.0,2200.0,1850.0,2012,9
1180,2012-10-01,548408.0,Maharashtra,Osmanabad,Maize,3.0,1250.0,2150.0,1500.0,2012,10
1225,2012-11-01,559275.0,Maharashtra,Osmanabad,Maize,0.1,1300.0,1300.0,1300.0,2012,11
1262,2012-12-01,568791.0,Maharashtra,Osmanabad,Maize,0.8,1300.0,2081.0,1512.0,2012,12
1285,2013-01-01,578949.0,Maharashtra,Osmanabad,Maize,0.3,1300.0,2400.0,2400.0,2013,1
1303,2013-02-01,588903.0,Maharashtra,Osmanabad,Maize,0.1,2001.0,2001.0,2001.0,2013,2
1324,2013-03-01,597499.0,Maharashtra,Osmanabad,Maize,0.9,1300.0,2051.0,1771.0,2013,3
