,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,1350.0,Maharashtra,Satara,Maize,1.2,1200.0,1300.0,1250.0,2008,1
14,2008-02-01,8848.0,Maharashtra,Satara,Maize,1.0,1250.0,1350.0,1300.0,2008,2
32,2008-03-01,16937.0,Maharashtra,Satara,Maize,0.4,1325.0,1325.0,1325.0,2008,3
51,2008-04-01,25689.0,Maharashtra,Satara,Maize,0.4,1100.0,1100.0,1100.0,2008,4
65,2008-05-01,37949.0,Maharashtra,Satara,Maize,3.0,1200.0,1250.0,1225.0,2008,5
78,2008-06-01,48717.0,Maharashtra,Satara,Maize,270.8,1000.0,1200.0,1100.0,2008,6
100,2008-07-01,57936.0,Maharashtra,Satara,Maize,1.0,1080.0,1105.0,1092.0,2008,7
111,2008-08-01,66066.0,Maharashtra,Satara,Maize,2.5,1300.0,1400.0,1350.0,2008,8
118,2008-09-01,72842.0,Maharashtra,Satara,Maize,1.8,1070.0,1090.0,1080.0,2008,9
127,2008-10-01,78981.0,Maharashtra,Satara,Maize,0.5,1050.0,1050.0,1050.0,2008,10
149,2008-11-01,85367.0,Maharashtra,Satara,Maize,2.5,1000.0,1200.0,1100.0,2008,11
173,2008-12-01,92493.0,Maharashtra,Satara,Maize,1.4,1010.0,1022.0,1016.0,2008,12
193,2009-01-01,99979.0,Maharashtra,Satara,Maize,5.5,1040.0,1351.0,1175.0,2009,1
213,2009-02-01,107651.0,Maharashtra,Satara,Maize,0.5,1100.0,1140.0,1120.0,2009,2
236,2009-03-01,115150.0,Maharashtra,Satara,Maize,285.9,1050.0,1301.0,1150.0,2009,3
263,2009-04-01,122723.0,Maharashtra,Satara,Maize,2.0,1300.0,1400.0,1350.0,2009,4
289,2009-05-01,134527.0,Maharashtra,Satara,Maize,2.0,1300.0,1400.0,1350.0,2009,5
310,2009-06-01,142579.0,Maharashtra,Satara,Maize,1.6,1100.0,1150.0,1125.0,2009,6
336,2009-07-01,149857.0,Maharashtra,Satara,Maize,1.0,1310.0,1410.0,1360.0,2009,7
362,2009-08-01,157549.0,Maharashtra,Satara,Maize,2.5,1350.0,1450.0,1400.0,2009,8
382,2009-09-01,165322.0,Maharashtra,Satara,Maize,5.7,1150.0,1165.0,1158.0,2009,9
415,2009-10-01,174360.0,Maharashtra,Satara,Maize,1.5,1250.0,1300.0,1275.0,2009,10
439,2009-11-01,183941.0,Maharashtra,Satara,Maize,1.5,1200.0,1275.0,1238.0,2009,11
470,2009-12-01,193298.0,Maharashtra,Satara,Maize,12.4,1380.0,1450.0,1415.0,2009,12
508,2010-01-01,202815.0,Maharashtra,Satara,Maize,1.1,1425.0,1445.0,1435.0,2010,1
538,2010-02-01,212485.0,Maharashtra,Satara,Maize,2.2,1290.0,1325.0,1308.0,2010,2
561,2010-03-01,221230.0,Maharashtra,Satara,Maize,1.5,1400.0,1500.0,1450.0,2010,3
581,2010-04-01,230688.0,Maharashtra,Satara,Maize,9.4,1260.0,2001.0,1600.0,2010,4
598,2010-05-01,244861.0,Maharashtra,Satara,Maize,0.8,1355.0,1355.0,1355.0,2010,5
617,2010-06-01,256755.0,Maharashtra,Satara,Maize,1.2,1400.0,1500.0,1450.0,2010,6
638,2010-07-01,267304.0,Maharashtra,Satara,Maize,10.0,1400.0,1500.0,1450.0,2010,7
