,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,189.0,Maharashtra,Yavatmal,Maize,1.5,915.0,915.0,915.0,2008,1
14,2008-02-01,9309.0,Maharashtra,Yavatmal,Maize,0.2,1015.0,1015.0,1015.0,2008,2
48,2008-03-01,16942.0,Maharashtra,Yavatmal,Maize,32.3,1075.0,1171.0,1120.0,2008,3
104,2008-04-01,25370.0,Maharashtra,Yavatmal,Maize,7.5,1000.0,1100.0,1050.0,2008,4
128,2008-05-01,37407.0,Maharashtra,Yavatmal,Maize,0.6,900.0,900.0,900.0,2008,5
188,2008-06-01,48725.0,Maharashtra,Yavatmal,Maize,2.5,850.0,950.0,900.0,2008,6
250,2008-07-01,57293.0,Maharashtra,Yavatmal,Maize,8.0,1044.0,1100.0,1072.0,2008,7
281,2008-08-01,66071.0,Maharashtra,Yavatmal,Maize,3.0,1000.0,1100.0,1050.0,2008,8
291,2008-09-01,75345.0,Maharashtra,Yavatmal,Maize,10.0,1032.0,1057.0,1042.0,2008,9
324,2008-10-01,78988.0,Maharashtra,Yavatmal,Maize,1.8,971.0,976.0,973.0,2008,10
337,2008-11-01,87828.0,Maharashtra,Yavatmal,Maize,1.3,1026.0,1030.0,1028.0,2008,11
341,2008-12-01,92500.0,Maharashtra,Yavatmal,Maize,24.0,1000.0,1100.0,1050.0,2008,12
354,2009-01-01,101926.0,Maharashtra,Yavatmal,Maize,0.5,1000.0,1000.0,1000.0,2009,1
362,2009-02-01,107970.0,Maharashtra,Yavatmal,Maize,1.0,1141.0,1141.0,1141.0,2009,2
381,2009-03-01,115163.0,Maharashtra,Yavatmal,Maize,6.5,1100.0,1213.0,1155.0,2009,3
423,2009-04-01,122729.0,Maharashtra,Yavatmal,Maize,13.0,1000.0,1100.0,1060.0,2009,4
457,2009-05-01,135101.0,Maharashtra,Yavatmal,Maize,6.0,1050.0,1241.0,1145.0,2009,5
493,2009-06-01,142588.0,Maharashtra,Yavatmal,Maize,31.5,1080.0,1395.0,1131.0,2009,6
524,2009-07-01,149862.0,Maharashtra,Yavatmal,Maize,13.0,1135.0,1300.0,1165.0,2009,7
574,2009-08-01,157555.0,Maharashtra,Yavatmal,Maize,10.5,1100.0,1411.0,1230.0,2009,8
611,2009-09-01,165332.0,Maharashtra,Yavatmal,Maize,0.1,1099.0,1099.0,1099.0,2009,9
651,2009-10-01,174368.0,Maharashtra,Yavatmal,Maize,10.0,1100.0,1200.0,1150.0,2009,10
672,2009-11-01,183951.0,Maharashtra,Yavatmal,Maize,16.0,1538.0,1630.0,1551.0,2009,11
703,2009-12-01,193308.0,Maharashtra,Yavatmal,Maize,4.5,1370.0,1621.0,1500.0,2009,12
736,2010-01-01,202824.0,Maharashtra,Yavatmal,Maize,1.5,1382.0,1730.0,1556.0,2010,1
777,2010-02-01,211711.0,Maharashtra,Yavatmal,Maize,9.5,1317.0,1718.0,1526.0,2010,2
795,2010-03-01,221638.0,Maharashtra,Yavatmal,Maize,12.0,1250.0,1350.0,1300.0,2010,3
808,2010-04-01,230696.0,Maharashtra,Yavatmal,Maize,7.0,1200.0,1300.0,1250.0,2010,4
815,2010-05-01,245556.0,Maharashtra,Yavatmal,Maize,1.4,1170.0,1477.0,1250.0,2010,5
833,2010-06-01,257993.0,Maharashtra,Yavatmal,Maize,7.0,1200.0,1300.0,1250.0,2010,6
847,2010-07-01,270272.0,Maharashtra,Yavatmal,Maize,1.5,1205.0,1525.0,1441.0,2010,7
860,2010-08-01,276669.0,Maharashtra,Yavatmal,Maize,7.0,1200.0,1300.0,1250.0,2010,8
886,2010-09-01,286155.0,Maharashtra,Yavatmal,Maize,6.0,1230.0,1386.0,1306.0,2010,9
917,2010-10-01,295802.0,Maharashtra,Yavatmal,Maize,0.5,1300.0,1345.0,1323.0,2010,10
952,2010-11-01,305935.0,Maharashtra,Yavatmal,Maize,5.5,1202.0,1455.0,1348.0,2010,11
964,2010-12-01,314484.0,Maharashtra,Yavatmal,Maize,2.5,1250.0,1608.0,1608.0,2010,12
992,2011-01-01,324870.0,Maharashtra,Yavatmal,Maize,0.4,1328.0,1738.0,1738.0,2011,1
1007,2011-02-01,333854.0,Maharashtra,Yavatmal,Maize,2.5,1100.0,1600.0,1454.0,2011,2
1022,2011-03-01,343206.0,Maharashtra,Yavatmal,Maize,1.2,1266.0,1481.0,1300.0,2011,3
1050,2011-04-01,353115.0,Maharashtra,Yavatmal,Maize,35.0,1150.0,1250.0,1200.0,2011,4
1093,2011-05-01,365952.0,Maharashtra,Yavatmal,Maize,19.0,1150.0,1250.0,1200.0,2011,5
1102,2011-06-01,380976.0,Maharashtra,Yavatmal,Maize,0.3,1150.0,1150.0,1150.0,2011,6
1110,2011-07-01,390308.0,Maharashtra,Yavatmal,Maize,1.5,1100.0,1200.0,1150.0,2011,7
