,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,2307.0,Orissa,Angul,Maize,2.8,1400.0,1700.0,1600.0,2008,1
3,2008-02-01,9020.0,Orissa,Angul,Maize,0.5,1400.0,1700.0,1500.0,2008,2
5,2008-03-01,18111.0,Orissa,Angul,Maize,4.5,1700.0,1900.0,1800.0,2008,3
7,2008-04-01,,Orissa,Angul,Maize,12.273333333333332,1506.6666666666667,1824.4444444444443,1657.7777777777778,2008,4
8,2008-05-01,42461.0,Orissa,Angul,Maize,0.25,1000.0,1400.0,1200.0,2008,5
11,2008-06-01,48488.0,Orissa,Angul,Maize,0.25,1200.0,1400.0,1300.0,2008,6
19,2008-07-01,59613.0,Orissa,Angul,Maize,1.0,1200.0,1600.0,1400.0,2008,7
22,2008-08-01,67492.0,Orissa,Angul,Maize,9.8,1400.0,1800.0,1600.0,2008,8
24,2008-09-01,72411.0,Orissa,Angul,Maize,2.3,1300.0,1600.0,1400.0,2008,9
26,2008-10-01,79341.0,Orissa,Angul,Maize,2.8,1400.0,1800.0,1600.0,2008,10
30,2008-11-01,90933.0,Orissa,Angul,Maize,5.0,1400.0,1800.0,1600.0,2008,11
31,2008-12-01,95007.0,Orissa,Angul,Maize,0.1,1200.0,1500.0,1300.0,2008,12
34,2009-01-01,,Orissa,Angul,Maize,12.273333333333332,1506.6666666666667,1824.4444444444443,1657.7777777777778,2009,1
35,2009-02-01,108285.0,Orissa,Angul,Maize,0.3,1000.0,1200.0,1100.0,2009,2
38,2009-03-01,117301.0,Orissa,Angul,Maize,0.5,1400.0,1700.0,1500.0,2009,3
40,2009-04-01,123294.0,Orissa,Angul,Maize,2.2,1400.0,1800.0,1600.0,2009,4
50,2009-05-01,134105.0,Orissa,Angul,Maize,12.0,1400.0,1600.0,1500.0,2009,5
62,2009-06-01,143693.0,Orissa,Angul,Maize,18.0,1400.0,1600.0,1500.0,2009,6
73,2009-07-01,150385.0,Orissa,Angul,Maize,28.0,1500.0,2000.0,1800.0,2009,7
80,2009-08-01,158655.0,Orissa,Angul,Maize,67.0,1100.0,1600.0,1400.0,2009,8
86,2009-09-01,165336.0,Orissa,Angul,Maize,44.0,1500.0,1800.0,1600.0,2009,9
91,2009-10-01,174568.0,Orissa,Angul,Maize,37.0,1500.0,1800.0,1600.0,2009,10
95,2009-11-01,,Orissa,Angul,Maize,12.273333333333332,1506.6666666666667,1824.4444444444443,1657.7777777777778,2009,11
96,2009-12-01,195689.0,Orissa,Angul,Maize,40.0,1500.0,1800.0,1600.0,2009,12
103,2010-01-01,203199.0,Orissa,Angul,Maize,78.0,1500.0,1800.0,1600.0,2010,1
112,2010-02-01,212100.0,Orissa,Angul,Maize,22.0,1500.0,1800.0,1600.0,2010,2
120,2010-03-01,220896.0,Orissa,Angul,Maize,25.0,1400.0,1800.0,1600.0,2010,3
130,2010-04-01,230699.0,Orissa,Angul,Maize,30.0,1400.0,1800.0,1600.0,2010,4
131,2010-05-01,,Orissa,Angul,Maize,12.273333333333332,1506.6666666666667,1824.4444444444443,1657.7777777777778,2010,5
132,2010-06-01,,Orissa,Angul,Maize,12.273333333333332,1506.6666666666667,1824.4444444444443,1657.7777777777778,2010,6
133,2010-07-01,,Orissa,Angul,Maize,12.273333333333332,1506.6666666666667,1824.4444444444443,1657.7777777777778,2010,7
134,2010-08-01,,Orissa,Angul,Maize,12.273333333333332,1506.6666666666667,1824.4444444444443,1657.7777777777778,2010,8
135,2010-09-01,,Orissa,Angul,Maize,12.273333333333332,1506.6666666666667,1824.4444444444443,1657.7777777777778,2010,9
136,2010-10-01,,Orissa,Angul,Maize,12.273333333333332,1506.6666666666667,1824.4444444444443,1657.7777777777778,2010,10
137,2010-11-01,,Orissa,Angul,Maize,12.273333333333332,1506.6666666666667,1824.4444444444443,1657.7777777777778,2010,11
138,2010-12-01,,Orissa,Angul,Maize,12.273333333333332,1506.6666666666667,1824.4444444444443,1657.7777777777778,2010,12
139,2011-01-01,,Orissa,Angul,Maize,12.273333333333332,1506.6666666666667,1824.4444444444443,1657.7777777777778,2011,1
140,2011-02-01,334214.0,Orissa,Angul,Maize,22.0,1500.0,1800.0,1600.0,2011,2
151,2011-03-01,343210.0,Orissa,Angul,Maize,20.0,1600.0,2000.0,1800.0,2011,3
162,2011-04-01,353644.0,Orissa,Angul,Maize,3.5,1600.0,2000.0,1800.0,2011,4
167,2011-05-01,367036.0,Orissa,Angul,Maize,3.2,1600.0,2000.0,1800.0,2011,5
173,2011-06-01,379601.0,Orissa,Angul,Maize,1.5,1600.0,2000.0,1800.0,2011,6
181,2011-07-01,389893.0,Orissa,Angul,Maize,3.0,1600.0,2000.0,1800.0,2011,7
187,2011-08-01,401500.0,Orissa,Angul,Maize,3.5,1600.0,2000.0,1800.0,2011,8
192,2011-09-01,411260.0,Orissa,Angul,Maize,3.0,1600.0,2000.0,1800.0,2011,9
195,2011-10-01,422579.0,Orissa,Angul,Maize,1.5,1600.0,2000.0,1800.0,2011,10
199,2011-11-01,,Orissa,Angul,Maize,12.273333333333332,1506.6666666666667,1824.4444444444443,1657.7777777777778,2011,11
200,2011-12-01,,Orissa,Angul,Maize,12.273333333333332,1506.6666666666667,1824.4444444444443,1657.7777777777778,2011,12
201,2012-01-01,453348.0,Orissa,Angul,Maize,1.5,1600.0,2000.0,1800.0,2012,1
204,2012-02-01,460251.0,Orissa,Angul,Maize,1.5,1800.0,2000.0,1900.0,2012,2
206,2012-03-01,471269.0,Orissa,Angul,Maize,1.5,1800.0,2000.0,1900.0,2012,3
208,2012-04-01,477476.0,Orissa,Angul,Maize,1.5,1600.0,2000.0,1800.0,2012,4
