,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2008,1
1,2008-02-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2008,2
2,2008-03-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2008,3
3,2008-04-01,30470.0,Orissa,Sundergarh,Maize,11.0,1200.0,1600.0,1500.0,2008,4
7,2008-05-01,40064.0,Orissa,Sundergarh,Maize,17.35,1100.0,1400.0,1200.0,2008,5
13,2008-06-01,49732.0,Orissa,Sundergarh,Maize,9.0,1100.0,1500.0,1200.0,2008,6
22,2008-07-01,57298.0,Orissa,Sundergarh,Maize,19.55,1000.0,1400.0,1200.0,2008,7
26,2008-08-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2008,8
27,2008-09-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2008,9
28,2008-10-01,81929.0,Orissa,Sundergarh,Maize,50.0,1200.0,1450.0,1300.0,2008,10
29,2008-11-01,87831.0,Orissa,Sundergarh,Maize,6.0,800.0,1200.0,1000.0,2008,11
33,2008-12-01,92504.0,Orissa,Sundergarh,Maize,21.7,1200.0,1400.0,1300.0,2008,12
42,2009-01-01,100734.0,Orissa,Sundergarh,Maize,12.0,1200.0,1800.0,1600.0,2009,1
44,2009-02-01,109377.0,Orissa,Sundergarh,Maize,22.0,1200.0,1400.0,1300.0,2009,2
48,2009-03-01,118097.0,Orissa,Sundergarh,Maize,13.5,1100.0,1400.0,1200.0,2009,3
54,2009-04-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2009,4
55,2009-05-01,139015.0,Orissa,Sundergarh,Maize,17.0,1250.0,1500.0,1400.0,2009,5
57,2009-06-01,142865.0,Orissa,Sundergarh,Maize,14.0,1150.0,1400.0,1300.0,2009,6
58,2009-07-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2009,7
59,2009-08-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2009,8
60,2009-09-01,166756.0,Orissa,Sundergarh,Maize,4.0,1200.0,1500.0,1400.0,2009,9
62,2009-10-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2009,10
63,2009-11-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2009,11
64,2009-12-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2009,12
65,2010-01-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2010,1
66,2010-02-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2010,2
67,2010-03-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2010,3
68,2010-04-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2010,4
69,2010-05-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2010,5
70,2010-06-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2010,6
71,2010-07-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2010,7
72,2010-08-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2010,8
73,2010-09-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2010,9
74,2010-10-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2010,10
75,2010-11-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2010,11
76,2010-12-01,314876.0,Orissa,Sundergarh,Maize,50.0,1400.0,1600.0,1500.0,2010,12
85,2011-01-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2011,1
86,2011-02-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2011,2
87,2011-03-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2011,3
88,2011-04-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2011,4
89,2011-05-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2011,5
90,2011-06-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2011,6
91,2011-07-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2011,7
92,2011-08-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2011,8
93,2011-09-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2011,9
94,2011-10-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2011,10
95,2011-11-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2011,11
96,2011-12-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2011,12
97,2012-01-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2012,1
98,2012-02-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2012,2
99,2012-03-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2012,3
100,2012-04-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2012,4
101,2012-05-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2012,5
102,2012-06-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2012,6
103,2012-07-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2012,7
104,2012-08-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2012,8
105,2012-09-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2012,9
106,2012-10-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2012,10
107,2012-11-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2012,11
108,2012-12-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2012,12
109,2013-01-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2013,1
110,2013-02-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2013,2
111,2013-03-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2013,3
112,2013-04-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2013,4
113,2013-05-01,,Orissa,Sundergarh,Maize,8.59756097560976,1375.0,1608.5365853658536,1450.0,2013,5
