,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2008,1
1,2008-02-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2008,2
2,2008-03-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2008,3
3,2008-04-01,28680.0,Punjab,Ferozpur,Maize,110.0,1000.0,1005.0,1000.0,2008,4
61,2008-05-01,36912.0,Punjab,Ferozpur,Maize,16700.0,1000.0,1000.0,1000.0,2008,5
104,2008-06-01,49737.0,Punjab,Ferozpur,Maize,170.5,1000.0,1000.0,1000.0,2008,6
107,2008-07-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2008,7
108,2008-08-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2008,8
109,2008-09-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2008,9
110,2008-10-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2008,10
111,2008-11-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2008,11
112,2008-12-01,96788.0,Punjab,Ferozpur,Maize,0.85,990.0,995.0,995.0,2008,12
118,2009-01-01,99993.0,Punjab,Ferozpur,Maize,1.05,935.0,965.0,950.0,2009,1
132,2009-02-01,107974.0,Punjab,Ferozpur,Maize,0.45,1015.0,1015.0,1015.0,2009,2
141,2009-03-01,115168.0,Punjab,Ferozpur,Maize,1.2,1015.0,1020.0,0.0,2009,3
153,2009-04-01,122733.0,Punjab,Ferozpur,Maize,1.85,1000.0,1020.0,1020.0,2009,4
239,2009-05-01,134122.0,Punjab,Ferozpur,Maize,795.0,1080.0,1080.0,1080.0,2009,5
267,2009-06-01,146049.0,Punjab,Ferozpur,Maize,1.2,1020.0,1020.0,1020.0,2009,6
268,2009-07-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2009,7
269,2009-08-01,163276.0,Punjab,Ferozpur,Maize,2.4,1020.0,1020.0,1020.0,2009,8
270,2009-09-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2009,9
271,2009-10-01,174373.0,Punjab,Ferozpur,Maize,2.2,1080.0,1090.0,1085.0,2009,10
274,2009-11-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2009,11
275,2009-12-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2009,12
276,2010-01-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2010,1
277,2010-02-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2010,2
278,2010-03-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2010,3
279,2010-04-01,232975.0,Punjab,Ferozpur,Maize,80.0,1100.0,1100.0,1100.0,2010,4
363,2010-05-01,244893.0,Punjab,Ferozpur,Maize,8112.0,1100.0,1100.0,1100.0,2010,5
382,2010-06-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2010,6
383,2010-07-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2010,7
384,2010-08-01,283433.0,Punjab,Ferozpur,Maize,0.9,1100.0,1100.0,1100.0,2010,8
385,2010-09-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2010,9
386,2010-10-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2010,10
387,2010-11-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2010,11
388,2010-12-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2010,12
389,2011-01-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2011,1
390,2011-02-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2011,2
391,2011-03-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2011,3
392,2011-04-01,358003.0,Punjab,Ferozpur,Maize,230.0,1120.0,1120.0,1120.0,2011,4
468,2011-05-01,365549.0,Punjab,Ferozpur,Maize,2200.0,1120.0,1120.0,1120.0,2011,5
526,2011-06-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2011,6
527,2011-07-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2011,7
528,2011-08-01,401933.0,Punjab,Ferozpur,Maize,0.65,1058.0,1061.0,1059.0,2011,8
531,2011-09-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2011,9
532,2011-10-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2011,10
533,2011-11-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2011,11
534,2011-12-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2011,12
535,2012-01-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2012,1
536,2012-02-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2012,2
537,2012-03-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2012,3
538,2012-04-01,483146.0,Punjab,Ferozpur,Maize,200.0,1285.0,1285.0,1285.0,2012,4
582,2012-05-01,489957.0,Punjab,Ferozpur,Maize,35600.0,1285.0,1285.0,1285.0,2012,5
643,2012-06-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2012,6
644,2012-07-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2012,7
645,2012-08-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2012,8
646,2012-09-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2012,9
647,2012-10-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2012,10
648,2012-11-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2012,11
649,2012-12-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2012,12
650,2013-01-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2013,1
651,2013-02-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2013,2
652,2013-03-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2013,3
653,2013-04-01,612498.0,Punjab,Ferozpur,Maize,200.0,1350.0,1350.0,1350.0,2013,4
728,2013-05-01,620301.0,Punjab,Ferozpur,Maize,918.0,1350.0,1350.0,1350.0,2013,5
771,2013-06-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2013,6
772,2013-07-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2013,7
773,2013-08-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2013,8
774,2013-09-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2013,9
775,2013-10-01,676138.0,Punjab,Ferozpur,Maize,300.0,1349.0,1351.0,1350.0,2013,10
776,2013-11-01,686318.0,Punjab,Ferozpur,Maize,200.0,1600.0,4000.0,3400.0,2013,11
777,2013-12-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2013,12
778,2014-01-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2014,1
779,2014-02-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2014,2
780,2014-03-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2014,3
781,2014-04-01,737658.0,Punjab,Ferozpur,Maize,120.0,1405.0,1405.0,1405.0,2014,4
817,2014-05-01,744208.0,Punjab,Ferozpur,Maize,700.0,1400.0,1400.0,1400.0,2014,5
879,2014-06-01,758221.0,Punjab,Ferozpur,Maize,16.0,1400.0,1400.0,1400.0,2014,6
880,2014-07-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2014,7
881,2014-08-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2014,8
882,2014-09-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2014,9
883,2014-10-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2014,10
884,2014-11-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2014,11
885,2014-12-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2014,12
886,2015-01-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2015,1
887,2015-02-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2015,2
888,2015-03-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2015,3
889,2015-04-01,876089.0,Punjab,Ferozpur,Maize,1280.0,1450.0,1450.0,1450.0,2015,4
925,2015-05-01,881213.0,Punjab,Ferozpur,Maize,1200.0,1450.0,1450.0,1450.0,2015,5
973,2015-06-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2015,6
974,2015-07-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2015,7
975,2015-08-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2015,8
976,2015-09-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2015,9
977,2015-10-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2015,10
978,2015-11-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2015,11
979,2015-12-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2015,12
980,2016-01-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2016,1
981,2016-02-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2016,2
982,2016-03-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2016,3
983,2016-04-01,1011034.0,Punjab,Ferozpur,Maize,40.0,1525.0,1530.0,1525.0,2016,4
1050,2016-05-01,1020550.0,Punjab,Ferozpur,Maize,228.0,1525.0,1525.0,1525.0,2016,5
1077,2016-06-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2016,6
1078,2016-07-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2016,7
1079,2016-08-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2016,8
1080,2016-09-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2016,9
1081,2016-10-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2016,10
1082,2016-11-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2016,11
1083,2016-12-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2016,12
1084,2017-01-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2017,1
1085,2017-02-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2017,2
1086,2017-03-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2017,3
1087,2017-04-01,1148553.0,Punjab,Ferozpur,Maize,10.0,1630.0,1630.0,1630.0,2017,4
1203,2017-05-01,1159836.0,Punjab,Ferozpur,Maize,1880.0,1625.0,1625.0,1625.0,2017,5
1227,2017-06-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2017,6
1228,2017-07-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2017,7
1229,2017-08-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2017,8
1230,2017-09-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2017,9
1231,2017-10-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2017,10
1232,2017-11-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2017,11
1233,2017-12-01,,Punjab,Ferozpur,Maize,2160.6742424242425,1223.6969696969697,1299.0,1248.909090909091,2017,12
