,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,5660.0,Punjab,Jalandhar,Maize,10.5,980.0,980.0,980.0,2008,1
6,2008-02-01,8492.0,Punjab,Jalandhar,Maize,48.1,955.0,955.0,955.0,2008,2
10,2008-03-01,19303.0,Punjab,Jalandhar,Maize,35.5,1007.0,1007.0,1007.0,2008,3
12,2008-04-01,26760.0,Punjab,Jalandhar,Maize,35.5,1005.0,1005.0,1005.0,2008,4
189,2008-05-01,36921.0,Punjab,Jalandhar,Maize,2125.5,1000.0,1000.0,1000.0,2008,5
298,2008-06-01,48489.0,Punjab,Jalandhar,Maize,99.0,1000.0,1000.0,1000.0,2008,6
301,2008-07-01,61066.0,Punjab,Jalandhar,Maize,33.3,1005.0,1005.0,1005.0,2008,7
308,2008-08-01,66408.0,Punjab,Jalandhar,Maize,3.5,1005.0,1005.0,1005.0,2008,8
313,2008-09-01,73115.0,Punjab,Jalandhar,Maize,27.9,1005.0,1005.0,1005.0,2008,9
321,2008-10-01,80739.0,Punjab,Jalandhar,Maize,18.8,880.0,880.0,880.0,2008,10
322,2008-11-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2008,11
323,2008-12-01,94077.0,Punjab,Jalandhar,Maize,7.5,1050.0,1050.0,1050.0,2008,12
331,2009-01-01,103033.0,Punjab,Jalandhar,Maize,2.5,1005.0,1005.0,1005.0,2009,1
333,2009-02-01,107669.0,Punjab,Jalandhar,Maize,33.5,1026.0,1026.0,1026.0,2009,2
337,2009-03-01,118501.0,Punjab,Jalandhar,Maize,30.0,1010.0,1020.0,1015.0,2009,3
339,2009-04-01,124535.0,Punjab,Jalandhar,Maize,112.5,1080.0,1080.0,1080.0,2009,4
531,2009-05-01,134129.0,Punjab,Jalandhar,Maize,285.9,1080.0,1080.0,1080.0,2009,5
573,2009-06-01,143140.0,Punjab,Jalandhar,Maize,0.1,900.0,900.0,900.0,2009,6
575,2009-07-01,150388.0,Punjab,Jalandhar,Maize,79.0,1085.0,1085.0,1085.0,2009,7
576,2009-08-01,159390.0,Punjab,Jalandhar,Maize,40.5,1085.0,1085.0,1085.0,2009,8
580,2009-09-01,167796.0,Punjab,Jalandhar,Maize,51.0,1082.0,1082.0,1082.0,2009,9
584,2009-10-01,174374.0,Punjab,Jalandhar,Maize,4.7,1150.0,1181.0,1173.0,2009,10
591,2009-11-01,183409.0,Punjab,Jalandhar,Maize,135.9,980.0,980.0,980.0,2009,11
599,2009-12-01,200969.0,Punjab,Jalandhar,Maize,9.2,1200.0,1200.0,1200.0,2009,12
601,2010-01-01,210628.0,Punjab,Jalandhar,Maize,24.7,1100.0,1300.0,1200.0,2010,1
602,2010-02-01,215302.0,Punjab,Jalandhar,Maize,2.5,1300.0,1300.0,1300.0,2010,2
604,2010-03-01,225711.0,Punjab,Jalandhar,Maize,50.4,1200.0,1200.0,1200.0,2010,3
605,2010-04-01,232461.0,Punjab,Jalandhar,Maize,3.0,1100.0,1100.0,1100.0,2010,4
832,2010-05-01,244903.0,Punjab,Jalandhar,Maize,620.6,1100.0,1100.0,1100.0,2010,5
861,2010-06-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2010,6
862,2010-07-01,266592.0,Punjab,Jalandhar,Maize,230.0,1145.0,1465.0,1225.0,2010,7
871,2010-08-01,285044.0,Punjab,Jalandhar,Maize,10.0,1100.0,1105.0,1105.0,2010,8
872,2010-09-01,290300.0,Punjab,Jalandhar,Maize,32.9,850.0,950.0,900.0,2010,9
873,2010-10-01,297367.0,Punjab,Jalandhar,Maize,200.2,1030.0,1030.0,1030.0,2010,10
877,2010-11-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2010,11
878,2010-12-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2010,12
879,2011-01-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2011,1
880,2011-02-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2011,2
881,2011-03-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2011,3
882,2011-04-01,357206.0,Punjab,Jalandhar,Maize,10.0,1120.0,1125.0,1120.0,2011,4
1051,2011-05-01,365558.0,Punjab,Jalandhar,Maize,2525.3,1120.0,1120.0,1120.0,2011,5
1144,2011-06-01,378769.0,Punjab,Jalandhar,Maize,45075.5,1120.0,1120.0,1120.0,2011,6
1160,2011-07-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2011,7
1161,2011-08-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2011,8
1162,2011-09-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2011,9
1163,2011-10-01,426002.0,Punjab,Jalandhar,Maize,1702.4,1110.0,1110.0,1110.0,2011,10
1164,2011-11-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2011,11
1165,2011-12-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2011,12
1166,2012-01-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2012,1
1167,2012-02-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2012,2
1168,2012-03-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2012,3
1169,2012-04-01,481655.0,Punjab,Jalandhar,Maize,2.5,1285.0,1285.0,1285.0,2012,4
1300,2012-05-01,489967.0,Punjab,Jalandhar,Maize,2797.8,1285.0,1290.0,1285.0,2012,5
1400,2012-06-01,514203.0,Punjab,Jalandhar,Maize,11.9,2100.0,2905.0,2500.0,2012,6
1401,2012-07-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2012,7
1402,2012-08-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2012,8
1403,2012-09-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2012,9
1404,2012-10-01,552301.0,Punjab,Jalandhar,Maize,28.5,1280.0,1280.0,1280.0,2012,10
1405,2012-11-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2012,11
1406,2012-12-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2012,12
1407,2013-01-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2013,1
1408,2013-02-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2013,2
1409,2013-03-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2013,3
1410,2013-04-01,611381.0,Punjab,Jalandhar,Maize,10.0,1360.0,1360.0,1360.0,2013,4
1561,2013-05-01,620311.0,Punjab,Jalandhar,Maize,273.3,1350.0,1400.0,1350.0,2013,5
1625,2013-06-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2013,6
1626,2013-07-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2013,7
1627,2013-08-01,,Punjab,Jalandhar,Maize,1170.496153846154,1210.1153846153845,1241.4615384615386,1223.6153846153845,2013,8
