,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2008,1
1,2008-02-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2008,2
2,2008-03-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2008,3
3,2008-04-01,32626.0,Punjab,Pathankot,Maize,45.0,1000.0,1000.0,1000.0,2008,4
11,2008-05-01,36967.0,Punjab,Pathankot,Maize,75.0,1000.0,1000.0,1000.0,2008,5
35,2008-06-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2008,6
36,2008-07-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2008,7
37,2008-08-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2008,8
38,2008-09-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2008,9
39,2008-10-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2008,10
40,2008-11-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2008,11
41,2008-12-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2008,12
42,2009-01-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2009,1
43,2009-02-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2009,2
44,2009-03-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2009,3
45,2009-04-01,126898.0,Punjab,Pathankot,Maize,521.0,1080.0,1080.0,1080.0,2009,4
64,2009-05-01,134157.0,Punjab,Pathankot,Maize,8005.0,1080.0,1080.0,1080.0,2009,5
71,2009-06-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2009,6
72,2009-07-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2009,7
73,2009-08-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2009,8
74,2009-09-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2009,9
75,2009-10-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2009,10
76,2009-11-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2009,11
77,2009-12-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2009,12
78,2010-01-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2010,1
79,2010-02-01,220236.0,Punjab,Pathankot,Maize,10.0,1000.0,1000.0,1000.0,2010,2
80,2010-03-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2010,3
81,2010-04-01,236941.0,Punjab,Pathankot,Maize,2945.0,1100.0,1100.0,1100.0,2010,4
97,2010-05-01,245619.0,Punjab,Pathankot,Maize,463.0,1100.0,1100.0,1100.0,2010,5
103,2010-06-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2010,6
104,2010-07-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2010,7
105,2010-08-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2010,8
106,2010-09-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2010,9
107,2010-10-01,297683.0,Punjab,Pathankot,Maize,16.0,1290.0,1290.0,1290.0,2010,10
108,2010-11-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2010,11
109,2010-12-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2010,12
110,2011-01-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2011,1
111,2011-02-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2011,2
112,2011-03-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2011,3
113,2011-04-01,360183.0,Punjab,Pathankot,Maize,102.0,1120.0,1120.0,1120.0,2011,4
122,2011-05-01,366030.0,Punjab,Pathankot,Maize,10741.0,1120.0,1120.0,1120.0,2011,5
128,2011-06-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2011,6
129,2011-07-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2011,7
130,2011-08-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2011,8
131,2011-09-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2011,9
132,2011-10-01,426989.0,Punjab,Pathankot,Maize,7343.0,1400.0,1435.0,0.0,2011,10
133,2011-11-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2011,11
134,2011-12-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2011,12
135,2012-01-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2012,1
136,2012-02-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2012,2
137,2012-03-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2012,3
138,2012-04-01,487672.0,Punjab,Pathankot,Maize,845.0,1285.0,1285.0,1285.0,2012,4
141,2012-05-01,491136.0,Punjab,Pathankot,Maize,2538.0,1285.0,1285.0,1285.0,2012,5
155,2012-06-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2012,6
156,2012-07-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2012,7
157,2012-08-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2012,8
158,2012-09-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2012,9
159,2012-10-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2012,10
160,2012-11-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2012,11
161,2012-12-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2012,12
162,2013-01-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2013,1
163,2013-02-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2013,2
164,2013-03-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2013,3
165,2013-04-01,615487.0,Punjab,Pathankot,Maize,773.0,1350.0,1350.0,1350.0,2013,4
171,2013-05-01,620354.0,Punjab,Pathankot,Maize,3000.0,1350.0,1350.0,1350.0,2013,5
173,2013-06-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2013,6
174,2013-07-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2013,7
175,2013-08-01,,Punjab,Pathankot,Maize,1677.5833333333333,1344.1666666666667,1347.5,1286.875,2013,8
