,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2008,1
1,2008-02-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2008,2
2,2008-03-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2008,3
3,2008-04-01,30001.0,Punjab,kapurthala,Maize,85.1,1000.0,1000.0,1000.0,2008,4
36,2008-05-01,36933.0,Punjab,kapurthala,Maize,4696.0,1000.0,1005.0,1000.0,2008,5
71,2008-06-01,48735.0,Punjab,kapurthala,Maize,120.0,1000.0,1000.0,1000.0,2008,6
74,2008-07-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2008,7
75,2008-08-01,71353.0,Punjab,kapurthala,Maize,1.0,1000.0,1000.0,1000.0,2008,8
76,2008-09-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2008,9
77,2008-10-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2008,10
78,2008-11-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2008,11
79,2008-12-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2008,12
80,2009-01-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2009,1
81,2009-02-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2009,2
82,2009-03-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2009,3
83,2009-04-01,124536.0,Punjab,kapurthala,Maize,41.0,1080.0,1080.0,1080.0,2009,4
139,2009-05-01,134137.0,Punjab,kapurthala,Maize,427.0,1080.0,1080.0,1080.0,2009,5
163,2009-06-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2009,6
164,2009-07-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2009,7
165,2009-08-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2009,8
166,2009-09-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2009,9
167,2009-10-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2009,10
168,2009-11-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2009,11
169,2009-12-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2009,12
170,2010-01-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2010,1
171,2010-02-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2010,2
172,2010-03-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2010,3
173,2010-04-01,233485.0,Punjab,kapurthala,Maize,26.0,1100.0,1100.0,1100.0,2010,4
236,2010-05-01,244908.0,Punjab,kapurthala,Maize,180.0,1100.0,1100.0,1100.0,2010,5
254,2010-06-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2010,6
255,2010-07-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2010,7
256,2010-08-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2010,8
257,2010-09-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2010,9
258,2010-10-01,297682.0,Punjab,kapurthala,Maize,1220.0,1030.0,1030.0,1030.0,2010,10
263,2010-11-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2010,11
264,2010-12-01,,Punjab,kapurthala,Maize,642.469696969697,1253.939393939394,1267.878787878788,1263.1818181818182,2010,12
