,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,196.0,Rajasthan,Ajmer,Maize,1.9,950.0,1100.0,1090.0,2008,1
55,2008-02-01,8498.0,Rajasthan,Ajmer,Maize,0.9,980.0,1060.0,1020.0,2008,2
103,2008-03-01,16947.0,Rajasthan,Ajmer,Maize,0.3,1000.0,1100.0,1040.0,2008,3
162,2008-04-01,25055.0,Rajasthan,Ajmer,Maize,0.5,1050.0,1150.0,1100.0,2008,4
232,2008-05-01,36989.0,Rajasthan,Ajmer,Maize,135.3,1050.0,1250.0,1150.0,2008,5
303,2008-06-01,48744.0,Rajasthan,Ajmer,Maize,130.9,1140.0,1300.0,1200.0,2008,6
347,2008-07-01,57303.0,Rajasthan,Ajmer,Maize,5.0,950.0,1000.0,980.0,2008,7
398,2008-08-01,65811.0,Rajasthan,Ajmer,Maize,10.1,910.0,1150.0,1110.0,2008,8
420,2008-09-01,72135.0,Rajasthan,Ajmer,Maize,52.8,1082.0,1154.0,1123.0,2008,9
467,2008-10-01,78991.0,Rajasthan,Ajmer,Maize,34.9,1150.0,1500.0,1350.0,2008,10
491,2008-11-01,85376.0,Rajasthan,Ajmer,Maize,0.3,841.0,911.0,900.0,2008,11
518,2008-12-01,92510.0,Rajasthan,Ajmer,Maize,16.0,1175.0,1631.0,1326.0,2008,12
555,2009-01-01,100301.0,Rajasthan,Ajmer,Maize,1.7,1020.0,1025.0,1025.0,2009,1
584,2009-02-01,107674.0,Rajasthan,Ajmer,Maize,18.4,1201.0,1700.0,1400.0,2009,2
610,2009-03-01,115501.0,Rajasthan,Ajmer,Maize,6.1,1405.0,1715.0,1610.0,2009,3
645,2009-04-01,122737.0,Rajasthan,Ajmer,Maize,10.0,1291.0,1509.0,1410.0,2009,4
677,2009-05-01,134171.0,Rajasthan,Ajmer,Maize,5.0,1362.0,1685.0,1581.0,2009,5
705,2009-06-01,142604.0,Rajasthan,Ajmer,Maize,113.1,1200.0,1941.0,1500.0,2009,6
746,2009-07-01,149866.0,Rajasthan,Ajmer,Maize,162.0,1500.0,2050.0,1905.0,2009,7
776,2009-08-01,157562.0,Rajasthan,Ajmer,Maize,9.0,1700.0,1795.0,1740.0,2009,8
800,2009-09-01,165337.0,Rajasthan,Ajmer,Maize,11.2,1781.0,1825.0,1800.0,2009,9
817,2009-10-01,174378.0,Rajasthan,Ajmer,Maize,12.6,1250.0,1771.0,1515.0,2009,10
836,2009-11-01,183578.0,Rajasthan,Ajmer,Maize,64.1,1450.0,1550.0,1500.0,2009,11
858,2009-12-01,193318.0,Rajasthan,Ajmer,Maize,10.0,1510.0,1975.0,1671.0,2009,12
880,2010-01-01,202831.0,Rajasthan,Ajmer,Maize,7.5,1550.0,2050.0,1850.0,2010,1
899,2010-02-01,211718.0,Rajasthan,Ajmer,Maize,0.2,1360.0,1360.0,1360.0,2010,2
919,2010-03-01,220899.0,Rajasthan,Ajmer,Maize,19.5,1600.0,2050.0,1800.0,2010,3
952,2010-04-01,230703.0,Rajasthan,Ajmer,Maize,88.2,1350.0,1800.0,1450.0,2010,4
987,2010-05-01,245636.0,Rajasthan,Ajmer,Maize,227.7,1400.0,2122.0,1700.0,2010,5
1010,2010-06-01,256367.0,Rajasthan,Ajmer,Maize,2.5,1475.0,1625.0,1575.0,2010,6
1035,2010-07-01,266594.0,Rajasthan,Ajmer,Maize,31.6,1331.0,1491.0,1421.0,2010,7
1084,2010-08-01,277047.0,Rajasthan,Ajmer,Maize,3.6,1200.0,1310.0,1287.0,2010,8
1103,2010-09-01,286159.0,Rajasthan,Ajmer,Maize,0.5,1111.0,1111.0,1111.0,2010,9
1125,2010-10-01,295810.0,Rajasthan,Ajmer,Maize,42.1,1340.0,1700.0,1400.0,2010,10
1165,2010-11-01,305938.0,Rajasthan,Ajmer,Maize,20.1,1300.0,1645.0,1409.0,2010,11
1198,2010-12-01,314488.0,Rajasthan,Ajmer,Maize,0.9,1070.0,1100.0,1085.0,2010,12
1231,2011-01-01,324039.0,Rajasthan,Ajmer,Maize,17.0,1515.0,1775.0,1671.0,2011,1
