,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,198.0,Rajasthan,Alwar,Maize,12.3,931.0,961.0,955.0,2008,1
66,2008-02-01,8500.0,Rajasthan,Alwar,Maize,27.6,1000.0,1030.0,1010.0,2008,2
127,2008-03-01,16948.0,Rajasthan,Alwar,Maize,38.5,1030.0,1054.0,1053.0,2008,3
193,2008-04-01,25056.0,Rajasthan,Alwar,Maize,21.6,980.0,1001.0,990.0,2008,4
263,2008-05-01,36992.0,Rajasthan,Alwar,Maize,443.8,970.0,1021.0,1000.0,2008,5
338,2008-06-01,48746.0,Rajasthan,Alwar,Maize,114.2,1005.0,1070.0,1050.0,2008,6
385,2008-07-01,57304.0,Rajasthan,Alwar,Maize,80.1,985.0,1000.0,1000.0,2008,7
440,2008-08-01,65812.0,Rajasthan,Alwar,Maize,14.2,990.0,1000.0,1000.0,2008,8
489,2008-09-01,72138.0,Rajasthan,Alwar,Maize,74.3,925.0,965.0,955.0,2008,9
533,2008-10-01,78992.0,Rajasthan,Alwar,Maize,37.5,975.0,985.0,980.0,2008,10
583,2008-11-01,85377.0,Rajasthan,Alwar,Maize,19.1,960.0,980.0,970.0,2008,11
623,2008-12-01,92512.0,Rajasthan,Alwar,Maize,36.6,1020.0,1045.0,1025.0,2008,12
672,2009-01-01,99996.0,Rajasthan,Alwar,Maize,16.6,1043.0,1062.0,1055.0,2009,1
731,2009-02-01,107675.0,Rajasthan,Alwar,Maize,14.9,1071.0,1121.0,1100.0,2009,2
799,2009-03-01,115173.0,Rajasthan,Alwar,Maize,10.5,1000.0,1100.0,1050.0,2009,3
868,2009-04-01,122739.0,Rajasthan,Alwar,Maize,206.0,1000.0,1090.0,1040.0,2009,4
938,2009-05-01,134172.0,Rajasthan,Alwar,Maize,318.0,1040.0,1100.0,1080.0,2009,5
1003,2009-06-01,142605.0,Rajasthan,Alwar,Maize,271.7,1047.0,1070.0,1053.0,2009,6
1081,2009-07-01,149867.0,Rajasthan,Alwar,Maize,37.3,1030.0,1060.0,1035.0,2009,7
1148,2009-08-01,157563.0,Rajasthan,Alwar,Maize,63.6,1025.0,1090.0,1050.0,2009,8
1215,2009-09-01,165338.0,Rajasthan,Alwar,Maize,43.1,1050.0,1140.0,1120.0,2009,9
1287,2009-10-01,174379.0,Rajasthan,Alwar,Maize,45.5,1100.0,1170.0,1140.0,2009,10
1361,2009-11-01,183411.0,Rajasthan,Alwar,Maize,4.0,1330.0,1410.0,1360.0,2009,11
1419,2009-12-01,193319.0,Rajasthan,Alwar,Maize,24.2,1300.0,1355.0,1330.0,2009,12
1460,2010-01-01,202832.0,Rajasthan,Alwar,Maize,46.9,1300.0,1330.0,1310.0,2010,1
1507,2010-02-01,211719.0,Rajasthan,Alwar,Maize,12.9,1315.0,1360.0,1350.0,2010,2
1529,2010-03-01,222915.0,Rajasthan,Alwar,Maize,29.4,1100.0,1190.0,1160.0,2010,3
1539,2010-04-01,230707.0,Rajasthan,Alwar,Maize,289.0,1050.0,1121.0,1085.0,2010,4
1585,2010-05-01,244943.0,Rajasthan,Alwar,Maize,347.2,1050.0,1135.0,1105.0,2010,5
1633,2010-06-01,256368.0,Rajasthan,Alwar,Maize,113.0,1115.0,1180.0,1145.0,2010,6
1701,2010-07-01,266598.0,Rajasthan,Alwar,Maize,57.9,1110.0,1155.0,1125.0,2010,7
1757,2010-08-01,276402.0,Rajasthan,Alwar,Maize,59.4,1120.0,1160.0,1140.0,2010,8
1825,2010-09-01,286161.0,Rajasthan,Alwar,Maize,67.2,1100.0,1150.0,1125.0,2010,9
1899,2010-10-01,295812.0,Rajasthan,Alwar,Maize,70.1,1100.0,1150.0,1125.0,2010,10
1950,2010-11-01,305941.0,Rajasthan,Alwar,Maize,57.2,1100.0,1150.0,1130.0,2010,11
1993,2010-12-01,314490.0,Rajasthan,Alwar,Maize,34.7,1160.0,1190.0,1180.0,2010,12
2045,2011-01-01,324040.0,Rajasthan,Alwar,Maize,31.4,1190.0,1200.0,1190.0,2011,1
2073,2011-02-01,333867.0,Rajasthan,Alwar,Maize,29.6,1215.0,1260.0,1240.0,2011,2
2116,2011-03-01,343213.0,Rajasthan,Alwar,Maize,21.1,1230.0,1280.0,1275.0,2011,3
2163,2011-04-01,353122.0,Rajasthan,Alwar,Maize,19.1,1050.0,1125.0,1100.0,2011,4
2235,2011-05-01,366055.0,Rajasthan,Alwar,Maize,1162.5,1075.0,1150.0,1125.0,2011,5
2309,2011-06-01,378775.0,Rajasthan,Alwar,Maize,251.2,1060.0,1150.0,1120.0,2011,6
2385,2011-07-01,389900.0,Rajasthan,Alwar,Maize,156.6,1050.0,1100.0,1075.0,2011,7
2463,2011-08-01,401083.0,Rajasthan,Alwar,Maize,136.2,1075.0,1100.0,1085.0,2011,8
2521,2011-09-01,410896.0,Rajasthan,Alwar,Maize,159.9,1030.0,1050.0,1045.0,2011,9
2573,2011-10-01,421485.0,Rajasthan,Alwar,Maize,18.3,1015.0,1025.0,1020.0,2011,10
2623,2011-11-01,430144.0,Rajasthan,Alwar,Maize,53.6,1000.0,1035.0,1020.0,2011,11
2675,2011-12-01,440763.0,Rajasthan,Alwar,Maize,29.7,980.0,1120.0,1090.0,2011,12
2754,2012-01-01,451366.0,Rajasthan,Alwar,Maize,77.9,1050.0,1090.0,1060.0,2012,1
2812,2012-02-01,460257.0,Rajasthan,Alwar,Maize,58.8,980.0,1160.0,1100.0,2012,2
2879,2012-03-01,468438.0,Rajasthan,Alwar,Maize,38.0,1000.0,1200.0,1150.0,2012,3
2947,2012-04-01,477740.0,Rajasthan,Alwar,Maize,65.1,1080.0,1200.0,1180.0,2012,4
3022,2012-05-01,490034.0,Rajasthan,Alwar,Maize,661.0,1125.0,1270.0,1195.0,2012,5
3101,2012-06-01,504129.0,Rajasthan,Alwar,Maize,5387.1,1100.0,1235.0,1135.0,2012,6
3179,2012-07-01,515499.0,Rajasthan,Alwar,Maize,109.2,1075.0,1340.0,1130.0,2012,7
3254,2012-08-01,526848.0,Rajasthan,Alwar,Maize,179.0,1360.0,1420.0,1385.0,2012,8
3324,2012-09-01,537300.0,Rajasthan,Alwar,Maize,103.1,1400.0,1500.0,1460.0,2012,9
3392,2012-10-01,548439.0,Rajasthan,Alwar,Maize,516.0,1320.0,1380.0,1350.0,2012,10
3442,2012-11-01,559301.0,Rajasthan,Alwar,Maize,120.0,1420.0,1500.0,1480.0,2012,11
3489,2012-12-01,568808.0,Rajasthan,Alwar,Maize,128.0,1475.0,1500.0,1485.0,2012,12
3539,2013-01-01,578969.0,Rajasthan,Alwar,Maize,5.6,1490.0,1515.0,1500.0,2013,1
3594,2013-02-01,588925.0,Rajasthan,Alwar,Maize,7.8,1530.0,1575.0,1550.0,2013,2
3635,2013-03-01,597515.0,Rajasthan,Alwar,Maize,9.5,1500.0,1550.0,1525.0,2013,3
3686,2013-04-01,606957.0,Rajasthan,Alwar,Maize,17.4,1430.0,1450.0,1440.0,2013,4
3742,2013-05-01,620374.0,Rajasthan,Alwar,Maize,469.8,1350.0,1580.0,1485.0,2013,5
3811,2013-06-01,633698.0,Rajasthan,Alwar,Maize,127.9,1460.0,1665.0,1550.0,2013,6
3883,2013-07-01,645029.0,Rajasthan,Alwar,Maize,71.4,1450.0,1625.0,1560.0,2013,7
3956,2013-08-01,656213.0,Rajasthan,Alwar,Maize,56.2,1455.0,1540.0,1515.0,2013,8
4025,2013-09-01,665324.0,Rajasthan,Alwar,Maize,3.5,1350.0,1480.0,1465.0,2013,9
4107,2013-10-01,675898.0,Rajasthan,Alwar,Maize,60.0,1470.0,1500.0,1485.0,2013,10
4225,2013-11-01,685935.0,Rajasthan,Alwar,Maize,39.1,1520.0,1550.0,1535.0,2013,11
4334,2013-12-01,694604.0,Rajasthan,Alwar,Maize,21.9,1550.0,1580.0,1560.0,2013,12
4438,2014-01-01,703010.0,Rajasthan,Alwar,Maize,1047.0,1385.0,1450.0,1425.0,2014,1
4551,2014-02-01,712935.0,Rajasthan,Alwar,Maize,35.8,1590.0,1640.0,1605.0,2014,2
4643,2014-03-01,721622.0,Rajasthan,Alwar,Maize,32.9,1580.0,1625.0,1605.0,2014,3
4750,2014-04-01,731696.0,Rajasthan,Alwar,Maize,3904.0,1365.0,1500.0,1450.0,2014,4
4873,2014-05-01,744267.0,Rajasthan,Alwar,Maize,270.5,1380.0,1420.0,1400.0,2014,5
5003,2014-06-01,758235.0,Rajasthan,Alwar,Maize,1847.0,1410.0,1550.0,1480.0,2014,6
5116,2014-07-01,769397.0,Rajasthan,Alwar,Maize,1047.0,1385.0,1450.0,1425.0,2014,7
5192,2014-08-01,780926.0,Rajasthan,Alwar,Maize,613.0,1455.0,1550.0,1465.0,2014,8
5290,2014-09-01,791404.0,Rajasthan,Alwar,Maize,746.0,1430.0,1530.0,1470.0,2014,9
5357,2014-10-01,802894.0,Rajasthan,Alwar,Maize,703.0,1400.0,1530.0,1475.0,2014,10
5442,2014-11-01,812554.0,Rajasthan,Alwar,Maize,1101.0,1460.0,1500.0,1480.0,2014,11
5545,2014-12-01,823487.0,Rajasthan,Alwar,Maize,61.0,1505.0,1515.0,1510.0,2014,12
5667,2015-01-01,835329.0,Rajasthan,Alwar,Maize,34.0,1582.0,1650.0,1625.0,2015,1
5759,2015-02-01,847092.0,Rajasthan,Alwar,Maize,20.0,1576.0,1625.0,1610.0,2015,2
5854,2015-03-01,857433.0,Rajasthan,Alwar,Maize,25.4,1510.0,1560.0,1540.0,2015,3
5927,2015-04-01,868126.0,Rajasthan,Alwar,Maize,64.8,1250.0,1475.0,1440.0,2015,4
6033,2015-05-01,881278.0,Rajasthan,Alwar,Maize,441.7,1325.0,1500.0,1450.0,2015,5
6149,2015-06-01,895373.0,Rajasthan,Alwar,Maize,202.3,1350.0,1630.0,1520.0,2015,6
6239,2015-07-01,908210.0,Rajasthan,Alwar,Maize,11.5,1311.0,1378.0,1373.0,2015,7
6352,2015-08-01,920494.0,Rajasthan,Alwar,Maize,77.3,1390.0,1520.0,1460.0,2015,8
6447,2015-09-01,931928.0,Rajasthan,Alwar,Maize,71.3,1440.0,1530.0,1495.0,2015,9
6554,2015-10-01,943721.0,Rajasthan,Alwar,Maize,55.2,1550.0,1620.0,1585.0,2015,10
6673,2015-11-01,955569.0,Rajasthan,Alwar,Maize,82.5,1500.0,1600.0,1550.0,2015,11
6755,2015-12-01,965419.0,Rajasthan,Alwar,Maize,34.9,1550.0,1600.0,1585.0,2015,12
6861,2016-01-01,976902.0,Rajasthan,Alwar,Maize,18.4,1570.0,1620.0,1600.0,2016,1
6940,2016-02-01,986765.0,Rajasthan,Alwar,Maize,14.1,1600.0,1720.0,1650.0,2016,2
7037,2016-03-01,996613.0,Rajasthan,Alwar,Maize,5.3,1567.0,1650.0,1610.0,2016,3
7127,2016-04-01,1007118.0,Rajasthan,Alwar,Maize,465.8,1460.0,1550.0,1510.0,2016,4
