,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,205.0,Rajasthan,Bhilwara,Maize,2.0,900.0,1000.0,0.0,2008,1
18,2008-02-01,8506.0,Rajasthan,Bhilwara,Maize,5.0,995.0,1010.0,1003.0,2008,2
50,2008-03-01,16958.0,Rajasthan,Bhilwara,Maize,55.0,1035.0,1060.0,0.0,2008,3
69,2008-04-01,25387.0,Rajasthan,Bhilwara,Maize,142.0,1005.0,1070.0,1035.0,2008,4
90,2008-05-01,38720.0,Rajasthan,Bhilwara,Maize,2219.0,985.0,1165.0,1075.0,2008,5
112,2008-06-01,48755.0,Rajasthan,Bhilwara,Maize,776.0,990.0,1225.0,1112.0,2008,6
126,2008-07-01,58581.0,Rajasthan,Bhilwara,Maize,143.0,980.0,1120.0,1050.0,2008,7
133,2008-08-01,70798.0,Rajasthan,Bhilwara,Maize,18.0,990.0,1075.0,1040.0,2008,8
137,2008-09-01,72427.0,Rajasthan,Bhilwara,Maize,67.0,990.0,1085.0,1040.0,2008,9
143,2008-10-01,,Rajasthan,Bhilwara,Maize,64.37836538461538,1332.2788461538462,1463.798076923077,1368.5096153846155,2008,10
144,2008-11-01,,Rajasthan,Bhilwara,Maize,64.37836538461538,1332.2788461538462,1463.798076923077,1368.5096153846155,2008,11
145,2008-12-01,92520.0,Rajasthan,Bhilwara,Maize,55.0,985.0,1100.0,1042.0,2008,12
161,2009-01-01,,Rajasthan,Bhilwara,Maize,64.37836538461538,1332.2788461538462,1463.798076923077,1368.5096153846155,2009,1
162,2009-02-01,109893.0,Rajasthan,Bhilwara,Maize,15.0,1050.0,1080.0,1065.0,2009,2
167,2009-03-01,115180.0,Rajasthan,Bhilwara,Maize,5.0,1180.0,1180.0,1180.0,2009,3
177,2009-04-01,123100.0,Rajasthan,Bhilwara,Maize,15.0,1080.0,1080.0,1080.0,2009,4
191,2009-05-01,,Rajasthan,Bhilwara,Maize,64.37836538461538,1332.2788461538462,1463.798076923077,1368.5096153846155,2009,5
192,2009-06-01,,Rajasthan,Bhilwara,Maize,64.37836538461538,1332.2788461538462,1463.798076923077,1368.5096153846155,2009,6
193,2009-07-01,150397.0,Rajasthan,Bhilwara,Maize,0.05,850.0,900.0,855.0,2009,7
194,2009-08-01,163967.0,Rajasthan,Bhilwara,Maize,6.5,1100.0,1200.0,1150.0,2009,8
195,2009-09-01,,Rajasthan,Bhilwara,Maize,64.37836538461538,1332.2788461538462,1463.798076923077,1368.5096153846155,2009,9
196,2009-10-01,,Rajasthan,Bhilwara,Maize,64.37836538461538,1332.2788461538462,1463.798076923077,1368.5096153846155,2009,10
197,2009-11-01,190759.0,Rajasthan,Bhilwara,Maize,0.4,935.0,960.0,950.0,2009,11
199,2009-12-01,197919.0,Rajasthan,Bhilwara,Maize,7.0,1450.0,1450.0,1450.0,2009,12
201,2010-01-01,,Rajasthan,Bhilwara,Maize,64.37836538461538,1332.2788461538462,1463.798076923077,1368.5096153846155,2010,1
202,2010-02-01,,Rajasthan,Bhilwara,Maize,64.37836538461538,1332.2788461538462,1463.798076923077,1368.5096153846155,2010,2
203,2010-03-01,220904.0,Rajasthan,Bhilwara,Maize,8.5,960.0,965.0,962.0,2010,3
206,2010-04-01,,Rajasthan,Bhilwara,Maize,64.37836538461538,1332.2788461538462,1463.798076923077,1368.5096153846155,2010,4
207,2010-05-01,249121.0,Rajasthan,Bhilwara,Maize,6.0,1110.0,1511.0,1300.0,2010,5
216,2010-06-01,256783.0,Rajasthan,Bhilwara,Maize,63.0,1170.0,1460.0,1315.0,2010,6
237,2010-07-01,266610.0,Rajasthan,Bhilwara,Maize,18.0,1150.0,1360.0,1255.0,2010,7
263,2010-08-01,276684.0,Rajasthan,Bhilwara,Maize,1.8,1190.0,1361.0,1275.0,2010,8
283,2010-09-01,286171.0,Rajasthan,Bhilwara,Maize,1.5,1150.0,1340.0,1245.0,2010,9
306,2010-10-01,295822.0,Rajasthan,Bhilwara,Maize,1.0,1115.0,1351.0,1233.0,2010,10
329,2010-11-01,305948.0,Rajasthan,Bhilwara,Maize,2.7,1160.0,1350.0,1255.0,2010,11
345,2010-12-01,314888.0,Rajasthan,Bhilwara,Maize,2.4,1185.0,1446.0,1315.0,2010,12
367,2011-01-01,324049.0,Rajasthan,Bhilwara,Maize,1.5,1207.0,1331.0,1269.0,2011,1
