,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,476.0,Rajasthan,Bikaner,Maize,1.4,940.0,942.0,941.0,2008,1
49,2008-02-01,8508.0,Rajasthan,Bikaner,Maize,7.0,1013.0,1013.0,1013.0,2008,2
68,2008-03-01,19670.0,Rajasthan,Bikaner,Maize,1.0,1040.0,1040.0,1040.0,2008,3
76,2008-04-01,25388.0,Rajasthan,Bikaner,Maize,0.5,1025.0,1025.0,1025.0,2008,4
106,2008-05-01,37000.0,Rajasthan,Bikaner,Maize,138.7,991.0,1051.0,1011.0,2008,5
140,2008-06-01,48756.0,Rajasthan,Bikaner,Maize,1.5,1013.0,1013.0,1013.0,2008,6
150,2008-07-01,57313.0,Rajasthan,Bikaner,Maize,1.0,938.0,938.0,938.0,2008,7
158,2008-08-01,66420.0,Rajasthan,Bikaner,Maize,3.0,1075.0,1075.0,1075.0,2008,8
164,2008-09-01,72144.0,Rajasthan,Bikaner,Maize,5.1,1001.0,1026.0,1013.0,2008,9
173,2008-10-01,79138.0,Rajasthan,Bikaner,Maize,0.4,1001.0,1001.0,1001.0,2008,10
178,2008-11-01,88829.0,Rajasthan,Bikaner,Maize,12.0,1005.0,1005.0,1005.0,2008,11
180,2008-12-01,95275.0,Rajasthan,Bikaner,Maize,5.0,1141.0,1141.0,1141.0,2008,12
187,2009-01-01,,Rajasthan,Bikaner,Maize,22.469724770642202,1328.6605504587155,1362.8532110091744,1345.7522935779816,2009,1
188,2009-02-01,110547.0,Rajasthan,Bikaner,Maize,57.5,1665.0,2311.0,1988.0,2009,2
189,2009-03-01,117185.0,Rajasthan,Bikaner,Maize,0.7,1090.0,1090.0,1090.0,2009,3
195,2009-04-01,123101.0,Rajasthan,Bikaner,Maize,4.2,1051.0,1151.0,1101.0,2009,4
224,2009-05-01,134178.0,Rajasthan,Bikaner,Maize,16.0,1061.0,1121.0,1091.0,2009,5
248,2009-06-01,143434.0,Rajasthan,Bikaner,Maize,4.5,1126.0,1192.0,1159.0,2009,6
258,2009-07-01,150398.0,Rajasthan,Bikaner,Maize,50.0,1070.0,1070.0,1070.0,2009,7
271,2009-08-01,158283.0,Rajasthan,Bikaner,Maize,4.0,1123.0,1123.0,1123.0,2009,8
