,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,206.0,Rajasthan,Bundi,Maize,1.0,918.0,926.0,922.0,2008,1
40,2008-02-01,8510.0,Rajasthan,Bundi,Maize,1.5,950.0,975.0,962.0,2008,2
67,2008-03-01,16959.0,Rajasthan,Bundi,Maize,1.0,1020.0,1020.0,1020.0,2008,3
81,2008-04-01,25060.0,Rajasthan,Bundi,Maize,3.5,1050.0,1058.0,1054.0,2008,4
133,2008-05-01,37001.0,Rajasthan,Bundi,Maize,2500.0,1000.0,1061.0,1030.0,2008,5
159,2008-06-01,48757.0,Rajasthan,Bundi,Maize,369.9,950.0,1105.0,1030.0,2008,6
176,2008-07-01,57315.0,Rajasthan,Bundi,Maize,208.5,987.0,1243.0,1100.0,2008,7
217,2008-08-01,65818.0,Rajasthan,Bundi,Maize,10.9,983.0,1039.0,1020.0,2008,8
248,2008-09-01,72145.0,Rajasthan,Bundi,Maize,210.6,970.0,1123.0,1080.0,2008,9
290,2008-10-01,79001.0,Rajasthan,Bundi,Maize,270.4,950.0,1070.0,1040.0,2008,10
311,2008-11-01,89469.0,Rajasthan,Bundi,Maize,38.1,911.0,1095.0,1030.0,2008,11
323,2008-12-01,92521.0,Rajasthan,Bundi,Maize,147.7,969.0,1105.0,1060.0,2008,12
343,2009-01-01,100005.0,Rajasthan,Bundi,Maize,150.1,1034.0,1183.0,1130.0,2009,1
368,2009-02-01,107685.0,Rajasthan,Bundi,Maize,32.0,1037.0,1154.0,1100.0,2009,2
371,2009-03-01,115181.0,Rajasthan,Bundi,Maize,5.2,985.0,1093.0,1050.0,2009,3
390,2009-04-01,122744.0,Rajasthan,Bundi,Maize,250.0,985.0,1115.0,1050.0,2009,4
426,2009-05-01,134600.0,Rajasthan,Bundi,Maize,800.0,970.0,1180.0,1075.0,2009,5
441,2009-06-01,147178.0,Rajasthan,Bundi,Maize,163.0,985.0,1167.0,1140.0,2009,6
451,2009-07-01,149873.0,Rajasthan,Bundi,Maize,63.2,949.0,1168.0,1120.0,2009,7
461,2009-08-01,157571.0,Rajasthan,Bundi,Maize,106.5,1026.0,1280.0,1153.0,2009,8
483,2009-09-01,165695.0,Rajasthan,Bundi,Maize,109.7,1062.0,1307.0,1185.0,2009,9
511,2009-10-01,175412.0,Rajasthan,Bundi,Maize,0.81,1130.0,1130.0,1130.0,2009,10
518,2009-11-01,183967.0,Rajasthan,Bundi,Maize,118.5,1281.0,1790.0,1535.0,2009,11
554,2009-12-01,193326.0,Rajasthan,Bundi,Maize,28.3,1155.0,1742.0,1448.0,2009,12
603,2010-01-01,202839.0,Rajasthan,Bundi,Maize,9.1,910.0,1725.0,1440.0,2010,1
628,2010-02-01,211725.0,Rajasthan,Bundi,Maize,8.3,1263.0,1685.0,1480.0,2010,2
664,2010-03-01,220905.0,Rajasthan,Bundi,Maize,14.8,1090.0,1800.0,1700.0,2010,3
701,2010-04-01,230713.0,Rajasthan,Bundi,Maize,108.3,1100.0,1170.0,1135.0,2010,4
753,2010-05-01,244952.0,Rajasthan,Bundi,Maize,641.0,1100.0,1310.0,1215.0,2010,5
784,2010-06-01,256378.0,Rajasthan,Bundi,Maize,322.2,1100.0,1468.0,1240.0,2010,6
813,2010-07-01,266612.0,Rajasthan,Bundi,Maize,155.7,1100.0,1430.0,1202.0,2010,7
838,2010-08-01,276685.0,Rajasthan,Bundi,Maize,103.1,1109.0,1540.0,1222.0,2010,8
861,2010-09-01,289518.0,Rajasthan,Bundi,Maize,163.0,1121.0,1575.0,1310.0,2010,9
879,2010-10-01,295825.0,Rajasthan,Bundi,Maize,131.1,1101.0,1568.0,1200.0,2010,10
908,2010-11-01,305949.0,Rajasthan,Bundi,Maize,97.0,1101.0,1501.0,1300.0,2010,11
927,2010-12-01,314498.0,Rajasthan,Bundi,Maize,108.0,1101.0,1500.0,1300.0,2010,12
967,2011-01-01,324050.0,Rajasthan,Bundi,Maize,71.6,1140.0,1395.0,1265.0,2011,1
989,2011-02-01,333876.0,Rajasthan,Bundi,Maize,74.8,1142.0,1308.0,1225.0,2011,2
1010,2011-03-01,343220.0,Rajasthan,Bundi,Maize,40.5,1140.0,1239.0,1190.0,2011,3
1035,2011-04-01,353899.0,Rajasthan,Bundi,Maize,1300.0,1100.0,1201.0,1111.0,2011,4
1052,2011-05-01,366067.0,Rajasthan,Bundi,Maize,2500.0,1120.0,1222.0,1170.0,2011,5
1099,2011-06-01,378783.0,Rajasthan,Bundi,Maize,800.0,1001.0,1121.0,1060.0,2011,6
1146,2011-07-01,389911.0,Rajasthan,Bundi,Maize,350.0,1041.0,1117.0,1078.0,2011,7
1187,2011-08-01,401097.0,Rajasthan,Bundi,Maize,162.0,1045.0,1128.0,1085.0,2011,8
1225,2011-09-01,410903.0,Rajasthan,Bundi,Maize,140.0,1020.0,1040.0,1030.0,2011,9
1271,2011-10-01,421497.0,Rajasthan,Bundi,Maize,300.0,1000.0,1050.0,1025.0,2011,10
1301,2011-11-01,430156.0,Rajasthan,Bundi,Maize,102.7,980.0,1075.0,1030.0,2011,11
1325,2011-12-01,441140.0,Rajasthan,Bundi,Maize,350.0,1015.0,1090.0,1052.0,2011,12
1351,2012-01-01,451113.0,Rajasthan,Bundi,Maize,466.0,1000.0,1100.0,1050.0,2012,1
