,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,208.0,Rajasthan,Chittorgarh,Maize,3.0,909.0,966.0,920.0,2008,1
52,2008-02-01,8512.0,Rajasthan,Chittorgarh,Maize,27.1,975.0,992.0,989.0,2008,2
121,2008-03-01,16960.0,Rajasthan,Chittorgarh,Maize,21.2,1015.0,1054.0,1050.0,2008,3
172,2008-04-01,25061.0,Rajasthan,Chittorgarh,Maize,45.4,801.0,1111.0,1055.0,2008,4
235,2008-05-01,37003.0,Rajasthan,Chittorgarh,Maize,32.5,940.0,989.0,986.0,2008,5
283,2008-06-01,48496.0,Rajasthan,Chittorgarh,Maize,49.5,969.0,1174.0,1070.0,2008,6
351,2008-07-01,57317.0,Rajasthan,Chittorgarh,Maize,5.0,946.0,978.0,973.0,2008,7
426,2008-08-01,66084.0,Rajasthan,Chittorgarh,Maize,4.3,983.0,984.0,984.0,2008,8
493,2008-09-01,72147.0,Rajasthan,Chittorgarh,Maize,5.4,985.0,997.0,996.0,2008,9
559,2008-10-01,79003.0,Rajasthan,Chittorgarh,Maize,12.0,953.0,956.0,955.0,2008,10
607,2008-11-01,85387.0,Rajasthan,Chittorgarh,Maize,10.1,932.0,1017.0,975.0,2008,11
676,2008-12-01,92522.0,Rajasthan,Chittorgarh,Maize,2.6,965.0,970.0,965.0,2008,12
719,2009-01-01,100006.0,Rajasthan,Chittorgarh,Maize,6.9,1058.0,1088.0,1066.0,2009,1
769,2009-02-01,107686.0,Rajasthan,Chittorgarh,Maize,5.4,1053.0,1070.0,1060.0,2009,2
798,2009-03-01,115182.0,Rajasthan,Chittorgarh,Maize,0.7,1050.0,1100.0,1075.0,2009,3
832,2009-04-01,122746.0,Rajasthan,Chittorgarh,Maize,25.0,1050.0,1100.0,1065.0,2009,4
879,2009-05-01,134179.0,Rajasthan,Chittorgarh,Maize,2.6,1028.0,1130.0,1060.0,2009,5
923,2009-06-01,142610.0,Rajasthan,Chittorgarh,Maize,1.8,1039.0,1183.0,1147.0,2009,6
965,2009-07-01,149874.0,Rajasthan,Chittorgarh,Maize,14.5,1028.0,1252.0,1200.0,2009,7
1006,2009-08-01,157572.0,Rajasthan,Chittorgarh,Maize,19.7,1033.0,1224.0,1200.0,2009,8
1037,2009-09-01,165346.0,Rajasthan,Chittorgarh,Maize,5.0,1136.0,1140.0,1136.0,2009,9
1077,2009-10-01,174389.0,Rajasthan,Chittorgarh,Maize,21.9,1125.0,1275.0,1270.0,2009,10
1129,2009-11-01,183413.0,Rajasthan,Chittorgarh,Maize,90.0,1335.0,1537.0,1435.0,2009,11
1189,2009-12-01,193328.0,Rajasthan,Chittorgarh,Maize,5.0,1407.0,1480.0,1407.0,2009,12
1256,2010-01-01,202841.0,Rajasthan,Chittorgarh,Maize,5.0,1314.0,1314.0,1314.0,2010,1
1314,2010-02-01,211727.0,Rajasthan,Chittorgarh,Maize,28.5,1240.0,1450.0,1400.0,2010,2
1366,2010-03-01,220906.0,Rajasthan,Chittorgarh,Maize,4.0,1158.0,1210.0,1175.0,2010,3
1426,2010-04-01,230715.0,Rajasthan,Chittorgarh,Maize,1.3,1068.0,1260.0,1073.0,2010,4
