,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,211.0,Rajasthan,Dausa,Maize,5.2,895.0,966.0,931.0,2008,1
63,2008-02-01,8515.0,Rajasthan,Dausa,Maize,10.2,983.0,1022.0,1005.0,2008,2
132,2008-03-01,16962.0,Rajasthan,Dausa,Maize,7.0,970.0,1071.0,1020.0,2008,3
196,2008-04-01,25722.0,Rajasthan,Dausa,Maize,17.2,995.0,1055.0,1025.0,2008,4
253,2008-05-01,37004.0,Rajasthan,Dausa,Maize,35.2,970.0,1077.0,1024.0,2008,5
322,2008-06-01,48760.0,Rajasthan,Dausa,Maize,9.8,980.0,1150.0,1089.0,2008,6
390,2008-07-01,57320.0,Rajasthan,Dausa,Maize,29.0,991.0,1061.0,1000.0,2008,7
460,2008-08-01,65819.0,Rajasthan,Dausa,Maize,11.2,998.0,1051.0,1025.0,2008,8
481,2008-09-01,72149.0,Rajasthan,Dausa,Maize,7.5,995.0,1020.0,1008.0,2008,9
497,2008-10-01,79006.0,Rajasthan,Dausa,Maize,20.4,960.0,1000.0,980.0,2008,10
503,2008-11-01,85738.0,Rajasthan,Dausa,Maize,26.0,955.0,1030.0,1012.0,2008,11
522,2008-12-01,92523.0,Rajasthan,Dausa,Maize,2.5,1005.0,1055.0,1030.0,2008,12
552,2009-01-01,100008.0,Rajasthan,Dausa,Maize,12.7,1040.0,1070.0,1055.0,2009,1
603,2009-02-01,107687.0,Rajasthan,Dausa,Maize,10.4,1031.0,1086.0,1041.0,2009,2
642,2009-03-01,115184.0,Rajasthan,Dausa,Maize,6.6,1060.0,1141.0,1101.0,2009,3
663,2009-04-01,123104.0,Rajasthan,Dausa,Maize,65.0,1030.0,1261.0,1146.0,2009,4
677,2009-05-01,,Rajasthan,Dausa,Maize,100.59166666666668,1293.0277777777778,1399.0185185185185,1261.3796296296296,2009,5
678,2009-06-01,,Rajasthan,Dausa,Maize,100.59166666666668,1293.0277777777778,1399.0185185185185,1261.3796296296296,2009,6
679,2009-07-01,,Rajasthan,Dausa,Maize,100.59166666666668,1293.0277777777778,1399.0185185185185,1261.3796296296296,2009,7
680,2009-08-01,,Rajasthan,Dausa,Maize,100.59166666666668,1293.0277777777778,1399.0185185185185,1261.3796296296296,2009,8
681,2009-09-01,171634.0,Rajasthan,Dausa,Maize,30.6,1141.0,1319.0,1260.0,2009,9
688,2009-10-01,174390.0,Rajasthan,Dausa,Maize,0.8,1100.0,1300.0,1280.0,2009,10
713,2009-11-01,183972.0,Rajasthan,Dausa,Maize,21.2,1225.0,1325.0,1300.0,2009,11
738,2009-12-01,194089.0,Rajasthan,Dausa,Maize,4.6,1300.0,1491.0,1460.0,2009,12
750,2010-01-01,202844.0,Rajasthan,Dausa,Maize,3.2,1300.0,1425.0,1350.0,2010,1
773,2010-02-01,211728.0,Rajasthan,Dausa,Maize,2.1,1296.0,1451.0,0.0,2010,2
797,2010-03-01,221252.0,Rajasthan,Dausa,Maize,2.7,1141.0,1307.0,1280.0,2010,3
798,2010-04-01,,Rajasthan,Dausa,Maize,100.59166666666668,1293.0277777777778,1399.0185185185185,1261.3796296296296,2010,4
799,2010-05-01,,Rajasthan,Dausa,Maize,100.59166666666668,1293.0277777777778,1399.0185185185185,1261.3796296296296,2010,5
800,2010-06-01,263666.0,Rajasthan,Dausa,Maize,13.3,1135.0,1170.0,1150.0,2010,6
801,2010-07-01,268355.0,Rajasthan,Dausa,Maize,14.8,1102.0,1150.0,0.0,2010,7
826,2010-08-01,276687.0,Rajasthan,Dausa,Maize,6.3,1150.0,1200.0,1190.0,2010,8
846,2010-09-01,286174.0,Rajasthan,Dausa,Maize,195.0,1041.0,1160.0,1120.0,2010,9
892,2010-10-01,295829.0,Rajasthan,Dausa,Maize,21.2,1065.0,1135.0,0.0,2010,10
954,2010-11-01,305953.0,Rajasthan,Dausa,Maize,5.0,1090.0,1200.0,1185.0,2010,11
970,2010-12-01,314893.0,Rajasthan,Dausa,Maize,16.2,1160.0,1202.0,0.0,2010,12
1001,2011-01-01,324054.0,Rajasthan,Dausa,Maize,3.9,1160.0,1208.0,0.0,2011,1
1028,2011-02-01,333880.0,Rajasthan,Dausa,Maize,115.0,1140.0,1251.0,1196.0,2011,2
1068,2011-03-01,343224.0,Rajasthan,Dausa,Maize,79.0,1080.0,1285.0,1100.0,2011,3
1099,2011-04-01,353127.0,Rajasthan,Dausa,Maize,374.0,1030.0,1187.0,1109.0,2011,4
1120,2011-05-01,365601.0,Rajasthan,Dausa,Maize,2596.0,1000.0,1200.0,1100.0,2011,5
1136,2011-06-01,379206.0,Rajasthan,Dausa,Maize,2040.0,995.0,1090.0,1090.0,2011,6
1168,2011-07-01,389916.0,Rajasthan,Dausa,Maize,1530.0,1000.0,1047.0,1024.0,2011,7
1226,2011-08-01,401101.0,Rajasthan,Dausa,Maize,14.0,1030.0,1042.0,1035.0,2011,8
1260,2011-09-01,410905.0,Rajasthan,Dausa,Maize,60.3,1000.0,1050.0,1040.0,2011,9
1267,2011-10-01,421989.0,Rajasthan,Dausa,Maize,32.2,930.0,1035.0,1015.0,2011,10
1273,2011-11-01,431324.0,Rajasthan,Dausa,Maize,16.3,1030.0,1070.0,1050.0,2011,11
1274,2011-12-01,441144.0,Rajasthan,Dausa,Maize,20.7,990.0,1051.0,1045.0,2011,12
1295,2012-01-01,451379.0,Rajasthan,Dausa,Maize,173.0,1021.0,1071.0,1046.0,2012,1
1324,2012-02-01,460277.0,Rajasthan,Dausa,Maize,30.3,1113.0,1185.0,0.0,2012,2
1380,2012-03-01,468460.0,Rajasthan,Dausa,Maize,33.0,1080.0,1175.0,0.0,2012,3
1470,2012-04-01,477479.0,Rajasthan,Dausa,Maize,37.4,1140.0,1290.0,0.0,2012,4
1535,2012-05-01,490049.0,Rajasthan,Dausa,Maize,33.8,1510.0,1651.0,1560.0,2012,5
