,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,214.0,Rajasthan,Ganganagar,Maize,2.0,927.0,951.0,939.0,2008,1
213,2008-02-01,8519.0,Rajasthan,Ganganagar,Maize,4.5,951.0,975.0,968.0,2008,2
403,2008-03-01,16965.0,Rajasthan,Ganganagar,Maize,8.0,1068.0,1080.0,1074.0,2008,3
594,2008-04-01,25062.0,Rajasthan,Ganganagar,Maize,4.4,1009.0,1037.0,1021.0,2008,4
803,2008-05-01,37007.0,Rajasthan,Ganganagar,Maize,290.9,1005.0,1061.0,1033.0,2008,5
1098,2008-06-01,48762.0,Rajasthan,Ganganagar,Maize,68.2,1000.0,1087.0,1043.0,2008,6
1350,2008-07-01,57323.0,Rajasthan,Ganganagar,Maize,24.6,1036.0,1070.0,1053.0,2008,7
1625,2008-08-01,65822.0,Rajasthan,Ganganagar,Maize,6.5,1014.0,1045.0,1029.0,2008,8
1827,2008-09-01,72150.0,Rajasthan,Ganganagar,Maize,1.5,1001.0,1001.0,1001.0,2008,9
2045,2008-10-01,79007.0,Rajasthan,Ganganagar,Maize,4.2,936.0,1021.0,985.0,2008,10
2248,2008-11-01,85388.0,Rajasthan,Ganganagar,Maize,5.2,965.0,1007.0,989.0,2008,11
2444,2008-12-01,92524.0,Rajasthan,Ganganagar,Maize,1.3,1009.0,1020.0,1015.0,2008,12
2625,2009-01-01,100012.0,Rajasthan,Ganganagar,Maize,1.5,1022.0,1030.0,1030.0,2009,1
2793,2009-02-01,107690.0,Rajasthan,Ganganagar,Maize,5.3,1064.0,1070.0,1068.0,2009,2
2953,2009-03-01,115187.0,Rajasthan,Ganganagar,Maize,0.4,1079.0,1079.0,1079.0,2009,3
3104,2009-04-01,122747.0,Rajasthan,Ganganagar,Maize,1.0,1054.0,1054.0,1054.0,2009,4
3316,2009-05-01,134180.0,Rajasthan,Ganganagar,Maize,299.5,1081.0,1105.0,1093.0,2009,5
3563,2009-06-01,142611.0,Rajasthan,Ganganagar,Maize,31.1,1081.0,1130.0,1106.0,2009,6
3842,2009-07-01,149875.0,Rajasthan,Ganganagar,Maize,17.3,1050.0,1090.0,1070.0,2009,7
