,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,229.0,Rajasthan,Kota,Maize,20.5,940.0,966.0,955.0,2008,1
83,2008-02-01,8540.0,Rajasthan,Kota,Maize,60.9,980.0,1045.0,1000.0,2008,2
154,2008-03-01,16980.0,Rajasthan,Kota,Maize,44.9,1030.0,1050.0,1040.0,2008,3
217,2008-04-01,25076.0,Rajasthan,Kota,Maize,186.8,925.0,1020.0,962.0,2008,4
293,2008-05-01,37032.0,Rajasthan,Kota,Maize,48.7,920.0,1026.0,960.0,2008,5
377,2008-06-01,48784.0,Rajasthan,Kota,Maize,48.4,960.0,1085.0,1000.0,2008,6
446,2008-07-01,57345.0,Rajasthan,Kota,Maize,85.0,979.0,1065.0,1020.0,2008,7
507,2008-08-01,66098.0,Rajasthan,Kota,Maize,1.4,1010.0,1010.0,1010.0,2008,8
550,2008-09-01,72167.0,Rajasthan,Kota,Maize,354.8,960.0,1133.0,1046.0,2008,9
576,2008-10-01,79024.0,Rajasthan,Kota,Maize,834.1,948.0,1140.0,1045.0,2008,10
601,2008-11-01,85401.0,Rajasthan,Kota,Maize,328.5,940.0,1171.0,1070.0,2008,11
642,2008-12-01,92540.0,Rajasthan,Kota,Maize,72.4,980.0,999.0,990.0,2008,12
701,2009-01-01,100022.0,Rajasthan,Kota,Maize,33.2,1032.0,1050.0,1042.0,2009,1
736,2009-02-01,107701.0,Rajasthan,Kota,Maize,54.4,1050.0,1079.0,1065.0,2009,2
783,2009-03-01,115204.0,Rajasthan,Kota,Maize,26.2,1060.0,1088.0,1080.0,2009,3
827,2009-04-01,122760.0,Rajasthan,Kota,Maize,488.76,980.0,1385.0,1120.0,2009,4
872,2009-05-01,134196.0,Rajasthan,Kota,Maize,50.3,990.0,1080.0,1080.0,2009,5
958,2009-06-01,142632.0,Rajasthan,Kota,Maize,31.3,995.0,1079.0,1050.0,2009,6
1040,2009-07-01,149894.0,Rajasthan,Kota,Maize,10.4,1007.0,1079.0,1043.0,2009,7
1138,2009-08-01,157587.0,Rajasthan,Kota,Maize,14.0,1120.0,1135.0,1135.0,2009,8
1209,2009-09-01,165368.0,Rajasthan,Kota,Maize,27.1,1076.0,1192.0,1134.0,2009,9
1284,2009-10-01,174413.0,Rajasthan,Kota,Maize,2.5,1115.0,1115.0,1115.0,2009,10
1384,2009-11-01,183414.0,Rajasthan,Kota,Maize,0.5,1200.0,1350.0,1275.0,2009,11
1515,2009-12-01,193347.0,Rajasthan,Kota,Maize,25.1,1150.0,1450.0,1300.0,2009,12
1619,2010-01-01,202860.0,Rajasthan,Kota,Maize,4.3,1257.0,1366.0,1311.0,2010,1
1724,2010-02-01,211740.0,Rajasthan,Kota,Maize,146.3,1250.0,1690.0,1380.0,2010,2
1834,2010-03-01,220923.0,Rajasthan,Kota,Maize,4.7,1100.0,1111.0,1105.0,2010,3
1925,2010-04-01,230731.0,Rajasthan,Kota,Maize,4137.0,1000.0,1557.0,1300.0,2010,4
2040,2010-05-01,244969.0,Rajasthan,Kota,Maize,143.8,1116.0,1243.0,1179.0,2010,5
2161,2010-06-01,256402.0,Rajasthan,Kota,Maize,2.5,1230.0,1230.0,1230.0,2010,6
2289,2010-07-01,266638.0,Rajasthan,Kota,Maize,1.5,1080.0,1080.0,1080.0,2010,7
2368,2010-08-01,276714.0,Rajasthan,Kota,Maize,13.8,1100.0,1229.0,1164.0,2010,8
2418,2010-09-01,286192.0,Rajasthan,Kota,Maize,0.2,1261.0,1261.0,1261.0,2010,9
2461,2010-10-01,295855.0,Rajasthan,Kota,Maize,2.0,1125.0,1125.0,1125.0,2010,10
2524,2010-11-01,305972.0,Rajasthan,Kota,Maize,263.0,1082.0,1565.0,1330.0,2010,11
2561,2010-12-01,314520.0,Rajasthan,Kota,Maize,25.9,1100.0,1316.0,1208.0,2010,12
2623,2011-01-01,324066.0,Rajasthan,Kota,Maize,251.7,1080.0,1453.0,1300.0,2011,1
2673,2011-02-01,333893.0,Rajasthan,Kota,Maize,21.0,1242.0,1281.0,1260.0,2011,2
2721,2011-03-01,343237.0,Rajasthan,Kota,Maize,59.5,1170.0,1225.0,1197.0,2011,3
2776,2011-04-01,353137.0,Rajasthan,Kota,Maize,2525.5,1053.0,1462.0,1225.0,2011,4
2821,2011-05-01,366094.0,Rajasthan,Kota,Maize,303.5,1082.0,1135.0,1108.0,2011,5
2893,2011-06-01,378804.0,Rajasthan,Kota,Maize,160.7,1055.0,1095.0,1075.0,2011,6
2959,2011-07-01,389937.0,Rajasthan,Kota,Maize,162.1,1008.0,1068.0,1037.0,2011,7
3027,2011-08-01,401128.0,Rajasthan,Kota,Maize,52.2,1052.0,1088.0,1070.0,2011,8
3081,2011-09-01,410928.0,Rajasthan,Kota,Maize,28.8,1009.0,1071.0,1040.0,2011,9
3147,2011-10-01,421522.0,Rajasthan,Kota,Maize,86.2,991.0,1035.0,1013.0,2011,10
3197,2011-11-01,430178.0,Rajasthan,Kota,Maize,41.3,965.0,1030.0,997.0,2011,11
3270,2011-12-01,441167.0,Rajasthan,Kota,Maize,126.5,1027.0,1068.0,1047.0,2011,12
3340,2012-01-01,451399.0,Rajasthan,Kota,Maize,17.2,1040.0,1125.0,1082.0,2012,1
3401,2012-02-01,460301.0,Rajasthan,Kota,Maize,125.1,1125.0,1159.0,1142.0,2012,2
3462,2012-03-01,468484.0,Rajasthan,Kota,Maize,90.0,1100.0,1150.0,1125.0,2012,3
3522,2012-04-01,477774.0,Rajasthan,Kota,Maize,2426.0,1051.0,1420.0,1240.0,2012,4
3580,2012-05-01,490066.0,Rajasthan,Kota,Maize,113.7,1097.0,1194.0,1145.0,2012,5
3653,2012-06-01,504167.0,Rajasthan,Kota,Maize,108.0,1118.0,1230.0,1174.0,2012,6
3730,2012-07-01,515541.0,Rajasthan,Kota,Maize,55.7,1225.0,1251.0,1238.0,2012,7
3804,2012-08-01,526888.0,Rajasthan,Kota,Maize,39.4,1480.0,1615.0,1547.0,2012,8
3875,2012-09-01,537338.0,Rajasthan,Kota,Maize,75.6,1121.0,1668.0,1420.0,2012,9
3935,2012-10-01,548480.0,Rajasthan,Kota,Maize,73.9,1300.0,1485.0,1392.0,2012,10
4007,2012-11-01,559340.0,Rajasthan,Kota,Maize,23.3,1421.0,1599.0,1510.0,2012,11
4070,2012-12-01,568844.0,Rajasthan,Kota,Maize,81.8,1461.0,1596.0,1528.0,2012,12
4146,2013-01-01,579003.0,Rajasthan,Kota,Maize,323.0,1480.0,1731.0,1630.0,2013,1
4216,2013-02-01,588965.0,Rajasthan,Kota,Maize,25.3,1440.0,1680.0,1560.0,2013,2
4275,2013-03-01,597546.0,Rajasthan,Kota,Maize,58.0,1300.0,1490.0,1395.0,2013,3
4337,2013-04-01,606987.0,Rajasthan,Kota,Maize,6225.0,1325.0,1659.0,1530.0,2013,4
4402,2013-05-01,620419.0,Rajasthan,Kota,Maize,3533.5,1351.0,1625.0,1525.0,2013,5
4474,2013-06-01,633747.0,Rajasthan,Kota,Maize,191.9,1420.0,1670.0,1545.0,2013,6
4541,2013-07-01,645082.0,Rajasthan,Kota,Maize,13.0,1432.0,1546.0,1490.0,2013,7
4620,2013-08-01,656265.0,Rajasthan,Kota,Maize,9.7,1456.0,1537.0,1495.0,2013,8
4686,2013-09-01,665670.0,Rajasthan,Kota,Maize,146.7,1420.0,1562.0,1491.0,2013,9
4760,2013-10-01,675961.0,Rajasthan,Kota,Maize,105.3,1390.0,1563.0,1476.0,2013,10
4837,2013-11-01,686695.0,Rajasthan,Kota,Maize,53.0,1500.0,1731.0,1615.0,2013,11
4897,2013-12-01,695010.0,Rajasthan,Kota,Maize,116.6,1500.0,1750.0,1625.0,2013,12
4939,2014-01-01,703048.0,Rajasthan,Kota,Maize,13.1,1580.0,1726.0,1653.0,2014,1
5011,2014-02-01,712977.0,Rajasthan,Kota,Maize,38.0,1550.0,1730.0,1640.0,2014,2
5071,2014-03-01,721655.0,Rajasthan,Kota,Maize,22.3,1500.0,1572.0,1536.0,2014,3
5148,2014-04-01,731720.0,Rajasthan,Kota,Maize,5022.0,1451.0,1936.0,1650.0,2014,4
5219,2014-05-01,744310.0,Rajasthan,Kota,Maize,588.0,1350.0,1570.0,1460.0,2014,5
5305,2014-06-01,758289.0,Rajasthan,Kota,Maize,285.3,1310.0,1504.0,1407.0,2014,6
5387,2014-07-01,769457.0,Rajasthan,Kota,Maize,103.4,1380.0,1517.0,1448.0,2014,7
5464,2014-08-01,780975.0,Rajasthan,Kota,Maize,63.6,1460.0,1530.0,1495.0,2014,8
5528,2014-09-01,791453.0,Rajasthan,Kota,Maize,90.4,1468.0,1570.0,1519.0,2014,9
5603,2014-10-01,802945.0,Rajasthan,Kota,Maize,97.7,1450.0,1519.0,1484.0,2014,10
5670,2014-11-01,812591.0,Rajasthan,Kota,Maize,101.7,1480.0,1597.0,1538.0,2014,11
5749,2014-12-01,823543.0,Rajasthan,Kota,Maize,154.4,1400.0,1571.0,1485.0,2014,12
5826,2015-01-01,835375.0,Rajasthan,Kota,Maize,3.5,1491.0,1637.0,1564.0,2015,1
5895,2015-02-01,847142.0,Rajasthan,Kota,Maize,55.1,1440.0,1601.0,1540.0,2015,2
5955,2015-03-01,857471.0,Rajasthan,Kota,Maize,6.8,1360.0,1425.0,1392.0,2015,3
6021,2015-04-01,868165.0,Rajasthan,Kota,Maize,6523.0,1351.0,2041.0,1700.0,2015,4
6082,2015-05-01,881321.0,Rajasthan,Kota,Maize,453.1,1236.0,1580.0,1403.0,2015,5
6148,2015-06-01,895437.0,Rajasthan,Kota,Maize,193.7,1300.0,1590.0,1445.0,2015,6
6226,2015-07-01,908276.0,Rajasthan,Kota,Maize,167.1,1380.0,1550.0,1465.0,2015,7
6329,2015-08-01,920549.0,Rajasthan,Kota,Maize,125.2,1410.0,1588.0,1499.0,2015,8
6406,2015-09-01,931998.0,Rajasthan,Kota,Maize,125.1,1391.0,1575.0,1483.0,2015,9
6500,2015-10-01,943779.0,Rajasthan,Kota,Maize,106.6,1450.0,1655.0,1552.0,2015,10
6613,2015-11-01,955627.0,Rajasthan,Kota,Maize,140.0,1480.0,1700.0,1590.0,2015,11
6689,2015-12-01,965472.0,Rajasthan,Kota,Maize,130.0,1511.0,1751.0,1631.0,2015,12
6803,2016-01-01,976946.0,Rajasthan,Kota,Maize,15.0,1400.0,1693.0,1546.0,2016,1
6909,2016-02-01,986792.0,Rajasthan,Kota,Maize,10.7,1700.0,1700.0,1700.0,2016,2
6981,2016-03-01,996637.0,Rajasthan,Kota,Maize,22.4,1499.0,1583.0,1541.0,2016,3
