,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,233.0,Rajasthan,Pali,Maize,1.3,958.0,958.0,958.0,2008,1
4,2008-02-01,10058.0,Rajasthan,Pali,Maize,6.0,985.0,0.0,0.0,2008,2
9,2008-03-01,17811.0,Rajasthan,Pali,Maize,0.2,1001.0,1026.0,1025.0,2008,3
17,2008-04-01,25744.0,Rajasthan,Pali,Maize,2.1,980.0,1071.0,1026.0,2008,4
30,2008-05-01,38096.0,Rajasthan,Pali,Maize,0.5,1121.0,1121.0,1121.0,2008,5
38,2008-06-01,48788.0,Rajasthan,Pali,Maize,0.7,1051.0,1052.0,1051.0,2008,6
42,2008-07-01,,Rajasthan,Pali,Maize,49.63232323232321,1423.2424242424242,1454.8686868686868,1427.1919191919192,2008,7
43,2008-08-01,70826.0,Rajasthan,Pali,Maize,6.0,1006.0,0.0,0.0,2008,8
44,2008-09-01,,Rajasthan,Pali,Maize,49.63232323232321,1423.2424242424242,1454.8686868686868,1427.1919191919192,2008,9
45,2008-10-01,,Rajasthan,Pali,Maize,49.63232323232321,1423.2424242424242,1454.8686868686868,1427.1919191919192,2008,10
46,2008-11-01,,Rajasthan,Pali,Maize,49.63232323232321,1423.2424242424242,1454.8686868686868,1427.1919191919192,2008,11
47,2008-12-01,98892.0,Rajasthan,Pali,Maize,0.1,1201.0,1201.0,1201.0,2008,12
48,2009-01-01,101537.0,Rajasthan,Pali,Maize,3.3,1000.0,0.0,0.0,2009,1
51,2009-02-01,110226.0,Rajasthan,Pali,Maize,7.5,1081.0,1180.0,1141.0,2009,2
52,2009-03-01,118537.0,Rajasthan,Pali,Maize,1.8,1200.0,1217.0,1210.0,2009,3
53,2009-04-01,,Rajasthan,Pali,Maize,49.63232323232321,1423.2424242424242,1454.8686868686868,1427.1919191919192,2009,4
54,2009-05-01,,Rajasthan,Pali,Maize,49.63232323232321,1423.2424242424242,1454.8686868686868,1427.1919191919192,2009,5
55,2009-06-01,,Rajasthan,Pali,Maize,49.63232323232321,1423.2424242424242,1454.8686868686868,1427.1919191919192,2009,6
56,2009-07-01,,Rajasthan,Pali,Maize,49.63232323232321,1423.2424242424242,1454.8686868686868,1427.1919191919192,2009,7
57,2009-08-01,,Rajasthan,Pali,Maize,49.63232323232321,1423.2424242424242,1454.8686868686868,1427.1919191919192,2009,8
58,2009-09-01,167467.0,Rajasthan,Pali,Maize,12.0,1135.0,1135.0,1135.0,2009,9
59,2009-10-01,176253.0,Rajasthan,Pali,Maize,0.1,1300.0,1300.0,1300.0,2009,10
60,2009-11-01,188711.0,Rajasthan,Pali,Maize,240.0,1600.0,1650.0,1650.0,2009,11
61,2009-12-01,,Rajasthan,Pali,Maize,49.63232323232321,1423.2424242424242,1454.8686868686868,1427.1919191919192,2009,12
62,2010-01-01,,Rajasthan,Pali,Maize,49.63232323232321,1423.2424242424242,1454.8686868686868,1427.1919191919192,2010,1
63,2010-02-01,220272.0,Rajasthan,Pali,Maize,0.9,1001.0,0.0,0.0,2010,2
64,2010-03-01,224599.0,Rajasthan,Pali,Maize,40.0,1400.0,1500.0,1450.0,2010,3
70,2010-04-01,232020.0,Rajasthan,Pali,Maize,160.0,1300.0,1350.0,1320.0,2010,4
77,2010-05-01,248140.0,Rajasthan,Pali,Maize,126.0,1500.0,1650.0,1600.0,2010,5
81,2010-06-01,262131.0,Rajasthan,Pali,Maize,270.0,1475.0,1500.0,1500.0,2010,6
82,2010-07-01,272262.0,Rajasthan,Pali,Maize,78.0,1475.0,1500.0,1500.0,2010,7
83,2010-08-01,,Rajasthan,Pali,Maize,49.63232323232321,1423.2424242424242,1454.8686868686868,1427.1919191919192,2010,8
84,2010-09-01,,Rajasthan,Pali,Maize,49.63232323232321,1423.2424242424242,1454.8686868686868,1427.1919191919192,2010,9
85,2010-10-01,301999.0,Rajasthan,Pali,Maize,102.0,1550.0,1600.0,1550.0,2010,10
86,2010-11-01,308302.0,Rajasthan,Pali,Maize,1940.0,1550.0,1600.0,1600.0,2010,11
89,2010-12-01,314523.0,Rajasthan,Pali,Maize,100.0,1550.0,1600.0,1600.0,2010,12
94,2011-01-01,,Rajasthan,Pali,Maize,49.63232323232321,1423.2424242424242,1454.8686868686868,1427.1919191919192,2011,1
95,2011-02-01,341193.0,Rajasthan,Pali,Maize,730.0,1550.0,1600.0,1600.0,2011,2
96,2011-03-01,347021.0,Rajasthan,Pali,Maize,0.7,1209.0,1209.0,1209.0,2011,3
104,2011-04-01,353139.0,Rajasthan,Pali,Maize,6.2,870.0,900.0,900.0,2011,4
142,2011-05-01,366097.0,Rajasthan,Pali,Maize,0.3,1060.0,1060.0,1060.0,2011,5
180,2011-06-01,378808.0,Rajasthan,Pali,Maize,3.7,1154.0,1161.0,1161.0,2011,6
212,2011-07-01,390357.0,Rajasthan,Pali,Maize,1.0,1084.0,1084.0,1084.0,2011,7
223,2011-08-01,401132.0,Rajasthan,Pali,Maize,1.1,1115.0,1115.0,1115.0,2011,8
239,2011-09-01,411311.0,Rajasthan,Pali,Maize,3.7,1002.0,1002.0,1002.0,2011,9
271,2011-10-01,421526.0,Rajasthan,Pali,Maize,58.3,995.0,1112.0,1065.0,2011,10
283,2011-11-01,430953.0,Rajasthan,Pali,Maize,0.5,1021.0,1021.0,1021.0,2011,11
