,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,510.0,Rajasthan,Rajasamand,Maize,1.0,1000.0,1040.0,1020.0,2008,1
36,2008-02-01,9706.0,Rajasthan,Rajasamand,Maize,1.0,1000.0,1050.0,1025.0,2008,2
52,2008-03-01,17822.0,Rajasthan,Rajasamand,Maize,1.0,1000.0,1050.0,1025.0,2008,3
70,2008-04-01,25081.0,Rajasthan,Rajasamand,Maize,1.0,1050.0,1150.0,1100.0,2008,4
102,2008-05-01,37041.0,Rajasthan,Rajasamand,Maize,1.0,1050.0,1100.0,1075.0,2008,5
142,2008-06-01,49086.0,Rajasthan,Rajasamand,Maize,1.0,1000.0,1050.0,1025.0,2008,6
168,2008-07-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2008,7
169,2008-08-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2008,8
170,2008-09-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2008,9
171,2008-10-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2008,10
172,2008-11-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2008,11
173,2008-12-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2008,12
174,2009-01-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2009,1
175,2009-02-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2009,2
176,2009-03-01,120303.0,Rajasthan,Rajasamand,Maize,20.0,1100.0,1300.0,1200.0,2009,3
180,2009-04-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2009,4
181,2009-05-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2009,5
182,2009-06-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2009,6
183,2009-07-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2009,7
184,2009-08-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2009,8
185,2009-09-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2009,9
186,2009-10-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2009,10
187,2009-11-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2009,11
188,2009-12-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2009,12
189,2010-01-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2010,1
190,2010-02-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2010,2
191,2010-03-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2010,3
192,2010-04-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2010,4
193,2010-05-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2010,5
194,2010-06-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2010,6
195,2010-07-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2010,7
196,2010-08-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2010,8
197,2010-09-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2010,9
198,2010-10-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2010,10
199,2010-11-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2010,11
200,2010-12-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2010,12
201,2011-01-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2011,1
202,2011-02-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2011,2
203,2011-03-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2011,3
204,2011-04-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2011,4
205,2011-05-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2011,5
206,2011-06-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2011,6
207,2011-07-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2011,7
208,2011-08-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2011,8
209,2011-09-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2011,9
210,2011-10-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2011,10
211,2011-11-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2011,11
212,2011-12-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2011,12
213,2012-01-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2012,1
214,2012-02-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2012,2
215,2012-03-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2012,3
216,2012-04-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2012,4
217,2012-05-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2012,5
218,2012-06-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2012,6
219,2012-07-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2012,7
220,2012-08-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2012,8
221,2012-09-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2012,9
222,2012-10-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2012,10
223,2012-11-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2012,11
224,2012-12-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2012,12
225,2013-01-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2013,1
226,2013-02-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2013,2
227,2013-03-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2013,3
228,2013-04-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2013,4
229,2013-05-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2013,5
230,2013-06-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2013,6
231,2013-07-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2013,7
232,2013-08-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2013,8
233,2013-09-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2013,9
234,2013-10-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2013,10
235,2013-11-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2013,11
236,2013-12-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2013,12
237,2014-01-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2014,1
238,2014-02-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2014,2
239,2014-03-01,,Rajasthan,Rajasamand,Maize,4.206451612903227,1537.0967741935483,1620.6451612903227,1577.9032258064517,2014,3
