,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,234.0,Rajasthan,Sikar,Maize,38.0,0.0,0.0,950.0,2008,1
24,2008-02-01,8542.0,Rajasthan,Sikar,Maize,45.0,0.0,0.0,1010.0,2008,2
47,2008-03-01,16983.0,Rajasthan,Sikar,Maize,40.0,0.0,0.0,1030.0,2008,3
68,2008-04-01,25077.0,Rajasthan,Sikar,Maize,50.0,0.0,0.0,1010.0,2008,4
95,2008-05-01,37558.0,Rajasthan,Sikar,Maize,210.0,0.0,0.0,1030.0,2008,5
124,2008-06-01,48498.0,Rajasthan,Sikar,Maize,720.0,0.0,0.0,1000.0,2008,6
154,2008-07-01,57348.0,Rajasthan,Sikar,Maize,350.0,0.0,0.0,1000.0,2008,7
180,2008-08-01,65839.0,Rajasthan,Sikar,Maize,110.0,0.0,0.0,985.0,2008,8
203,2008-09-01,72169.0,Rajasthan,Sikar,Maize,40.0,0.0,0.0,950.0,2008,9
230,2008-10-01,79026.0,Rajasthan,Sikar,Maize,65.0,0.0,0.0,945.0,2008,10
257,2008-11-01,85403.0,Rajasthan,Sikar,Maize,48.0,0.0,0.0,940.0,2008,11
283,2008-12-01,92542.0,Rajasthan,Sikar,Maize,45.0,0.0,0.0,945.0,2008,12
311,2009-01-01,100333.0,Rajasthan,Sikar,Maize,40.0,0.0,0.0,970.0,2009,1
332,2009-02-01,107450.0,Rajasthan,Sikar,Maize,50.0,0.0,0.0,1010.0,2009,2
356,2009-03-01,114894.0,Rajasthan,Sikar,Maize,70.0,0.0,0.0,1035.0,2009,3
380,2009-04-01,122762.0,Rajasthan,Sikar,Maize,120.0,0.0,0.0,1050.0,2009,4
413,2009-05-01,134200.0,Rajasthan,Sikar,Maize,360.0,0.0,0.0,1050.0,2009,5
445,2009-06-01,142635.0,Rajasthan,Sikar,Maize,300.0,0.0,0.0,1080.0,2009,6
478,2009-07-01,149897.0,Rajasthan,Sikar,Maize,300.0,0.0,0.0,1050.0,2009,7
507,2009-08-01,157590.0,Rajasthan,Sikar,Maize,90.0,0.0,0.0,955.0,2009,8
524,2009-09-01,165371.0,Rajasthan,Sikar,Maize,65.0,0.0,0.0,1050.0,2009,9
534,2009-10-01,175441.0,Rajasthan,Sikar,Maize,0.8,1350.0,1350.0,1350.0,2009,10
537,2009-11-01,183416.0,Rajasthan,Sikar,Maize,110.0,0.0,0.0,1145.0,2009,11
565,2009-12-01,193351.0,Rajasthan,Sikar,Maize,46.0,0.0,0.0,1180.0,2009,12
597,2010-01-01,202865.0,Rajasthan,Sikar,Maize,48.0,0.0,0.0,1210.0,2010,1
620,2010-02-01,211745.0,Rajasthan,Sikar,Maize,50.0,0.0,0.0,1265.0,2010,2
650,2010-03-01,220926.0,Rajasthan,Sikar,Maize,50.0,0.0,0.0,1240.0,2010,3
678,2010-04-01,231004.0,Rajasthan,Sikar,Maize,50.0,0.0,0.0,1130.0,2010,4
701,2010-05-01,244975.0,Rajasthan,Sikar,Maize,460.0,0.0,0.0,1100.0,2010,5
727,2010-06-01,256408.0,Rajasthan,Sikar,Maize,430.0,0.0,0.0,1085.0,2010,6
749,2010-07-01,266990.0,Rajasthan,Sikar,Maize,220.0,0.0,0.0,1115.0,2010,7
774,2010-08-01,276404.0,Rajasthan,Sikar,Maize,85.0,0.0,0.0,1130.0,2010,8
803,2010-09-01,286194.0,Rajasthan,Sikar,Maize,120.0,0.0,0.0,1125.0,2010,9
834,2010-10-01,295859.0,Rajasthan,Sikar,Maize,40.0,0.0,0.0,1120.0,2010,10
870,2010-11-01,305974.0,Rajasthan,Sikar,Maize,46.0,0.0,0.0,1120.0,2010,11
910,2010-12-01,314524.0,Rajasthan,Sikar,Maize,55.0,0.0,0.0,1130.0,2010,12
943,2011-01-01,324067.0,Rajasthan,Sikar,Maize,50.0,0.0,0.0,1150.0,2011,1
976,2011-02-01,333896.0,Rajasthan,Sikar,Maize,45.0,0.0,0.0,1245.0,2011,2
1003,2011-03-01,343240.0,Rajasthan,Sikar,Maize,68.0,0.0,0.0,1225.0,2011,3
1033,2011-04-01,353141.0,Rajasthan,Sikar,Maize,80.0,0.0,0.0,1120.0,2011,4
1064,2011-05-01,365604.0,Rajasthan,Sikar,Maize,450.0,0.0,0.0,1170.0,2011,5
1104,2011-06-01,378810.0,Rajasthan,Sikar,Maize,550.0,0.0,0.0,1170.0,2011,6
1159,2011-07-01,389940.0,Rajasthan,Sikar,Maize,150.0,0.0,0.0,1165.0,2011,7
1210,2011-08-01,401133.0,Rajasthan,Sikar,Maize,50.0,0.0,0.0,1050.0,2011,8
1273,2011-09-01,410930.0,Rajasthan,Sikar,Maize,15.0,1100.0,1100.0,1100.0,2011,9
1344,2011-10-01,421527.0,Rajasthan,Sikar,Maize,60.0,0.0,0.0,985.0,2011,10
1411,2011-11-01,430181.0,Rajasthan,Sikar,Maize,56.0,0.0,0.0,1025.0,2011,11
1472,2011-12-01,440782.0,Rajasthan,Sikar,Maize,0.7,1120.0,1120.0,1120.0,2011,12
1528,2012-01-01,451118.0,Rajasthan,Sikar,Maize,160.0,0.0,0.0,980.0,2012,1
1572,2012-02-01,460305.0,Rajasthan,Sikar,Maize,160.0,0.0,0.0,1045.0,2012,2
1616,2012-03-01,468489.0,Rajasthan,Sikar,Maize,1.0,1050.0,1325.0,1200.0,2012,3
1670,2012-04-01,477483.0,Rajasthan,Sikar,Maize,150.0,0.0,0.0,1120.0,2012,4
1724,2012-05-01,490070.0,Rajasthan,Sikar,Maize,350.0,0.0,0.0,1145.0,2012,5
1786,2012-06-01,504172.0,Rajasthan,Sikar,Maize,760.0,1000.0,1175.0,1070.0,2012,6
1837,2012-07-01,515171.0,Rajasthan,Sikar,Maize,250.0,0.0,0.0,1120.0,2012,7
1894,2012-08-01,526893.0,Rajasthan,Sikar,Maize,120.0,1100.0,1250.0,1210.0,2012,8
1941,2012-09-01,537343.0,Rajasthan,Sikar,Maize,95.0,1300.0,1450.0,1400.0,2012,9
1993,2012-10-01,548485.0,Rajasthan,Sikar,Maize,85.0,0.0,0.0,1375.0,2012,10
2043,2012-11-01,559344.0,Rajasthan,Sikar,Maize,4.1,1200.0,1600.0,1500.0,2012,11
2086,2012-12-01,568848.0,Rajasthan,Sikar,Maize,60.0,0.0,0.0,1290.0,2012,12
2137,2013-01-01,579006.0,Rajasthan,Sikar,Maize,70.0,0.0,0.0,1405.0,2013,1
2175,2013-02-01,588968.0,Rajasthan,Sikar,Maize,135.0,0.0,0.0,1430.0,2013,2
2206,2013-03-01,597550.0,Rajasthan,Sikar,Maize,144.0,0.0,0.0,1480.0,2013,3
2239,2013-04-01,606989.0,Rajasthan,Sikar,Maize,161.0,0.0,0.0,1385.0,2013,4
2293,2013-05-01,620422.0,Rajasthan,Sikar,Maize,417.0,0.0,0.0,1355.0,2013,5
2355,2013-06-01,633752.0,Rajasthan,Sikar,Maize,580.0,0.0,0.0,1360.0,2013,6
